record_type	feature_id	comparator_state	n_source_genes	effect_measure	effect	nominal_p	fdr	secondary_measure	secondary_value	supporting_genes	note
named_gene	CLDN2	iREC	1	log2FC_REC_minus_comparator	-1.57710810129857	0.0347697640672521	0.247597319910485	moderated_t	-2.5013387685452	CLDN2	named feature from the functional C8 comparison
named_gene	TJP1	Hypoxia	1	log2FC_REC_minus_comparator	0.486264394856116	0.0031777117861717	0.023059632102208	moderated_t	3.32904983293246	TJP1	named feature from the functional C8 comparison
named_gene	TJP1	UPR	1	log2FC_REC_minus_comparator	1.11454222209636	3.36142003003885e-06	0.0002136048384732	moderated_t	6.47347868727689	TJP1	named feature from the functional C8 comparison
named_gene	TJP1	iREC	1	log2FC_REC_minus_comparator	0.343404724883887	0.05029944491719	0.297898018234773	moderated_t	2.07814349427136	TJP1	named feature from the functional C8 comparison
named_gene	LGR5	Hypoxia	1	log2FC_REC_minus_comparator	-1.04362400662522	0.0001780424503688	0.003094323309887	moderated_t	-4.70257856841427	LGR5	named feature from the functional C8 comparison
named_gene	LGR5	UPR	1	log2FC_REC_minus_comparator	-2.27347670329401	2.23944134795234e-10	1.70634935345473e-06	moderated_t	-12.1190563835779	LGR5	named feature from the functional C8 comparison
named_gene	LGR5	iREC	1	log2FC_REC_minus_comparator	-2.05260686161751	9.083540686163119e-11	6.21980949665838e-07	moderated_t	-11.9547815304272	LGR5	named feature from the functional C8 comparison
named_gene	MKI67	Hypoxia	1	log2FC_REC_minus_comparator	-0.775244910533917	0.0551146574839277	0.166235278763978	moderated_t	-2.10518381391646	MKI67	named feature from the functional C8 comparison
named_gene	MKI67	UPR	1	log2FC_REC_minus_comparator	-0.768103205316592	0.0184508042585195	0.0711795395156293	moderated_t	-2.58159231196985	MKI67	named feature from the functional C8 comparison
named_gene	MKI67	iREC	1	log2FC_REC_minus_comparator	-0.680165900887362	0.080196492751589	0.373032590263515	moderated_t	-1.85379015949881	MKI67	named feature from the functional C8 comparison
