pair_id	priority	expected_direction	method	state	minimum_cells	n_patients	n_positive	n_negative	n_zero	median_rho	minimum_rho	maximum_rho	patient_equal_meta_rho	bootstrap_ci_low	bootstrap_ci_high	exact_sign_flip_p	sign_flip_fdr_within_state_method_threshold
actin_tight_junction	secondary	positive_or_context_dependent	matched_unadjusted	iREC	20	7	5	2	0	0.21067853170189096	-0.1476923076923077	0.32128740824393004	0.16597602917935092	0.03161297367808563	0.27720667235391044	0.0625	0.09765625
e2f_g2m	technical_positive_control	positive	matched_unadjusted	iREC	20	7	7	0	0	0.46073414905450494	0.3293448448842854	0.5982473370098965	0.4603875663586621	0.3925252883666221	0.5277141004444367	0.015625	0.078125
hrc_e2f	biological_discriminator	negative_or_weak	matched_unadjusted	iREC	20	7	2	5	0	-0.24173669467787118	-0.4758620689655172	0.4240601503759398	-0.15322975041736267	-0.3364276441326462	0.08438346290040663	0.25	0.25
hrc_tight_junction	primary	positive	matched_unadjusted	iREC	20	7	5	2	0	0.4220244716351501	-0.28120300751879695	0.6499153020892152	0.2903677393266011	0.032528785865375255	0.4957142022627623	0.078125	0.09765625
pemt_tight_junction	key_secondary	positive	matched_unadjusted	iREC	20	7	5	2	0	0.364182424916574	-0.12	0.5245623941276115	0.26995710331844786	0.08471675691261245	0.42366319355030235	0.0625	0.09765625
actin_tight_junction	secondary	positive_or_context_dependent	gene_z_residual	Hypoxia	30	13	12	1	0	0.16254094858282297	-0.0192486534962443	0.3225861517123653	0.1272263365623859	0.07402453887848034	0.180457827571042	0.0009765625	0.0009765625
e2f_g2m	technical_positive_control	positive	gene_z_residual	Hypoxia	30	13	13	0	0	0.5843426342489656	0.23662648031580075	0.7917034610454352	0.5790226360956299	0.491510309685687	0.6553035667413702	0.000244140625	0.0004069010416666667
hrc_e2f	biological_discriminator	negative_or_weak	gene_z_residual	Hypoxia	30	13	0	13	0	-0.18550337727506	-0.46949755124251774	-0.11128898715105612	-0.23371683697133688	-0.29979267533438636	-0.17202808897040006	0.000244140625	0.0004069010416666667
hrc_tight_junction	primary	positive	gene_z_residual	Hypoxia	30	13	12	1	0	0.2620473455994375	-0.004890259386903683	0.3921421003989812	0.23284401244815403	0.17558675342614063	0.2861196532598032	0.00048828125	0.0006103515625
pemt_tight_junction	key_secondary	positive	gene_z_residual	Hypoxia	30	13	13	0	0	0.19706594502207664	0.08644946316179195	0.3880666321033293	0.19886204403665403	0.14818488014048864	0.25273077463538174	0.000244140625	0.0004069010416666667
actin_tight_junction	secondary	positive_or_context_dependent	gene_z_residual	REC	30	9	8	1	0	0.14826535396155652	-0.0528860028860029	0.24271493212669681	0.13089881332755482	0.0635876700098531	0.1885842371304794	0.01171875	0.01171875
e2f_g2m	technical_positive_control	positive	gene_z_residual	REC	30	9	9	0	0	0.3837221920781335	0.23855203619909499	0.664101299707654	0.4438576430200021	0.33188990068188695	0.5481503665669366	0.00390625	0.0048828125
hrc_e2f	biological_discriminator	negative_or_weak	gene_z_residual	REC	30	9	0	9	0	-0.11458629545539138	-0.44690431519699814	-0.018542568542568545	-0.17053508550200439	-0.26805067895699874	-0.08259508917634925	0.00390625	0.0048828125
hrc_tight_junction	primary	positive	gene_z_residual	REC	30	9	9	0	0	0.30813408345053916	0.03470919324577862	0.4213360256076228	0.270414307389375	0.18644485532443394	0.34282141741830846	0.00390625	0.0048828125
pemt_tight_junction	key_secondary	positive	gene_z_residual	REC	30	9	9	0	0	0.23905646064371633	0.08705440900562854	0.48797909407665513	0.24617238546208087	0.15711286934338362	0.3376254596029483	0.00390625	0.0048828125
actin_tight_junction	secondary	positive_or_context_dependent	gene_z_residual	UPR	30	10	2	8	0	-0.04794895355735827	-0.21112347052280311	0.20657915573251287	-0.04937712548597909	-0.11512361914862451	0.024047649543946233	0.216796875	0.265625
