comparator_state	analysis_mode	n_ranked_genes	permutations	term	es	nes	nominal_p	fdr_q	fwer_p	tag_fraction	rank_fraction	leading_edge_genes	direction	family	role	citation
Intermediate	targeted_predeclared	11736	2000	OGDEN_STATE_UPR_MARKERS	-0.46624105929697196	-1.6695011659007086	0.010037641154328732	0.00944422852701127	0.059	10/33	7.46%	NOX1;RUBCNL;AP001042.1;ATP2C2;DUSP2;ST6GALNAC3;IL17RB;SHISA9;IQCM;NR4A1	REC_down	source_state_marker	rival_state	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	OGDEN_STATE_TA1_MARKERS	-0.4620320604786193	-1.6186341009740155	0.01903553299492386	0.012534006995724834	0.093	15/32	21.88%	NOX1;BRIP1;ATAD2;TOP2A;DIAPH3;PDE3A;RRM2;TUBA1B;FREM1;ACSS3;CCND2;CNTNAP2;LSAMP;NPM1;TIGAR	REC_down	source_state_marker	rival_state	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	PENGWINKLER_PALMITATE_UP_TOP100	0.3383140079212837	1.3101012321336738	0.07827476038338659	0.10372928028225069	0.8095	20/70	14.55%	LDHA;HSPB1;SLC16A3;MTUS1;MAL2;EPB41L1;LRATD1;PGRMC1;ID1;RHOB;PTPRB;DSTN;CPE;NEBL;FOSL2;CLMN;PIP5K1B;ANGPTL4;PMM1;WWC2	REC_up	PengWinkler_perturbation	pengwinkler_axis	Peng-Winkler et al., Nature 2026; DOI 10.1038/s41586-026-10686-2
Intermediate	targeted_predeclared	11736	2000	OGDEN_STATE_COLONOCYTE_MARKERS	-0.328759914464709	-1.1622111754870394	0.22127139364303178	0.2547443229137749	0.893	7/33	7.52%	ADAMTSL1;CFTR;GRM8;KAZN;SLC4A10;SHISA9;SAMD3	REC_down	source_state_marker	rival_state	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	GOBP_TISSUE_REGENERATION	0.30819836982426885	1.07364401131357	0.3432574430823117	0.37375590497048744	0.998	22/40	37.41%	MDK;CDKN1A;CFLAR;IFRD1;KLF5;KLK6;CDKN1B;LARGE1;ANXA1;PPARD;AKIRIN1;RUNX1;YAP1;EPPK1;NACA;DUSP10;PPP3CA;DAG1;CD81;SOX2;TEC;SELENON	REC_up	MSigDB_c5.go.bp	regenerative_interpretation	Molecular Signatures Database
Intermediate	targeted_predeclared	11736	2000	HALLMARK_FATTY_ACID_METABOLISM	0.25228147826451763	1.0801037582538724	0.29327286470143615	0.37801096576791177	0.998	35/129	25.01%	LDHA;HPGD;FABP1;S100A10;ENO2;SERINC1;GPD2;RETSAT;OSTC;TP53INP2;MIF;ALDOA;ACOX1;GABARAPL1;HSD17B11;GLUL;AUH;EPHX1;HMGCL;ECI1;ACADVL;CRAT;ALAD;BPHL;CPOX;SLC22A5;PDHB;IDH3G;YWHAH;UBE2L6;ETFDH;ERP29;ACSL5;ACAA2;VNN1	REC_up	MSigDB_h.all	metabolic_cooption	Molecular Signatures Database
Intermediate	targeted_predeclared	11736	2000	GOBP_PROLINE_BIOSYNTHETIC_PROCESS	0.5095725776830224	0.9990732794568422	0.49056603773584906	0.4767038626609442	0.9995	2/5	14.97%	ALDH18A1;OAT	REC_up	MSigDB_c5.go.bp	pengwinkler_axis	Molecular Signatures Database
Intermediate	targeted_predeclared	11736	2000	GOBP_PROLINE_METABOLIC_PROCESS	0.5095725776830224	0.9990732794568422	0.49056603773584906	0.4767038626609442	0.9995	2/5	14.97%	ALDH18A1;OAT	REC_up	MSigDB_c5.go.bp	pengwinkler_axis	Molecular Signatures Database
Intermediate	targeted_predeclared	11736	2000	HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.2798968825802864	-0.984291960307144	0.45093457943925236	0.543174310143801	0.9955	8/30	16.16%	MYC;LEF1;KAT2A;SKP2;AXIN1;NOTCH1;TP53;CCND2	REC_down	MSigDB_h.all	metabolic_cooption	Molecular Signatures Database
Intermediate	targeted_predeclared	11736	2000	GOBP_LIVER_REGENERATION	-0.29972624385619395	-0.9159078263409824	0.5877502944640753	0.6317139525845317	0.9985	6/19	21.65%	PNPT1;EZH2;SRSF1;PRMT5;PCNA;SULF2	REC_down	MSigDB_c5.go.bp	regenerative_interpretation	Molecular Signatures Database
Intermediate	targeted_predeclared	11736	2000	GOBP_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS	0.28575466987662357	0.7892747885351222	0.7527242246437552	0.8513892026202846	1.0	10/16	36.90%	ITGB1;ADAM17;PTEN;MSX2;PHLDB2;ITGB5;AJUBA;CLASP1;ITGAV;LRG1	REC_up	MSigDB_c5.go.bp	repair_interpretation	Molecular Signatures Database
Stem NOTUM	targeted_predeclared	12433	2000	CANELLAS_CORE_HRC	0.9044688918752376	3.7277585409280487	0.0	0.0	0.0	93/95	9.22%	PLAUR;SDCBP2;SLC2A1;TSPAN1;SLC44A4;MUC13;LIPH;CXCL16;AHNAK;PLEC;CEACAM1;EPS8L1;KRT80;CYP3A5;COL17A1;ARFGAP3;JUP;KLK10;SERINC2;GPRC5A;TMBIM1;PCDH1;LRP10;SLC6A8;RIOK3;EFNB1;EMP1;LAMB3;EZR;RRAS;LAMA3;TJP3;TM4SF1;TINAGL1;PTPRH;MXD1;AHNAK2;MISP;ANXA11;TNFRSF21;BMP2;TMPRSS2;CD55;PTK6;TSPAN3;FLNB;MYH14;ITGB4;TIMP2;C19ORF33;CLIC3;B4GALT1;CD68;F11R;MYOF;TMPRSS4;GBP3;SNX9;CDCP1;SEMA3B;CDA;CEACAM5;PDZK1IP1;DUSP5;UGCG;LAMC2;DDR1;CYSTM1;DSG2;CGN;LMO7;SPINT1;CRB3;CAMK2N1;FA2H;GJB3;CD59;USP53;PRSS22;CDKN2B;RHOF;HEBP2;STK24;B4GALNT3;ITGB1;ITGA2;RNF103;SLPI;PINK1;ITGA3;SMAD3;ADAM9;BAIAP2L1	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
