k	state	metric	value_type	test	hgp	n_ehgp	n_rhgp	effect	bootstrap_ci_lower	bootstrap_ci_upper	exact_p_two_sided	n_exact_assignments	fdr_bh_across_metrics_within_state	fdr_bh_across_states_within_metric
10	NC2	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.06464714306295444	0.029617696456705405	0.10005347873315809	0.03125	256	0.0625	0.125
10	NC2	homotypic_any_neighbour	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.014078884398690705	-0.08573849632992078	0.05110762887661056	0.7255633255633256	6435	0.9381507381507381	0.7255633255633256
10	NC2	homotypic_neighbour_slot_fraction	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.014855235537696132	-0.25248394505399363	0.1991172031431737	0.9020979020979021	6435	0.9020979020979021	0.9020979020979021
10	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.040592957471387504	0.019539556416378723	0.06049244813302595	0.015625	128	0.03125	0.020833333333333332
10	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.06354457035032848	0.04540457432627404	0.08278685646322756	0.0078125	256	0.03125	0.03125
10	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.02295161287894098	-0.004199323366690272	0.05144370245651915	0.1567987567987568	6435	0.3135975135975136	0.1567987567987568
10	NC3	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.21367661591107456	0.13645441254883778	0.2930699261964515	0.0004662004662004662	6435	0.0018648018648018648	0.001554001554001554
10	NC3	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		-0.0023881792121643796	-0.012059168881882418	0.004279758149265651	0.8125	128	1.0	0.8125
10	NC3	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.015422677407099345	-5.3632050285489474e-06	0.034200846374755914	0.140625	256	0.5625	0.5625
10	NC3	dhc_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.017810856619263724	-9.894930495711152e-05	0.03813567010620429	0.11841491841491841	6435	0.1578865578865579	0.47365967365967365
