component	omitted	method	effect
HRC_disjoint	KR-011	gene_restandardization	0.555505422532355
HRC_disjoint	KR-015	fixed_scores	0.516454130615382
HRC_disjoint	KR-015	gene_restandardization	0.514892767437747
HRC_disjoint	KR-017	fixed_scores	0.525040273542929
HRC_disjoint	KR-017	gene_restandardization	0.516753406120969
HRC_disjoint	KR-025	fixed_scores	0.47785274368775
HRC_disjoint	KR-025	gene_restandardization	0.486739259080146
HRC_disjoint	KR-027	fixed_scores	0.556884048470648
HRC_disjoint	KR-027	gene_restandardization	0.549588539190866
HRC_disjoint	KR-064	fixed_scores	0.540268080667794
HRC_disjoint	KR-064	gene_restandardization	0.53586996233275
HRC_disjoint	KR-009	fixed_scores	0.496023750920558
HRC_disjoint	KR-009	gene_restandardization	0.497967799470715
HRC_disjoint	KR-013	fixed_scores	0.537407219224966
HRC_disjoint	KR-013	gene_restandardization	0.524999513239102
HRC_disjoint	KR-019	fixed_scores	0.611409519211442
HRC_disjoint	KR-019	gene_restandardization	0.604743857251249
HRC_disjoint	KR-021	fixed_scores	0.604489615537686
HRC_disjoint	KR-021	gene_restandardization	0.599541392829653
HRC_disjoint	KR-031	fixed_scores	0.436224022876493
HRC_disjoint	KR-031	gene_restandardization	0.437423890211991
HRC_disjoint	KR-066	fixed_scores	0.46853991792209
HRC_disjoint	KR-066	gene_restandardization	0.467914698207646
Junction_disjoint	KR-003	fixed_scores	0.361941498868872
Junction_disjoint	KR-003	gene_restandardization	0.352646437363128
Junction_disjoint	KR-005	fixed_scores	0.326362949237262
Junction_disjoint	KR-005	gene_restandardization	0.321084059252566
Junction_disjoint	KR-007	fixed_scores	0.329046639804575
Junction_disjoint	KR-007	gene_restandardization	0.337332919220035
Junction_disjoint	KR-011	fixed_scores	0.307302451254422
Junction_disjoint	KR-011	gene_restandardization	0.298847245782578
Junction_disjoint	KR-015	fixed_scores	0.322264982706311
Junction_disjoint	KR-015	gene_restandardization	0.330570463334078
Junction_disjoint	KR-017	fixed_scores	0.3400814530892
Junction_disjoint	KR-017	gene_restandardization	0.338330805107638
Junction_disjoint	KR-025	fixed_scores	0.306870092312715
Junction_disjoint	KR-025	gene_restandardization	0.304106045303623
Junction_disjoint	KR-027	fixed_scores	0.328414786300942
Junction_disjoint	KR-027	gene_restandardization	0.315788234299843
Junction_disjoint	KR-064	fixed_scores	0.249211511510111
Junction_disjoint	KR-064	gene_restandardization	0.238667830295449
Junction_disjoint	KR-009	fixed_scores	0.318316127371568
Junction_disjoint	KR-009	gene_restandardization	0.333112933667057
Junction_disjoint	KR-013	fixed_scores	0.323987334942983
Junction_disjoint	KR-013	gene_restandardization	0.319806785370849
Junction_disjoint	KR-019	fixed_scores	0.294733854738258
Junction_disjoint	KR-019	gene_restandardization	0.302969211415111
Junction_disjoint	KR-021	fixed_scores	0.315353812799703
Junction_disjoint	KR-021	gene_restandardization	0.310594089022553
Junction_disjoint	KR-031	fixed_scores	0.320563865653276
Junction_disjoint	KR-031	gene_restandardization	0.326840491699325
Junction_disjoint	KR-066	fixed_scores	0.341375914550485
Junction_disjoint	KR-066	gene_restandardization	0.343607751662782
