partner	specification	n_patients	n_centers	n_REC_disjoint	n_partner_disjoint	n_shared_removed	rho	p	CI_low	CI_high	bootstrap_valid	bootstrap_B	p_BH
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"omit_UKE"	43	2	17	3	1	0.318286868194656	0.0399516388739079	-0.0220653892476184	0.594306982504931	2000	2000	0.0399516388739079
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"omit_UKSH"	49	2	17	3	1	0.270096147933879	0.063364171361498	-0.0424670620221738	0.539734111416378	2000	2000	0.063364171361498
"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"complete_proteins_only"	38	2	17	3	1	0.365516002705402	0.0261050193704685	0.0135142105224275	0.657943435426149	2000	2000	0.0522100387409369
"HALLMARK_E2F_TARGETS"	"pooled_center_adjusted"	82	3	18	80	0	0.349013242878801	0.00150900480608872	0.133677062148655	0.559783041447293	2000	2000	0.00201200640811829
"HALLMARK_E2F_TARGETS"	"center_Sydney"	49	1	18	80	0	0.448367346938776	0.00123383835193519	0.147500372495965	0.690694846714589	2000	2000	0.00164511780258026
"HALLMARK_E2F_TARGETS"	"center_UKE"	18	1	18	80	0	0.131062951496388	0.604194128104061	-0.353148753883725	0.536062263990419	2000	2000	0.747868303598391
"HALLMARK_E2F_TARGETS"	"center_UKSH"	15	1	18	80	0	0.0892857142857143	0.751672517350277	-0.572509972078181	0.687370320855614	2000	2000	0.751672517350277
"HALLMARK_E2F_TARGETS"	"omit_Sydney"	33	2	18	80	0	0.142243059220508	0.437397264476661	-0.251537876737031	0.495922426214758	2000	2000	0.583196352635548
"HALLMARK_E2F_TARGETS"	"omit_UKE"	64	2	18	80	0	0.385072305130856	0.00183113700084459	0.134575069012911	0.606767501786057	2000	2000	0.00244151600112612
"HALLMARK_E2F_TARGETS"	"omit_UKSH"	67	2	18	80	0	0.391046812467502	0.00116833387444924	0.14065404169346	0.609414430207758	2000	2000	0.00155777849926566
"HALLMARK_E2F_TARGETS"	"complete_proteins_only"	33	2	18	80	0	0.0602432789016523	0.743269654188366	-0.336311747538707	0.448052156609188	2000	2000	0.743269654188366
"HALLMARK_G2M_CHECKPOINT"	"pooled_center_adjusted"	82	3	18	64	0	0.363204428481315	0.000928555402063682	0.130688910616815	0.562267899548379	2000	2000	0.00185711080412736
"HALLMARK_G2M_CHECKPOINT"	"center_Sydney"	49	1	18	64	0	0.476938775510204	0.00053074296483271	0.216525829025999	0.688920363640546	2000	2000	0.00106148592966542
"HALLMARK_G2M_CHECKPOINT"	"center_UKE"	18	1	18	64	0	0.17234262125903	0.494076427876784	-0.320810943885506	0.597083278681357	2000	2000	0.747868303598391
"HALLMARK_G2M_CHECKPOINT"	"center_UKSH"	15	1	18	64	0	0.135714285714286	0.629620441872815	-0.486458490876212	0.685940140590374	2000	2000	0.751672517350277
"HALLMARK_G2M_CHECKPOINT"	"omit_Sydney"	33	2	18	64	0	0.154102656197469	0.399731712680398	-0.23884654065647	0.528729154979991	2000	2000	0.583196352635548
"HALLMARK_G2M_CHECKPOINT"	"omit_UKE"	64	2	18	64	0	0.403591759424841	0.00103812443040845	0.141347079886029	0.608742789526065	2000	2000	0.0020762488608169
"HALLMARK_G2M_CHECKPOINT"	"omit_UKSH"	67	2	18	64	0	0.411959563497904	0.000588627012176215	0.165631254392702	0.623920836353245	2000	2000	0.00117725402435243
"HALLMARK_G2M_CHECKPOINT"	"complete_proteins_only"	35	2	18	64	0	0.138885796764634	0.433419990839963	-0.207605520461459	0.512390299406228	2000	2000	0.577893321119951
