gene	component	Ogden_HRC_rho	Spatial_HRC_rho	Bulk_rHGP_minus_dHGP_logFC	Bulk_rHGP_minus_dHGP_PValue	Bulk_rHGP_minus_dHGP_q_junction	Liu_macro_minus_micro_logFC	Liu_macro_minus_micro_PValue	Liu_macro_minus_micro_q_junction	Spatial_HGP_by_localization_logFC	Spatial_HGP_by_localization_PValue	Spatial_HGP_by_localization_q_junction	Spatial_rHGP_minus_dHGP_near_logFC	Spatial_rHGP_minus_dHGP_near_PValue	Spatial_rHGP_minus_dHGP_near_q_junction	Spatial_rHGP_minus_dHGP_tumour_logFC	Spatial_rHGP_minus_dHGP_tumour_PValue	Spatial_rHGP_minus_dHGP_tumour_q_junction	GATA6_KO_RNA_logFC	GATA6_promoter_peak	H3K27ac_relative_logFC	Epithelial_detection	Hepatocyte_detection	Endothelial_detection	Stromal_detection	Same_section_macro_minus_micro_logFC
CLDN23	Claudin	0.0362512331317705	0.0921047621841896	-0.0440417111781485	0.918882039971021	0.97947827791063	0.0236511891078693	0.886801714807816	0.886801714807816	0.0482797802240702	0.800723083572874	0.935302971151041	0.0008129959427106	0.998875168400464	0.998875168400464	-0.0230948378653263	0.967044933711236	0.967044933711236	1.20164778915854	0.0	0.4519221950439909	0.0224075698180791	0.0127705627705627	0.0164324595916341	0.003125	0.110777368452858
CRB3	Polarity	0.0395642598379101	0.0690328644771157	-0.0523968500094243	0.823395376627581	0.97947827791063	0.496328769031662	0.0026109993457708	0.0132687098056279	-0.238454077837028	0.199342818680588	0.745962004573941	-0.0166128863748753	0.980951312724758	0.998875168400464	0.186917267437657	0.796476103451576	0.876123713796734	-0.573649017552421	1.0	0.0780977541302236	0.0772026966127845	0.0259018759018758	0.0162783081874827	0.0161686913708972	0.466762407096411
PALS1	Polarity	0.0128078590028969	0.0115155349992774	0.0197088453392176	0.94069439354939	0.97947827791063	0.318879354560758	0.0428588905804122	0.0935103067208993	-0.0398605093319306	0.812376358773146	0.935302971151041	-0.291751360367304	0.551587315868565	0.933455457623725	-0.276055543836007	0.56428289964359	0.797228578861251	-0.464957984094148	0.0		0.3221781742726923	0.1894040068458672	0.2550478208859281	0.1845363378561907	0.166865915537278
PARD3	Polarity	-0.0054859707220809	0.0358445626355037	0.261895201555791	0.308601960895063	0.685527199083343	0.15320784870423	0.178139635582967	0.26720945337445	0.0491583619627257	0.744814442629663	0.935302971151041	-0.370679907899666	0.464239017731145	0.896760021775318	-0.406730274673594	0.403418509676653	0.739600601073864	-0.172110986794059	0.0	-0.1416874354834654	0.8104227903727199	0.8814784053156147	0.4183187483128672	0.7900635597400304	0.0758836993451143
PARD6A	Polarity	-0.0071909173743486	0.0035492988521571	-0.449277825614994	0.357439720254765	0.685527199083343	-0.224628520284953	0.297362426967357	0.334225320437485	0.0281979430273113	0.905486508398455	0.935302971151041	1.47449438798827	0.0375123360979602	0.206317848538781	1.37852587894543	0.0408972725784045	0.224934999181225	-0.830289553366585	0.0		0.0103830951909896	0.0067099567099567	0.0071486928104575	0.0	-0.170104271121035
PARD6B	Polarity	0.0954499671579624	0.0921092979756684	0.205663883231991	0.478610857139414	0.773140615379054	0.246413063287773	0.213068667149488	0.276422196539026	-0.328197580347541	0.0679088830148521	0.745962004573941	0.205044476687831	0.736882953862209	0.935063511850018	0.380694609278358	0.535851750981927	0.797228578861251	-0.787816710741125	0.0	-0.1400931157151106	0.3589700862892756	0.157674754186382	0.03628246568905	0.0425375833721421	0.204986669131931
PARD6G	Polarity	-0.0108969424789218	-0.0061130862566096	0.873324978197244	0.0629539179627099	0.661016138608454	-1.09581289042267	0.0007423376089382	0.0127954103110455	0.516884938626628	0.175910652012874	0.745962004573941	-0.678461457773561	0.489141830059264	0.896760021775318	-0.970563312602404	0.348883898196254	0.739600601073864	0.858092595434071	0.0		0.0164967895882607	0.01876489143931	0.0818410187191116	0.0791818832296773	-0.68192475439341
PATJ	Polarity	0.0347127772669549	0.0447985054787697				0.401402960099283	0.0129902224410579	0.0389706673231738	0.128130914057306	0.361925398138069	0.807025490720444	-0.535570370843549	0.310323023943869	0.85338831584564	-0.577783958241215	0.257513205834606	0.708161316045167	-0.297916336594316	0.0	-0.3338894537637271	0.8601793749620509	0.679941021510789	0.1683092365597667	0.2156156853473029	0.241345499858902
PRKCI	Polarity	0.0284916400167371	0.0443642625857697	-0.400633936954592	0.163387694922341	0.685527199083343	0.31845190396731	0.0810423994683518	0.162084798936704	-0.0128734186131575	0.935302971151041	0.935302971151041	0.438906335364519	0.408593153923131	0.896760021775318	0.485802530750085	0.35864257240768	0.739600601073864	-0.0988630885735453	0.0	-0.2356939246229146	0.3968698365181362	0.2545773348098929	0.2325762533434213	0.2637553662811015	0.295596883809237
F11R	F11R	0.0817997877716701	0.1132410963817701	-0.0841637598152563	0.795301925933894	0.97947827791063	0.488032697385515	0.0029156542050783	0.0132687098056279	-0.0280355067841085	0.850168317157967	0.935302971151041	0.150413521041979	0.759507419356993	0.935063511850018	0.248102349746356	0.608230612009264	0.797228578861251	-0.377530140738267	0.0	0.1026016500180002	0.3667048179036533	0.2593555991811805	0.2628250464807045	0.0699121923680747	0.390549410325864
