gene	retained
AKIP1	TRUE
AKIRIN1	TRUE
AKIRIN2	TRUE
AKNA	TRUE
AKR1A1	TRUE
AKR1B10	TRUE
AKR1B15	FALSE
AKR1C2	TRUE
AKR1C3	TRUE
AKR1C4	TRUE
AKR1C8P	TRUE
AKR1D1	TRUE
AKR1E2	TRUE
AKT1	TRUE
AKT1S1	TRUE
AKT2	TRUE
AKT3	TRUE
AKTIP	TRUE
AL032819.3	TRUE
AL109810.2	TRUE
AL121578.2	FALSE
AL135905.2	TRUE
AL162231.1	TRUE
AL162596.1	FALSE
AL353572.3	FALSE
AL354761.1	FALSE
AL391650.1	FALSE
AL451007.3	FALSE
AL590560.2	FALSE
AL603764.2	FALSE
AL772284.2	FALSE
AL845331.2	TRUE
ALAD	TRUE
ALAS1	TRUE
ALAS2	FALSE
ALB	TRUE
ALCAM	TRUE
ALDH16A1	TRUE
ALDH18A1	TRUE
ALDH1A1	TRUE
ALDH1A2	TRUE
ALDH1A3	TRUE
ALDH1B1	TRUE
ALDH1L1	TRUE
ALDH1L2	TRUE
ALDH2	TRUE
ALDH3A1	TRUE
ALDH3A2	TRUE
ALDH3B1	TRUE
ALDH3B2	TRUE
ALDH4A1	TRUE
ALDH5A1	TRUE
ALDH6A1	TRUE
ALDH8A1	TRUE
ALDH9A1	TRUE
ALDOB	TRUE
ALDOC	TRUE
ALG1	TRUE
ALG11	TRUE
ALG12	TRUE
ALG13	TRUE
ALG14	TRUE
ALG1L	TRUE
ALG2	TRUE
ALG3	TRUE
ALG5	TRUE
ALG6	TRUE
ALG8	TRUE
ALG9	TRUE
ALK	FALSE
ALKAL1	TRUE
ALKAL2	TRUE
ALKBH1	TRUE
ALKBH2	TRUE
ALKBH3	TRUE
ALKBH4	TRUE
ALKBH5	TRUE
ALKBH6	TRUE
ALKBH7	TRUE
ALLC	FALSE
ALMS1	TRUE
ALOX12	FALSE
ALOX12B	FALSE
ALOX15	FALSE
ALOX15B	TRUE
ALOX5	TRUE
ALOX5AP	TRUE
ALOXE3	FALSE
ALPG	TRUE
ALPI	TRUE
ALPK1	TRUE
ALPK2	TRUE
ALPK3	TRUE
ALPL	TRUE
ALPP	TRUE
ALS2	TRUE
ALS2CL	TRUE
ALX1	FALSE
ALX3	FALSE
ALX4	TRUE
ALYREF	TRUE
AMACR	TRUE
AMBN	FALSE
AMBP	TRUE
AMBRA1	TRUE
AMD1	TRUE
AMDHD1	TRUE
AMDHD2	TRUE
AMELX	TRUE
AMELY	FALSE
AMER1	TRUE
AMER2	TRUE
AMER3	TRUE
AMFR	TRUE
AMH	TRUE
AMHR2	FALSE
AMIGO1	TRUE
AMIGO2	TRUE
AMMECR1	TRUE
AMMECR1L	TRUE
AMN	TRUE
AMN1	TRUE
AMOT	TRUE
AMOTL1	TRUE
AMOTL2	TRUE
AMPD1	FALSE
AMPD2	TRUE
AMPD3	TRUE
AMPH	TRUE
AMT	TRUE
AMTN	FALSE
AMZ1	TRUE
AMZ2	TRUE
ANAPC1	TRUE
ANAPC11	TRUE
ANAPC13	TRUE
ANAPC16	TRUE
ANAPC2	TRUE
ANAPC4	TRUE
ANAPC5	TRUE
ANAPC7	TRUE
ANG	TRUE
ANGEL1	TRUE
ANGEL2	TRUE
ANGPT1	TRUE
ANGPT4	FALSE
ANGPTL1	TRUE
ANGPTL2	TRUE
ANGPTL3	TRUE
ANGPTL4	TRUE
ANGPTL5	FALSE
ANGPTL6	TRUE
ANGPTL7	FALSE
ANGPTL8	TRUE
ANHX	FALSE
ANK1	TRUE
ANK2	TRUE
ANK3	TRUE
ANKAR	TRUE
ANKDD1A	TRUE
ANKDD1B	TRUE
ANKEF1	TRUE
ANKFN1	FALSE
ANKFY1	TRUE
ANKH	TRUE
ANKHD1	TRUE
ANKIB1	TRUE
ANKK1	FALSE
ANKLE1	TRUE
ANKLE2	TRUE
ANKMY1	TRUE
ANKMY2	TRUE
ANKRA2	TRUE
ANKRD1	TRUE
ANKRD10	TRUE
ANKRD11	TRUE
ANKRD12	TRUE
ANKRD13A	TRUE
ANKRD13B	TRUE
ANKRD13C	TRUE
ANKRD13D	TRUE
ANKRD16	TRUE
ANKRD17	TRUE
ANKRD18A	TRUE
ANKRD2	FALSE
ANKRD22	TRUE
ANKRD24	TRUE
ANKRD26	TRUE
ANKRD27	TRUE
ANKRD28	TRUE
ANKRD29	TRUE
ANKRD30A	FALSE
ANKRD30B	FALSE
ANKRD30BL	TRUE
ANKRD31	TRUE
ANKRD33	FALSE
ANKRD33B	TRUE
ANKRD34A	TRUE
ANKRD34B	FALSE
ANKRD34C	FALSE
ANKRD35	TRUE
ANKRD36	TRUE
ANKRD37	TRUE
ANKRD39	TRUE
ANKRD40	TRUE
ANKRD40CL	TRUE
ANKRD42	TRUE
ANKRD44	TRUE
ANKRD45	FALSE
ANKRD46	TRUE
ANKRD49	TRUE
ANKRD50	TRUE
ANKRD52	TRUE
ANKRD53	TRUE
ANKRD54	TRUE
ANKRD55	TRUE
ANKRD6	TRUE
ANKRD60	FALSE
ANKRD61	TRUE
ANKRD62	TRUE
ANKRD63	TRUE
ANKRD65	TRUE
ANKRD66	FALSE
ANKRD7	TRUE
ANKRD9	TRUE
ANKS1A	TRUE
ANKS1B	TRUE
ANKS3	TRUE
ANKS4B	TRUE
ANKS6	TRUE
ANKUB1	FALSE
ANKZF1	TRUE
ANLN	TRUE
ANO1	TRUE
ANO10	TRUE
ANO2	FALSE
ANO3	TRUE
ANO4	TRUE
ANO5	TRUE
ANO6	TRUE
ANO8	TRUE
ANO9	TRUE
ANOS1	TRUE
ANP32A	TRUE
ANP32B	TRUE
ANP32D	FALSE
ANP32E	TRUE
ANPEP	TRUE
ANTKMT	TRUE
ANTXR1	TRUE
ANTXR2	TRUE
ANTXRL	FALSE
ANXA1	TRUE
ANXA10	FALSE
ANXA11	TRUE
ANXA13	TRUE
ANXA2	TRUE
ANXA2R	TRUE
ANXA3	TRUE
ANXA4	TRUE
ANXA5	TRUE
ANXA6	TRUE
ANXA7	TRUE
ANXA9	TRUE
AOAH	TRUE
AOC1	TRUE
AOC2	TRUE
AOC3	TRUE
AOX1	TRUE
AP000552.4	FALSE
AP002495.1	TRUE
AP1AR	TRUE
AP1G1	TRUE
AP1G2	TRUE
AP1M1	TRUE
AP1M2	TRUE
AP1S1	TRUE
AP1S2	TRUE
AP1S3	TRUE
AP2A1	TRUE
AP2A2	TRUE
AP2B1	TRUE
AP2M1	TRUE
AP2S1	TRUE
AP3B1	TRUE
AP3B2	TRUE
AP3D1	TRUE
AP3M1	TRUE
AP3M2	TRUE
AP3S2	TRUE
AP4B1	TRUE
AP4E1	TRUE
AP4M1	TRUE
AP5M1	TRUE
AP5S1	TRUE
AP5Z1	TRUE
APAF1	TRUE
APBA1	TRUE
APBA2	TRUE
APBB1	TRUE
APBB1IP	TRUE
APBB2	TRUE
APBB3	TRUE
APC	TRUE
APC2	FALSE
APCDD1	TRUE
APCDD1L	TRUE
APCS	TRUE
APEH	TRUE
APELA	FALSE
APEX1	TRUE
APEX2	TRUE
APH1A	TRUE
APH1B	TRUE
API5	TRUE
APIP	TRUE
APLN	TRUE
APLNR	TRUE
APLP1	TRUE
APLP2	TRUE
APMAP	TRUE
APOA1	TRUE
APOA2	TRUE
APOA4	TRUE
APOA5	TRUE
APOB	TRUE
APOBEC1	TRUE
APOBEC2	TRUE
APOBEC3A	TRUE
APOBEC3B	TRUE
APOBEC3C	TRUE
APOBEC3F	TRUE
APOBEC3G	TRUE
APOBEC3H	TRUE
APOBEC4	TRUE
APOBR	TRUE
APOC1	TRUE
APOC2	TRUE
APOC3	TRUE
APOC4	TRUE
APOD	TRUE
APOE	TRUE
APOF	TRUE
APOH	TRUE
APOL1	TRUE
APOL3	TRUE
APOL5	FALSE
APOL6	TRUE
APOLD1	TRUE
APOM	TRUE
APOO	TRUE
APOOL	TRUE
APP	TRUE
APPBP2	TRUE
APPL1	TRUE
APPL2	TRUE
APRT	TRUE
APTX	TRUE
AQP1	TRUE
AQP10	FALSE
