dataset	normalization	model	gene	logFC	logCPM	F	PValue	q_genome	q_junction	approximate_QL_Wald_low	approximate_QL_Wald_high	approximate_QL_SE	count_eligible
"all_pairs"	"library_only"	"source_adjusted"	"CRB3"	0.158492269451039	5.93182222786782	0.212821683056141	0.650231808257372	0.931202364302156	0.828945302308745	-0.602307451626387	0.919291990528465	0.361457179494004	TRUE
"all_pairs"	"library_only"	"source_adjusted"	"F11R"	0.381792497339632	7.8024034046816	1.30376706460718	0.268982326395385	0.785503195731857	0.717286203721026	-0.362670277157559	1.12625527183682	0.353499712013856	TRUE
"all_pairs"	"library_only"	"source_adjusted"	"PALS1"	-0.258455048003836	5.12386583700563	0.48185388627926	0.496656578120024	0.887836587380583	0.828945302308745	-1.08704678953544	0.570136693527766	0.393714600059903	TRUE
"all_pairs"	"library_only"	"source_adjusted"	"PARD3"	-0.0504566653471238	6.4527166358678	0.0310583975526094	0.862145114162332	0.976033333019967	0.899629684343303	-0.692087040595511	0.591173709901264	0.304648855438316	TRUE
"all_pairs"	"library_only"	"source_adjusted"	"PARD6A"	0.0899913759402954	3.4754297434411	0.0324996640291993	0.858889661781275	0.975781136683921	0.899629684343303	-1.00826377600027	1.18824652788086	0.523871251400869	TRUE
"all_pairs"	"library_only"	"source_adjusted"	"PARD6B"	-0.757088914566173	6.17696470798634	3.7942501473932	0.0677367691864493	0.548091944500138	0.406420615118696	-1.61890260786489	0.10472477873254	0.409213882094439	TRUE
"all_pairs"	"library_only"	"source_adjusted"	"PARD6G"	0.764293950717748	2.40357992898099	1.92723660564468	0.182359077884008	0.716296603902669	0.547077233652024	-0.448787496606335	1.97737539804183	0.576525331888427	TRUE
"all_pairs"	"library_only"	"source_adjusted"	"PATJ"	-0.0658458351560867	7.80189073340548	0.0363688444179778	0.850961064773595	0.975063805810378	0.899629684343303	-0.833645057531028	0.701953387218855	0.36458165918735	TRUE
"all_pairs"	"library_only"	"source_adjusted"	"PRKCI"	-0.647102892357152	5.51456945886042	2.60521578437935	0.124132698393152	0.651675084727609	0.547077233652024	-1.55295189557039	0.258746110856084	0.430760603236656	TRUE
"all_pairs"	"library_only"	"unadjusted"	"CLDN1"	-0.286821157634097	7.21207459636569	3.07705495532644	0.096188421362246	0.292669782414027	0.170593034769653	-0.677439076860277	0.103796761592083	0.186103546857847	TRUE
"all_pairs"	"library_only"	"unadjusted"	"CLDN10"	-0.554092275386196	3.71050396765358	3.62079520510643	0.0714127112425053	0.246250135903836	0.15580955180183	-1.21306503970785	0.104880488935455	0.316109077697879	TRUE
