scoring	model	endpoint	k	n_patients	estimate	se	low	high	p	tau2	I2	Q	Q_p	df	q_member_family
"fixed_background"	"common"	"PARD3"	5	28	0.0231688184099527	0.0140287018363858	-0.0157811021359601	0.0621187389558655	0.173974753659594	0.00012873342303701	18.8164130168135	6.68267770603388	0.153638004921448	4	0.26096213048939
"fixed_background"	"common"	"PARD6A"	5	27	-0.0134040689206967	0.00875649820079372	-0.0377160054889637	0.0109078676475704	0.200579259950466	0	0	5.77256446841892	0.216789323294054	4	0.286541799929237
"fixed_background"	"common"	"PARD6B"	5	28	0.122968835580248	0.0332470744066795	0.0306601585816755	0.21527751257882	0.0208603138716591	0.00491716543279628	85.2006026199597	32.2545655970234	1.69706525186791e-06	4	0.0707921688765232
"fixed_background"	"common"	"PARD6G"	3	17	-0.0141634378798749	0.00504378152910991	-0.0358650782443595	0.00753820248460982	0.106869640731662	1.32095644662476e-05	7.03551613266945	1.70062857340956	0.427280622225176	2	0.18859348364411
"fixed_background"	"common"	"PATJ"	5	28	0.0480452763686166	0.0226647267927883	-0.0148820933958658	0.110972646133099	0.101361930625379	0.00133842011181888	67.3735929044399	10.1235972686402	0.0383963807960438	4	0.18859348364411
"fixed_background"	"common"	"PRKCI"	5	28	0.0602702768903341	0.0207213395177347	0.00273861521317795	0.11780193856749	0.0437390201885649	0.00128184446414292	67.1559019853474	11.3164364197742	0.0232287092613253	4	0.109347550471412
"target_mean"	"common"	"CLDN1"	5	28	0.0477136942391639	0.00687783994135284	0.0286177491996609	0.0668096392786669	0.00226725361423394	0	0	1.40569837900067	0.843204008304279	4	0.0226725361423394
"target_mean"	"common"	"CLDN10"	4	22	-0.0588187767282056	0.0116550630072293	-0.0959103889334114	-0.0217271645229997	0.0150054162821903	0	0	1.52544077505541	0.676411182547779	3	0.0500180542739678
"target_mean"	"common"	"CLDN11"	3	18	-0.0209117532777934	0.0041011590906952	-0.0385576166345099	-0.00326588992107683	0.0363763391209909	0	0	1.30174431528066	0.521590669039898	2	0.0779492981164092
"target_mean"	"common"	"CLDN12"	5	28	0.0420619609755252	0.00754198891167564	0.0211220427782474	0.0630018791728031	0.00506694172867297	0	0	5.08098800546047	0.279088111127179	4	0.0304016503720378
