study	patient	scoring	model	n_cells	n_samples	gene	rho	z
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN9	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CRB3	0.1898081308934407	0.192138121753219
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	F11R	0.07421053887712621	0.07434722166704097
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	PALS1	0.19103955549879456	0.19341587962942527
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	PARD3	-0.0021367478913882697	-0.0021367511433077763
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	PARD6A	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	PARD6B	0.28550675389190733	0.2936673679412362
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	PARD6G	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	PATJ	0.11810956721620268	0.1186634146842072
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	PRKCI	0.11483091343875222	0.11533967011728759
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN1	0.06338425422475961	0.06346934285448513
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN10	-0.032639157220362786	-0.03265075495780852
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN11	-0.022797155474126304	-0.02280110601156663
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN12	0.05609439925745996	0.05615334578763277
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN14	0.0197058401393791	0.01970839145868102
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN15	0.012780679522729422	0.012781375480915052
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN16	-0.005039410728160413	-0.005039453388531751
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN17	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN18	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN19	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN2	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN20	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN22	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN23	0.06636177002729138	0.06645944477039448
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN3	0.2822452745761551	0.2901200191805416
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN4	0.3206283437228876	0.33234729209577285
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN5	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN6	-0.024641314499318907	-0.02464630367297936
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN7	0.2305445847974371	0.23476454530297225
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN8	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CLDN9	0.15031375997480678	0.15146143347407318
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	CRB3	0.015431758241359722	0.01543298338507806
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	F11R	0.08835046185652876	0.08858142667785003
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	PALS1	-0.005372475568133615	-0.005372527258500422
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	PARD3	0.1497186046724761	0.1508525759007369
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	PARD6A	-0.024161458932675618	-0.024166162207585176
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	PARD6B	0.28740710536921527	0.2957375983459402
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	PARD6G	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	PATJ	0.08503702178771486	0.08524289168449685
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	PRKCI	0.2302806947882904	0.23448585988743298
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN1	0.0938561933273441	0.09413325177099784
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN10	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN11	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN12	0.17871170679599008	0.18065157523843933
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN14	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN15	0.09518417696304518	0.09547320685709382
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN16	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN17	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN18	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN19	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN2	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN20	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN22	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN23	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN3	0.10865478341602779	0.10908542581106852
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN4	0.25061115705674253	0.2560648190969139
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN5	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN6	0.08060284191207157	0.08077807951445445
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN7	0.0037979077629250752	0.003797926023554506
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN8	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CLDN9	0.04292945326176861	0.04295585456780615
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	CRB3	0.06106962328748891	0.0611457133242146
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	F11R	0.07685827944965654	0.07701015706770256
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	PALS1	0.12922094976303986	0.1299474889746418
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	PARD3	0.19389135422661288	0.1963773835175279
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	PARD6A	-0.02566572545252234	-0.025671363270816677
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	PARD6B	0.20876131447194268	0.21187586666566172
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	PARD6G	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	PATJ	0.17766168188668674	0.17956711816421755
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	PRKCI	0.21361537841431924	0.21695654325266098
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN1	0.056892256635127605	0.056953757719866556
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN10	-0.05360887382734266	-0.05366031828164082
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN11	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN12	0.14104433134788538	0.1419909448043878
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN14	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN15	-0.15209705171641327	-0.15328645126272977
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN16	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN17	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN18	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN19	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN2	0.00771696626391373	0.007717119455201995
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN20	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN22	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN23	0.12729572658365015	0.12799006513397698
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN3	0.27721475007005514	0.284662428933833
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN4	0.479320418865454	0.5221016198613415
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN5	NA	NA
