study	patient	scoring	model	n_cells	n_samples	design_columns	design_rank	residual_df	finite_comparison	covariates
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt03	fixed_background	common	2377	1	6	6	2371	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt04	fixed_background	common	3307	1	6	6	3301	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt05	fixed_background	common	438	2	7	7	431	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Liu_2024_mixCD45PosCD45Neg.Pt05_T3
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt06	fixed_background	common	1169	2	7	7	1162	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Liu_2024_mixCD45PosCD45Neg.Pt06_T3
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt07	fixed_background	common	829	1	6	6	823	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt08	fixed_background	common	6787	2	7	7	6780	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Liu_2024_mixCD45PosCD45Neg.Pt08_T4
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt11	fixed_background	common	661	1	6	6	655	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt15	fixed_background	common	5121	1	6	6	5115	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt17	fixed_background	common	187	1	6	6	181	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt18	fixed_background	common	5609	1	6	6	5603	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P5915	fixed_background	common	1138	1	6	6	1132	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6198	fixed_background	common	5333	1	6	6	5327	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6335	fixed_background	common	242	1	6	6	236	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0107	fixed_background	common	121	1	6	6	115	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
