scoring	model	endpoint	study	weight_percent	study_estimate	study_variance
fixed_background	common	CLDN14	Giguelay_2022_Theranostics	21.6661082362455	-0.0268861647397752	0.000548851887715953
fixed_background	common	CLDN14	Liu_2024_Cancer_Res	68.9699878805784	-0.0162800802205027	0.000172415347172623
fixed_background	common	CLDN14	Wang_2023_Sci_Adv	9.36390388317605	-0.0718255919123507	0.00126992807201777
fixed_background	common	CLDN15	Che_2021_Cell_Discov	3.27611165967441	0.0346683778437082	0.00378892958605283
fixed_background	common	CLDN15	Giguelay_2022_Theranostics	8.94432070418297	-0.0524647964920748	0.00129342433258622
fixed_background	common	CLDN15	Liu_2024_Cancer_Res	31.8464945860607	-0.0245700282553824	0.000256167277936742
fixed_background	common	CLDN15	Sathe_2023_Clin_Cancer_Res	29.7140846765074	0.0141560092457502	0.000285238640519303
fixed_background	common	CLDN15	Wang_2023_Sci_Adv	26.2189883735746	-0.0181927682159936	0.000343114778975367
fixed_background	common	CLDN16	Che_2021_Cell_Discov	14.8747347029277	0.00453313389834716	0.000169311343430085
fixed_background	common	CLDN16	Giguelay_2022_Theranostics	7.36663596116863	0.00467561930166224	0.00034187400178239
fixed_background	common	CLDN16	Liu_2024_Cancer_Res	49.929622576407	0.000329153490577849	5.04402233737056e-05
fixed_background	common	CLDN16	Wang_2023_Sci_Adv	27.8290067594967	-0.014076024749595	9.04977075712326e-05
fixed_background	common	CLDN19	Giguelay_2022_Theranostics	38.9260466191014	-0.0287632997063398	0.000402861086891936
fixed_background	common	CLDN19	Wang_2023_Sci_Adv	61.0739533808986	0.0134832244451677	7.57215651556474e-06
fixed_background	common	CLDN2	Che_2021_Cell_Discov	9.7608882224294	-0.0701363363006495	0.00606116057312833
fixed_background	common	CLDN2	Giguelay_2022_Theranostics	27.3849659308867	-0.0733388096663594	0.000251149896396556
fixed_background	common	CLDN2	Liu_2024_Cancer_Res	27.3245973113082	-0.0221193323567402	0.000258259040960205
fixed_background	common	CLDN2	Sathe_2023_Clin_Cancer_Res	22.3806020293697	0.0428500496206607	0.000970660152473717
fixed_background	common	CLDN2	Wang_2023_Sci_Adv	13.1489465060061	-0.151354642904584	0.0037349841448701
fixed_background	common	CLDN23	Che_2021_Cell_Discov	31.2336307644439	0.106379520728046	0.000399311173271464
fixed_background	common	CLDN23	Giguelay_2022_Theranostics	17.7267846955208	0.062349469199566	0.00145573183708922
fixed_background	common	CLDN23	Liu_2024_Cancer_Res	32.4047880842013	0.0421832726859172	0.000349201801448008
fixed_background	common	CLDN23	Wang_2023_Sci_Adv	18.6347964558341	0.0136868147330929	0.00133669750786939
fixed_background	common	CLDN3	Che_2021_Cell_Discov	18.7044878901145	0.261227485622258	0.00304961944845935
fixed_background	common	CLDN3	Giguelay_2022_Theranostics	23.156124863428	0.21348482252809	0.00147827625433988
fixed_background	common	CLDN3	Liu_2024_Cancer_Res	25.187345229924	0.113350238956343	0.000945834902070009
fixed_background	common	CLDN3	Sathe_2023_Clin_Cancer_Res	21.449955339902	0.0592294852805878	0.00200343780013821
fixed_background	common	CLDN3	Wang_2023_Sci_Adv	11.5020866766314	0.0662992520979787	0.00816782666781239
fixed_background	common	CLDN4	Che_2021_Cell_Discov	18.1101803774733	0.446606877084622	0.0048969924944617
fixed_background	common	CLDN4	Giguelay_2022_Theranostics	21.873074147036	0.177318829452154	0.00214230370439843
fixed_background	common	CLDN4	Liu_2024_Cancer_Res	24.2146697202457	0.151474982988449	0.000860248581761514
fixed_background	common	CLDN4	Sathe_2023_Clin_Cancer_Res	16.7553395622763	0.12866654129903	0.00619177089772237
fixed_background	common	CLDN4	Wang_2023_Sci_Adv	19.0467361929687	0.180407522520162	0.00410963220516582
fixed_background	common	CLDN5	Giguelay_2022_Theranostics	3.13334577915815	-0.0562930018542017	0.00270535324830255
fixed_background	common	CLDN5	Liu_2024_Cancer_Res	70.4870216968965	-0.0126552619624652	0.000120260538431486
fixed_background	common	CLDN5	Wang_2023_Sci_Adv	26.3796325239454	-0.0185983299552211	0.000321339092726405
fixed_background	common	CLDN6	Che_2021_Cell_Discov	7.87186845251585	0.00675600763795505	0.000737056687832738
fixed_background	common	CLDN6	Giguelay_2022_Theranostics	6.67800360092687	0.0117243850038667	0.000868824522325964
fixed_background	common	CLDN6	Liu_2024_Cancer_Res	43.9744238510626	0.0144283763795483	0.000131940632316577
fixed_background	common	CLDN6	Wang_2023_Sci_Adv	41.4757040954947	0.0105976041698398	0.000139889446489146
fixed_background	common	CLDN7	Che_2021_Cell_Discov	12.5477793864384	0.225443627762217	0.00906123583663471
fixed_background	common	CLDN7	Giguelay_2022_Theranostics	26.0664967917565	0.204851796852787	0.000497615563083569
fixed_background	common	CLDN7	Liu_2024_Cancer_Res	24.0038391043101	0.163126356373472	0.0011806384226945
fixed_background	common	CLDN7	Sathe_2023_Clin_Cancer_Res	25.4970501287896	0.0207640793773344	0.000675137448105117
fixed_background	common	CLDN7	Wang_2023_Sci_Adv	11.8848345887054	0.267356906526626	0.00998229770987002
fixed_background	common	CLDN8	Giguelay_2022_Theranostics	25.7824580682567	-0.0410148035518118	0.000936908283661884
fixed_background	common	CLDN8	Wang_2023_Sci_Adv	74.2175419317433	-0.0139577303210662	0.000325472899109629
fixed_background	common	CLDN9	Che_2021_Cell_Discov	20.6107270433208	0.0909988811306841	0.00101968287630187
fixed_background	common	CLDN9	Giguelay_2022_Theranostics	27.4644834897333	0.0258451361093406	0.000520373334257335
fixed_background	common	CLDN9	Liu_2024_Cancer_Res	38.7547288812158	0.0161942459161658	8.29386770848214e-05
fixed_background	common	CLDN9	Wang_2023_Sci_Adv	13.1700605857301	0.0993524357782705	0.00215009471778392
fixed_background	common	CRB3	Che_2021_Cell_Discov	13.6661466219138	0.0644612007705497	0.00110255744395078
fixed_background	common	CRB3	Giguelay_2022_Theranostics	20.345227617851	0.0907706094394329	0.000740601775076402
fixed_background	common	CRB3	Liu_2024_Cancer_Res	49.6600829494204	0.0557972039639985	0.000303416965764246
fixed_background	common	CRB3	Sathe_2023_Clin_Cancer_Res	2.73780266696139	0.0558950295533777	0.00550357842438554
fixed_background	common	CRB3	Wang_2023_Sci_Adv	13.5907401438534	0.0593743014226509	0.00110867484247563
fixed_background	common	F11R	Che_2021_Cell_Discov	2.47335554801535	0.171743266101841	0.0141833962437399
fixed_background	common	F11R	Giguelay_2022_Theranostics	27.2495975458911	0.0932063234964291	0.000776868785320385
fixed_background	common	F11R	Liu_2024_Cancer_Res	31.3870732268186	0.15179140999814	0.000600447065067551
fixed_background	common	F11R	Sathe_2023_Clin_Cancer_Res	27.1674631600394	0.0883337570437925	0.000780914948058635
fixed_background	common	F11R	Wang_2023_Sci_Adv	11.7225105192356	0.173251659532612	0.00254957503175346
fixed_background	common	PALS1	Che_2021_Cell_Discov	11.709070877945	0.111678566804982	0.00122119072601821
fixed_background	common	PALS1	Giguelay_2022_Theranostics	28.6991092571087	0.0363872592151325	0.000314435726821752
fixed_background	common	PALS1	Liu_2024_Cancer_Res	37.836134352377	0.0281228500902443	0.000163526396307293
fixed_background	common	PALS1	Sathe_2023_Clin_Cancer_Res	4.95210872029439	0.0851009818761784	0.00331108989005123
fixed_background	common	PALS1	Wang_2023_Sci_Adv	16.803576792275	0.0585917221526535	0.000756820515263467
fixed_background	common	PARD3	Che_2021_Cell_Discov	5.80322919579937	0.104380556882264	0.00220967615220941
fixed_background	common	PARD3	Giguelay_2022_Theranostics	22.9604830396447	0.00376499189157369	0.000462296247174004
fixed_background	common	PARD3	Liu_2024_Cancer_Res	30.176221411738	0.0348794537006774	0.000320969226398356
fixed_background	common	PARD3	Sathe_2023_Clin_Cancer_Res	17.1168681474665	-0.0147563089602894	0.00066407087982346
fixed_background	common	PARD3	Wang_2023_Sci_Adv	23.9431982053513	0.034445823966472	0.000438038258942126
fixed_background	common	PARD6A	Che_2021_Cell_Discov	5.99187123916758	-0.0611981066707207	0.000886726429078121
fixed_background	common	PARD6A	Giguelay_2022_Theranostics	10.3219682685606	-0.00680588775404865	0.000514741999700399
fixed_background	common	PARD6A	Liu_2024_Cancer_Res	40.8859075637429	-0.0208362667965955	0.000129950657916045
fixed_background	common	PARD6A	Sathe_2023_Clin_Cancer_Res	1.81903321692001	0.0633045410448343	0.00292086507161161
fixed_background	common	PARD6A	Wang_2023_Sci_Adv	40.9812197116089	-0.00406793514877518	0.000129648424932016
fixed_background	common	PARD6B	Che_2021_Cell_Discov	22.3666450959685	0.228165649637756	0.000810151748742916
fixed_background	common	PARD6B	Giguelay_2022_Theranostics	24.3810086319491	0.0384227595533034	0.000336959721963116
fixed_background	common	PARD6B	Liu_2024_Cancer_Res	23.7883401161716	0.108934539123655	0.000467862279349348
fixed_background	common	PARD6B	Sathe_2023_Clin_Cancer_Res	15.4112166340194	0.102425968222351	0.00339501872460206
fixed_background	common	PARD6B	Wang_2023_Sci_Adv	14.0527895218916	0.148505544867574	0.00419852441312171
fixed_background	common	PARD6G	Giguelay_2022_Theranostics	11.1412501215804	-0.00567845429794604	0.000281956835961367
