study	scoring	model	gene	n_patients	estimate	variance	low	high	p_signflip	n_positive
Giguelay_2022_Theranostics	target_mean	common	CLDN1	4	0.05324141246991552	0.0019917083889210525	-0.031956973667845466	0.1086697979932457	0.375	3.0
Giguelay_2022_Theranostics	target_mean	common	CLDN10	4	-0.04113109307631062	0.0010075788257463327	-0.09261800550154374	0.008374497335285908	0.375	1.0
Giguelay_2022_Theranostics	target_mean	common	CLDN11	3	-0.01524009655203685	0.0012616321503877103	-0.06528439844984173	0.05344636862294903	0.75	1.0
Giguelay_2022_Theranostics	target_mean	common	CLDN12	4	0.060898824122931426	0.00023001869418261161	0.04237997240428055	0.09015449706686009	0.125	4.0
Giguelay_2022_Theranostics	target_mean	common	CLDN14	4	-0.031504745085436714	0.0007252790705619393	-0.07191253591227897	0.013459382553068147	0.375	1.0
Giguelay_2022_Theranostics	target_mean	common	CLDN15	4	-0.035832656958860024	0.0011886047386590597	-0.08713191962420096	0.02991813068068683	0.375	1.0
Giguelay_2022_Theranostics	target_mean	common	CLDN16	4	-0.006547335046064118	0.00030045831118639753	-0.038451439497212817	0.017711252068281412	0.875	2.0
Giguelay_2022_Theranostics	target_mean	common	CLDN17	0	NA	NA	NA	NA	NA	NA
Giguelay_2022_Theranostics	target_mean	common	CLDN18	1	-0.04950522836366338	NA	NA	NA	NA	0.0
Giguelay_2022_Theranostics	target_mean	common	CLDN19	3	-0.020149289599246115	0.0003820891085513808	-0.05914986724166793	0.0016926937627222093	0.5	1.0
Giguelay_2022_Theranostics	target_mean	common	CLDN2	4	-0.06279423781017414	0.000459981523135414	-0.09359379139777894	-0.024226231777072633	0.125	0.0
Giguelay_2022_Theranostics	target_mean	common	CLDN20	1	0.06733321288575099	NA	NA	NA	NA	1.0
Giguelay_2022_Theranostics	target_mean	common	CLDN22	0	NA	NA	NA	NA	NA	NA
Giguelay_2022_Theranostics	target_mean	common	CLDN23	4	0.05804967095433105	0.001434491310604225	0.01218950675079588	0.13279631440191023	0.125	4.0
Giguelay_2022_Theranostics	target_mean	common	CLDN3	4	0.19251676233588472	0.001931541773452618	0.1212594647446042	0.2637740599271653	0.125	4.0
Giguelay_2022_Theranostics	target_mean	common	CLDN4	4	0.14553607658498538	0.003558309483484331	0.02749534390368802	0.226354852574612	0.25	3.0
Giguelay_2022_Theranostics	target_mean	common	CLDN5	2	-0.044790419026807034	0.0013736078251098518	-0.08185263462584876	-0.007728203427765307	0.5	0.0
Giguelay_2022_Theranostics	target_mean	common	CLDN6	2	0.004362719631926397	0.0003334427469899773	-0.013897695122124984	0.022623134385977777	1.0	1.0
Giguelay_2022_Theranostics	target_mean	common	CLDN7	4	0.20877269281657757	0.000904900463583047	0.14926176885977294	0.2411586349287109	0.125	4.0
Giguelay_2022_Theranostics	target_mean	common	CLDN8	2	-0.028319844254058278	0.0014107457337821734	-0.06587973953855253	0.009240051030435972	1.0	1.0
Giguelay_2022_Theranostics	target_mean	common	CLDN9	4	0.028964639289283757	0.0007011589568664787	-0.020789797689916234	0.0725809076107968	0.5	3.0
Giguelay_2022_Theranostics	target_mean	common	CRB3	4	0.0883517985460156	0.00040068812257534566	0.05914994603994785	0.12370532998932648	0.125	4.0
Giguelay_2022_Theranostics	target_mean	common	F11R	4	0.10453048563938916	0.0004699974788041346	0.06912293187298668	0.1399380394057916	0.125	4.0
Giguelay_2022_Theranostics	target_mean	common	PALS1	4	0.035812812323420956	0.0002952925744208502	0.013138721220184942	0.06853351175189872	0.125	4.0
