study	patient	gene	n_cells	detection_fraction	mean_log_expression
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN6	294	0.003401360544217687	0.0024729245342314243
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN7	294	0.8435374149659864	1.314031958580017
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN8	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN9	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CRB3	294	0.47278911564625853	0.23667292296886444
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	F11R	294	0.5340136054421769	0.27945640683174133
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	PALS1	294	0.2857142857142857	0.15355589985847473
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	PARD3	294	0.8639455782312925	0.8802698850631714
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	PARD6A	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	PARD6B	294	0.782312925170068	0.5449731349945068
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	PARD6G	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	PATJ	294	0.7925170068027211	0.7185169458389282
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	PRKCI	294	0.36394557823129253	0.17664998769760132
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN1	1265	0.5501976284584981	0.47703441977500916
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN10	1265	0.005533596837944664	0.003972323145717382
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN11	1265	0.034782608695652174	0.01897335797548294
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN12	1265	0.15019762845849802	0.07928488403558731
