gene	compartment	mean_detection	n_patients
PARD6B	Endothelial	0.03628246568905009	8
PARD6B	Epithelial	0.3589700862892756	15
PARD6B	Hepatocyte	0.15767475418638205	6
PARD6B	Myeloid	0.02216600415472717	14
PARD6B	Plasma	0.0357142857142857	1
PARD6B	Stromal	0.04253758337214217	10
PARD6B	T-NK-ILC	0.027594283576394908	11
PARD6G	B	0.0	1
PARD6G	Endothelial	0.0818410187191116	8
PARD6G	Epithelial	0.016496789588260754	15
PARD6G	Hepatocyte	0.01876489143931	6
PARD6G	Myeloid	0.004230441985305478	14
PARD6G	Plasma	0.0	1
PARD6G	Stromal	0.07918188322967731	10
PARD6G	T-NK-ILC	0.04679170674819675	11
PATJ	B	0.1206896551724138	1
PATJ	Endothelial	0.16830923655976676	8
PATJ	Epithelial	0.8601793749620509	15
PATJ	Hepatocyte	0.679941021510789	6
PATJ	Myeloid	0.08793551660654234	14
PATJ	Plasma	0.1071428571428571	1
PATJ	Stromal	0.21561568534730297	10
PATJ	T-NK-ILC	0.3407069745104551	11
PRKCI	B	0.0	1
PRKCI	Endothelial	0.23257625334342133	8
PRKCI	Epithelial	0.3968698365181362	15
PRKCI	Hepatocyte	0.2545773348098929	6
PRKCI	Myeloid	0.1345720124894154	14
PRKCI	Plasma	0.1428571428571428	1
PRKCI	Stromal	0.2637553662811015	10
PRKCI	T-NK-ILC	0.08617782141148234	11
