scope	gene	n	effect	low	high	p	n_positive	loo_min	loo_max	q_genes
All_epithelial	PARD3	14	-0.005485970722080935	-0.026736369716423715	0.018748592130960372	0.6585693359375	6.0	-0.014145669177764412	-0.0005252975412743145	0.7212902250744049
All_epithelial	PARD6A	8	-0.00719091737434866	-0.025113801730093786	0.008212780915142387	0.453125	5.0	-0.01159594292040085	-0.0013654182449244219	0.5789930555555555
All_epithelial	PARD6B	14	0.09544996715796246	0.07266448409135176	0.12084921199106202	0.0001220703125	14.0	0.0864988966955305	0.09990772756730285	0.001123046875
All_epithelial	PARD6G	11	-0.010896942478921881	-0.02953916401224247	0.005835936040384869	0.3046875	6.0	-0.015854409882851046	-0.004584066022465704	0.41222426470588236
All_epithelial	PATJ	14	0.03471277726695497	0.010145310249110672	0.05829384061290265	0.017333984375	12.0	0.027930420914514722	0.04292054742588951	0.044921875
All_epithelial	PRKCI	14	0.028491640016737114	0.003053406074014049	0.052923637897511734	0.0531005859375	11.0	0.021293591221839894	0.0377511497175865	0.101776123046875
REC	CLDN1	9	0.04228740864385941	-0.03517798619549473	0.13508230152255807	0.45703125	5.0	0.0048999403639532904	0.06576113375005739	0.4921875
REC	CLDN10	2	-0.11357697902901448	-0.25558076345774483	0.03322400653540825	NA	1.0	-0.25558076345774483	0.03322400653540826	NA
REC	CLDN11	1	0.007862343178016509	0.007862343178016509	0.007862343178016509	NA	1.0	NA	NA	NA
REC	CLDN12	9	0.01593038414308608	-0.06498783675561308	0.09753748475224405	0.73046875	5.0	-0.006474704366731626	0.03863547439858026	0.73046875
REC	CLDN14	0	NA	NA	NA	NA	NA	NA	NA	NA
REC	CLDN15	5	-0.1003178984948835	-0.18852450079483926	-0.00018857601836688164	0.25	1.0	-0.1492848202643373	-0.0704049414721363	0.35
REC	CLDN16	3	-0.07274679631926777	-0.18734080353357932	0.06914450316142583	NA	1.0	-0.14295487504031174	-0.014522369085777543	NA
REC	CLDN17	0	NA	NA	NA	NA	NA	NA	NA	NA
REC	CLDN18	1	0.07974630525689819	0.07974630525689819	0.07974630525689819	NA	1.0	NA	NA	NA
REC	CLDN19	0	NA	NA	NA	NA	NA	NA	NA	NA
REC	CLDN2	4	-0.15301387544972442	-0.298963894872859	-0.01628515672749757	NA	1.0	-0.21040163886846022	-0.07470756342002469	NA
REC	CLDN20	1	-0.031212309387237465	-0.031212309387237465	-0.031212309387237465	NA	0.0	NA	NA	NA
REC	CLDN22	0	NA	NA	NA	NA	NA	NA	NA	NA
