component	gene	role	source_gene	measured
Claudin	CBR3	control	CBR3	True
Claudin	GDPD1	control	GDPD1	True
Claudin	FAM76A	control	FAM76A	True
Claudin	MTX3	control	MTX3	True
Claudin	SMIM24	control	SMIM24	True
Claudin	F11-AS1	control	F11-AS1	True
Claudin	TAZ	control	TAZ	True
Claudin	RUSC2	control	RUSC2	True
Claudin	ACAD11	control	ACAD11	True
Claudin	AC132807.2	control	AC132807.2	True
Claudin	FBXO3	control	FBXO3	True
Claudin	GRIPAP1	control	GRIPAP1	True
Claudin	PTPN6	control	PTPN6	True
Claudin	PUS1	control	PUS1	True
Claudin	PODXL2	control	PODXL2	True
Claudin	TRIM38	control	TRIM38	True
Claudin	ZNF532	control	ZNF532	True
Claudin	COQ9	control	COQ9	True
Claudin	IFNLR1	control	IFNLR1	True
Claudin	AC027097.2	control	AC027097.2	True
Claudin	LTV1	control	LTV1	True
Claudin	OSTM1	control	OSTM1	True
Claudin	PRDM5	control	PRDM5	True
Claudin	AC021851.1	control	AC021851.1	True
Claudin	TUFT1	control	TUFT1	True
Claudin	FUT10	control	FUT10	True
Claudin	MAP2K2	control	MAP2K2	True
Claudin	REXO2	control	REXO2	True
Claudin	DYNC1LI1	control	DYNC1LI1	True
Claudin	AC008825.1	control	AC008825.1	True
Claudin	KIF20B	control	KIF20B	True
Claudin	CEP162	control	CEP162	True
Claudin	PSMD12	control	PSMD12	True
Claudin	PFDN1	control	PFDN1	True
Claudin	PMPCB	control	PMPCB	True
Claudin	RABGGTB	control	RABGGTB	True
Claudin	SLC25A33	control	SLC25A33	True
Claudin	LSG1	control	LSG1	True
Claudin	SH3BGRL	control	SH3BGRL	True
Claudin	HAT1	control	HAT1	True
Claudin	WIPI2	control	WIPI2	True
Claudin	ATG4B	control	ATG4B	True
Claudin	SAMHD1	control	SAMHD1	True
Claudin	NBDY	control	NBDY	True
Claudin	LSAMP	control	LSAMP	True
Claudin	ADCY3	control	ADCY3	True
Claudin	OVOL2	control	OVOL2	True
Claudin	AFG3L2	control	AFG3L2	True
Claudin	TMEM106B	control	TMEM106B	True
Claudin	ITPA	control	ITPA	True
Claudin	RNMT	control	RNMT	True
Claudin	AP002495.1	control	AP002495.1	True
Claudin	BORCS5	control	BORCS5	True
Claudin	RNASEK	control	RNASEK	True
Claudin	SLC39A9	control	SLC39A9	True
Claudin	COPE	control	COPE	True
Claudin	RBL1	control	RBL1	True
Claudin	FAM168B	control	FAM168B	True
Claudin	ABCC4	control	ABCC4	True
Claudin	ATXN3	control	ATXN3	True
Claudin	MTMR1	control	MTMR1	True
Claudin	ZNF44	control	ZNF44	True
Claudin	DENR	control	DENR	True
Claudin	C7ORF50	control	C7orf50	True
Claudin	MGRN1	control	MGRN1	True
Claudin	SNRPF	control	SNRPF	True
Claudin	TNPO3	control	TNPO3	True
Claudin	EIF1	control	EIF1	True
Claudin	PLEKHA7	control	PLEKHA7	True
Claudin	KIF13A	control	KIF13A	True
Claudin	TAOK1	control	TAOK1	True
Claudin	NCL	control	NCL	True
Claudin	ATP11A	control	ATP11A	True
Claudin	CALR	control	CALR	True
Claudin	NUDCD3	control	NUDCD3	True
Claudin	TM9SF2	control	TM9SF2	True
Claudin	MED13L	control	MED13L	True
Claudin	EPB41	control	EPB41	True
Claudin	LRRFIP2	control	LRRFIP2	True
Claudin	PYGB	control	PYGB	True
Claudin	KMT2E	control	KMT2E	True
Claudin	MYO1E	control	MYO1E	True
Claudin	TXN	control	TXN	True
Claudin	SRPK1	control	SRPK1	True
Claudin	TJP1	control	TJP1	True
Claudin	LRRFIP1	control	LRRFIP1	True
Polarity	CRB3	target	CRB3	True
Polarity	PALS1	target	MPP5	True
Polarity	PARD3	target	PARD3	True
Polarity	PARD6A	target	PARD6A	True
Polarity	PARD6B	target	PARD6B	True
Polarity	PARD6G	target	PARD6G	True
Polarity	PATJ	target	PATJ	True
Polarity	PRKCI	target	PRKCI	True
Polarity	PRRX2	control	PRRX2	True
Polarity	FLNC	control	FLNC	True
Polarity	TNR	control	TNR	True
Polarity	AC010422.2	control	AC010422.2	True
Polarity	AC002072.1	control	AC002072.1	True
Polarity	SCN5A	control	SCN5A	True
Polarity	EGFL7	control	EGFL7	True
Polarity	AL391840.1	control	AL391840.1	True
Polarity	AC100830.1	control	AC100830.1	True
Polarity	AC068389.3	control	AC068389.3	True
Polarity	KCNIP3	control	KCNIP3	True
Polarity	AC110772.1	control	AC110772.1	True
Polarity	AC090772.1	control	AC090772.1	True
Polarity	B3GALT2	control	B3GALT2	True
Polarity	CLTRN	control	CLTRN	True
Polarity	LINC01443	control	LINC01443	True
Polarity	HMGN3-AS1	control	HMGN3-AS1	True
Polarity	AC137579.2	control	AC137579.2	True
Polarity	VAX2	control	VAX2	True
Polarity	MEF2C-AS2	control	MEF2C-AS2	True
Polarity	SPDYE21P	control	SPDYE21P	True
Polarity	TIGD6	control	TIGD6	True
Polarity	AC007736.1	control	AC007736.1	True
Polarity	CCDC73	control	CCDC73	True
Polarity	AL589740.1	control	AL589740.1	True
Polarity	MPIG6B	control	MPIG6B	True
Polarity	PDZD7	control	PDZD7	True
Polarity	ARHGAP30	control	ARHGAP30	True
Polarity	TMEM132B	control	TMEM132B	True
Polarity	AL121772.3	control	AL121772.3	True
Polarity	KCNIP2-AS1	control	KCNIP2-AS1	True
Polarity	AC239868.1	control	AC239868.1	True
Polarity	HOXA4	control	HOXA4	True
Polarity	AC005306.1	control	AC005306.1	True
Polarity	LINC02240	control	LINC02240	True
Polarity	KCNH4	control	KCNH4	True
Polarity	AL118505.1	control	AL118505.1	True
Polarity	FP565260.1	control	FP565260.1	True
Polarity	AC011322.1	control	AC011322.1	True
Polarity	TSC22D1-AS1	control	TSC22D1-AS1	True
Polarity	NACC1	control	NACC1	True
Polarity	AC156455.1	control	AC156455.1	True
Polarity	KCNJ14	control	KCNJ14	True
Polarity	NOTUM	control	NOTUM	True
Polarity	AL110292.1	control	AL110292.1	True
Polarity	LANCL3	control	LANCL3	True
Polarity	HSDL1	control	HSDL1	True
Polarity	GPR155	control	GPR155	True
Polarity	ACE2	control	ACE2	True
Polarity	PHF7	control	PHF7	True
Polarity	IRF7	control	IRF7	True
Polarity	DUSP27	control	DUSP27	True
Polarity	HAS2	control	HAS2	True
Polarity	MEX3C	control	MEX3C	True
Polarity	AP005262.2	control	AP005262.2	True
Polarity	FAM169A	control	FAM169A	True
Polarity	ZNF830	control	ZNF830	True
Polarity	TIMM29	control	TIMM29	True
Polarity	ZNF486	control	ZNF486	True
Polarity	ANKS4B	control	ANKS4B	True
Polarity	AKAP8L	control	AKAP8L	True
Polarity	ATP5MC1	control	ATP5MC1	True
Polarity	FBXO22	control	FBXO22	True
Polarity	MALT1	control	MALT1	True
Polarity	B3GNT5	control	B3GNT5	True
Polarity	AQR	control	AQR	True
Polarity	AP3D1	control	AP3D1	True
Polarity	HACD2	control	HACD2	True
Polarity	CRYL1	control	CRYL1	True
Polarity	NCK1	control	NCK1	True
Polarity	ALDH7A1	control	ALDH7A1	True
Polarity	AIMP1	control	AIMP1	True
Polarity	AC083837.1	control	AC083837.1	True
Polarity	STX17	control	STX17	True
Polarity	APEX1	control	APEX1	True
Polarity	SLIRP	control	SLIRP	True
Polarity	TRIM13	control	TRIM13	True
Polarity	HUNK	control	HUNK	True
Polarity	CD151	control	CD151	True
Polarity	ESCO1	control	ESCO1	True
Polarity	OSBPL3	control	OSBPL3	True
Polarity	DAPK2	control	DAPK2	True
Polarity	GNG4	control	GNG4	True
Polarity	RALA	control	RALA	True
Polarity	RBIS	control	RBIS	True
Polarity	MDM4	control	MDM4	True
Polarity	HERC1	control	HERC1	True
Polarity	PPP1R14B	control	PPP1R14B	True
Polarity	AGPS	control	AGPS	True
Polarity	HOXB7	control	HOXB7	True
Polarity	ZNF280D	control	ZNF280D	True
Polarity	EIF2AK2	control	EIF2AK2	True
Polarity	PDE7A	control	PDE7A	True
Polarity	PUS7	control	PUS7	True
Polarity	ARHGEF3	control	ARHGEF3	True
Polarity	WAPL	control	WAPL	True
Polarity	CCNL2	control	CCNL2	True
Polarity	ZMIZ1	control	ZMIZ1	True
Polarity	HSPA1B	control	HSPA1B	True
Polarity	DYNC1H1	control	DYNC1H1	True
Polarity	FAM120A	control	FAM120A	True
Polarity	PACS1	control	PACS1	True
Polarity	RAB3GAP2	control	RAB3GAP2	True
Polarity	TSC22D2	control	TSC22D2	True
Polarity	SIPA1L3	control	SIPA1L3	True
Polarity	MYO6	control	MYO6	True
Polarity	CMTM8	control	CMTM8	True
Polarity	TPM4	control	TPM4	True
Polarity	SLC25A13	control	SLC25A13	True
Polarity	TMSB4X	control	TMSB4X	True
Polarity	WNK2	control	WNK2	True
Polarity	RYK	control	RYK	True
Polarity	CHD2	control	CHD2	True
Polarity	REEP3	control	REEP3	True
Polarity	MAGI3	control	MAGI3	True
Polarity	C1GALT1	control	C1GALT1	True
Polarity	DHRSX	control	DHRSX	True
Polarity	SRRM2	control	SRRM2	True
Polarity	SYTL2	control	SYTL2	True
Polarity	EXOC4	control	EXOC4	True
Junction	CLDN1	target	CLDN1	True
Junction	CLDN10	target	CLDN10	True
Junction	CLDN11	target	CLDN11	True
Junction	CLDN12	target	CLDN12	True
Junction	CLDN14	target	CLDN14	True
Junction	CLDN15	target	CLDN15	True
Junction	CLDN16	target	CLDN16	True
Junction	CLDN17	target	CLDN17	False
Junction	CLDN18	target	CLDN18	True
Junction	CLDN19	target	CLDN19	True
Junction	CLDN2	target	CLDN2	True
Junction	CLDN20	target	CLDN20	True
Junction	CLDN22	target	CLDN22	True
Junction	CLDN23	target	CLDN23	True
Junction	CLDN3	target	CLDN3	True
Junction	CLDN4	target	CLDN4	True
Junction	CLDN5	target	CLDN5	True
Junction	CLDN6	target	CLDN6	True
Junction	CLDN7	target	CLDN7	True
Junction	CLDN8	target	CLDN8	True
Junction	CLDN9	target	CLDN9	True
Junction	CRB3	target	CRB3	True
Junction	F11R	target	F11R	True
Junction	PALS1	target	MPP5	True
Junction	PARD3	target	PARD3	True
Junction	PARD6A	target	PARD6A	True
Junction	PARD6B	target	PARD6B	True
Junction	PARD6G	target	PARD6G	True
Junction	PATJ	target	PATJ	True
Junction	PRKCI	target	PRKCI	True
Junction	IGHV3-30	control	IGHV3-30	True
Junction	AC004837.3	control	AC004837.3	True
Junction	ADGRA1	control	ADGRA1	True
