scope	patient	n_cells	scoring	model	component	rho	design_rank
All_epithelial	CRC10	1500	matched	technical	Claudin	0.2677826840042473	15
All_epithelial	CRC10	1500	matched	technical	Polarity	0.08539717180907758	15
All_epithelial	CRC10	1500	matched	conditional	Claudin	0.18045310602632417	18
All_epithelial	CRC10	1500	matched	conditional	Polarity	0.08247964589720033	18
All_epithelial	CRC10	1500	raw	technical	Claudin	0.31048028702184527	15
All_epithelial	CRC10	1500	raw	technical	Polarity	0.10966724064978099	15
All_epithelial	CRC10	1500	raw	conditional	Claudin	0.22130276647519162	18
All_epithelial	CRC10	1500	raw	conditional	Polarity	0.11344846136487166	18
All_epithelial	CRC11	952	matched	technical	Claudin	0.2506583772011427	13
All_epithelial	CRC11	952	matched	technical	Polarity	0.06510386887455451	13
All_epithelial	CRC11	952	matched	conditional	Claudin	0.1410038719141646	16
All_epithelial	CRC11	952	matched	conditional	Polarity	0.09052722832262702	16
All_epithelial	CRC11	952	raw	technical	Claudin	0.29613545939351443	13
All_epithelial	CRC11	952	raw	technical	Polarity	0.10676875396472256	13
All_epithelial	CRC11	952	raw	conditional	Claudin	0.14599938153774444	16
All_epithelial	CRC11	952	raw	conditional	Polarity	0.14109797681591715	16
All_epithelial	CRC12	341	matched	technical	Claudin	0.207624688371082	14
All_epithelial	CRC12	341	matched	technical	Polarity	0.07707602568525983	14
All_epithelial	CRC12	341	matched	conditional	Claudin	0.08733183747333906	17
All_epithelial	CRC12	341	matched	conditional	Polarity	0.07748376057216101	17
All_epithelial	CRC12	341	raw	technical	Claudin	0.22487000017096406	14
All_epithelial	CRC12	341	raw	technical	Polarity	0.09367257432225931	14
All_epithelial	CRC12	341	raw	conditional	Claudin	0.1152605110275011	17
All_epithelial	CRC12	341	raw	conditional	Polarity	0.06466034281358093	17
All_epithelial	CRC14	1554	matched	technical	Claudin	0.2632404688358822	14
All_epithelial	CRC14	1554	matched	technical	Polarity	0.04311994895853362	14
All_epithelial	CRC14	1554	matched	conditional	Claudin	0.16422739895147723	17
All_epithelial	CRC14	1554	matched	conditional	Polarity	0.04059289157394687	17
All_epithelial	CRC14	1554	raw	technical	Claudin	0.2869625477872538	14
All_epithelial	CRC14	1554	raw	technical	Polarity	0.07495478536256828	14
All_epithelial	CRC14	1554	raw	conditional	Claudin	0.13658581116770227	17
All_epithelial	CRC14	1554	raw	conditional	Polarity	0.08536761223959881	17
All_epithelial	CRC15	729	matched	technical	Claudin	0.14133543049920733	14
All_epithelial	CRC15	729	matched	technical	Polarity	0.0412386459462742	14
All_epithelial	CRC15	729	matched	conditional	Claudin	0.08038833933871933	17
All_epithelial	CRC15	729	matched	conditional	Polarity	-0.03547912171591247	17
All_epithelial	CRC15	729	raw	technical	Claudin	0.16941787639511768	14
All_epithelial	CRC15	729	raw	technical	Polarity	0.08993221411688576	14
All_epithelial	CRC15	729	raw	conditional	Claudin	0.09740514136001713	17
All_epithelial	CRC15	729	raw	conditional	Polarity	0.00435159181814538	17
REC	CRC01	51	matched	technical	Claudin	0.27797999338369195	3
REC	CRC01	51	matched	technical	Polarity	-0.1183258575911419	3
REC	CRC01	51	matched	conditional	Claudin	0.19321686578873754	6
REC	CRC01	51	matched	conditional	Polarity	-0.20400554214404754	6
REC	CRC01	51	raw	technical	Claudin	0.28766274318266416	3
REC	CRC01	51	raw	technical	Polarity	-0.08703386696918558	3
REC	CRC01	51	raw	conditional	Claudin	0.212602985468071	6
REC	CRC01	51	raw	conditional	Polarity	-0.1251631884219648	6
REC	CRC04	80	matched	technical	Claudin	0.28505014885197466	3
REC	CRC04	80	matched	technical	Polarity	0.26563285434643147	3
REC	CRC04	80	matched	conditional	Claudin	0.1520346348958052	6
REC	CRC04	80	matched	conditional	Polarity	0.25713234032452303	6
REC	CRC04	80	raw	technical	Claudin	0.2767652058734237	3
REC	CRC04	80	raw	technical	Polarity	0.2937112650545269	3
REC	CRC04	80	raw	conditional	Claudin	0.1555687690133157	6
REC	CRC04	80	raw	conditional	Polarity	0.22812540470285816	6
REC	CRC05	96	matched	technical	Claudin	0.475818890122952	3
REC	CRC05	96	matched	technical	Polarity	0.06332798064581342	3
REC	CRC05	96	matched	conditional	Claudin	0.2268139244003799	6
REC	CRC05	96	matched	conditional	Polarity	0.10982937209344809	6
REC	CRC05	96	raw	technical	Claudin	0.4446763756548561	3
REC	CRC05	96	raw	technical	Polarity	0.096322224534434	3
REC	CRC05	96	raw	conditional	Claudin	0.23107889877221874	6
REC	CRC05	96	raw	conditional	Polarity	0.13464014779343636	6
REC	CRC06	94	matched	technical	Claudin	0.39005019347924474	3
REC	CRC06	94	matched	technical	Polarity	-0.1981731635685324	3
REC	CRC06	94	matched	conditional	Claudin	0.3924922346680712	6
REC	CRC06	94	matched	conditional	Polarity	-0.1247482868129968	6
REC	CRC06	94	raw	technical	Claudin	0.40235585676477126	3
REC	CRC06	94	raw	technical	Polarity	-0.15024895375279299	3
REC	CRC06	94	raw	conditional	Claudin	0.38155985489427346	6
REC	CRC06	94	raw	conditional	Polarity	-0.09273101701577516	6
REC	CRC08	88	matched	technical	Claudin	0.44385263616307696	3
REC	CRC08	88	matched	technical	Polarity	-0.0017990061568656463	3
REC	CRC08	88	matched	conditional	Claudin	0.3037291798069089	6
REC	CRC08	88	matched	conditional	Polarity	-0.00215710634651081	6
REC	CRC08	88	raw	technical	Claudin	0.5344633208181665	3
REC	CRC08	88	raw	technical	Polarity	0.014442141133735618	3
REC	CRC08	88	raw	conditional	Claudin	0.3811331467417222	6
REC	CRC08	88	raw	conditional	Polarity	-0.037300981834522386	6
REC	CRC10	401	matched	technical	Claudin	0.32200829228405414	3
REC	CRC10	401	matched	technical	Polarity	0.2234949562187143	3
REC	CRC10	401	matched	conditional	Claudin	0.23200995159049823	6
REC	CRC10	401	matched	conditional	Polarity	0.19510086031112064	6
REC	CRC10	401	raw	technical	Claudin	0.35152816150612054	3
REC	CRC10	401	raw	technical	Polarity	0.26031821279919765	3
REC	CRC10	401	raw	conditional	Claudin	0.24103460040753102	6
REC	CRC10	401	raw	conditional	Polarity	0.25160645143183186	6
REC	CRC12	55	matched	technical	Claudin	0.15799299268463135	3
REC	CRC12	55	matched	technical	Polarity	0.15309681866036914	3
REC	CRC12	55	matched	conditional	Claudin	0.15016227181365566	6
REC	CRC12	55	matched	conditional	Polarity	0.1401904339741842	6
REC	CRC12	55	raw	technical	Claudin	0.16750689859057916	3
REC	CRC12	55	raw	technical	Polarity	0.14484971264452248	3
REC	CRC12	55	raw	conditional	Claudin	0.23325989252988763	6
REC	CRC12	55	raw	conditional	Polarity	0.11486311626851896	6
REC	CRC14	40	matched	technical	Claudin	0.3917098854975986	3
REC	CRC14	40	matched	technical	Polarity	0.17349523252123902	3
REC	CRC14	40	matched	conditional	Claudin	0.20837311922936022	6
REC	CRC14	40	matched	conditional	Polarity	0.3464790358784503	6
REC	CRC14	40	raw	technical	Claudin	0.46094439264482884	3
REC	CRC14	40	raw	technical	Polarity	0.10783587764847724	3
REC	CRC14	40	raw	conditional	Claudin	0.3863908270144186	6
REC	CRC14	40	raw	conditional	Polarity	0.12683364229344918	6
REC	CRC15	41	matched	technical	Claudin	0.41935003275445776	3
REC	CRC15	41	matched	technical	Polarity	0.1559427196174784	3
REC	CRC15	41	matched	conditional	Claudin	0.301845504837471	6
REC	CRC15	41	matched	conditional	Polarity	0.05126587604343616	6
REC	CRC15	41	raw	technical	Claudin	0.44437611953535383	3
REC	CRC15	41	raw	technical	Polarity	0.2250222999825166	3
REC	CRC15	41	raw	conditional	Claudin	0.37899936295103764	6
REC	CRC15	41	raw	conditional	Polarity	-0.12699105076156184	6
