gene	program_rank	discovery_rec_vs_other	bulk_rHGP_vs_dHGP	interface_rHGP_vs_dHGP	epithelial_rHGP_vs_dHGP	spatial_rHGP_vs_dHGP	outgrowth_macro_vs_micro	member_ap1	member_hypoxia	member_regenerative	member_nfkb	hgp_positive_sources	all_positive_sources	persistent_five_source_core	hgp_recurrence_class	outgrowth_direction	biological_membership	bulk_rHGP_vs_dHGP_percentile	interface_rHGP_vs_dHGP_percentile	epithelial_rHGP_vs_dHGP_percentile	spatial_rHGP_vs_dHGP_percentile	mean_hgp_percentile_unweighted_four	shared_cohort_multimodal_percentile	mean_hgp_percentile_family_aware	mean_hgp_percentile_independent_only	mean_hgp_percentile	outgrowth_percentile	persistent
CDHR5	27	1.81817956539995	0.973571674955292	0.426507166294832	0.543762771364858	0.512145980591103	0.351751818363067	FALSE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Other REC programme	0.822222222222222	0.666666666666667	0.511111111111111	0.733333333333333	0.683333333333333	0.622222222222222	0.703703703703704	0.744444444444445	0.703703703703704	0.466666666666667	Recurrent in all contexts
MX2	28	1.92800600552055	-0.210919143161421	-0.0936943787157789	-0.579160876806037	-0.976375880957137	-0.678149173912057	FALSE	FALSE	FALSE	FALSE	0	0	FALSE	positive in zero or one HGP dataset	not higher in macrometastasis	Other REC programme	0.0444444444444444	0.266666666666667	0.177777777777778	0.111111111111111	0.15	0.144444444444444	0.151851851851852	0.155555555555556	0.151851851851852	0.0666666666666667	Other REC genes
OAS1	29	1.62361664199347	-0.0924789115460278	0.249098542020629	-1.10595133834711	-1.21103083593625	0.53573572547315	FALSE	FALSE	TRUE	FALSE	1	2	FALSE	positive in zero or one HGP dataset	higher in macrometastasis	Regenerative	0.0888888888888889	0.444444444444444	0.0888888888888889	0.0444444444444444	0.166666666666667	0.0666666666666667	0.2	0.266666666666667	0.2	0.644444444444445	Other REC genes
COL17A1	30	2.36989665499005	1.75647915461918	0.472576615787395	1.37790075288811	-0.532626968725042	1.57709561158776	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	0.933333333333333	0.688888888888889	0.711111111111111	0.177777777777778	0.627777777777778	0.444444444444444	0.688888888888889	0.811111111111111	0.688888888888889	0.933333333333333	Other REC genes
FXYD3	31	1.180692935054	0.560557775181811	0.356740674293278	2.82853558996392	-0.0998962904163223	1.16445087892041	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	0.555555555555556	0.622222222222222	0.977777777777778	0.466666666666667	0.655555555555556	0.722222222222222	0.633333333333333	0.588888888888889	0.633333333333333	0.844444444444445	Other REC genes
JUP	33	1.34376318298891	0.355699735962251	0.788405781487732	1.16669695815506	-0.333339468909211	0.495848830539662	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	0.422222222222222	0.866666666666667	0.622222222222222	0.288888888888889	0.55	0.455555555555556	0.581481481481482	0.644444444444445	0.581481481481482	0.6	Other REC genes
ANGPTL4	34	2.69533297252888	1.56668541329021	0.511124627925235	-0.827470832081441	1.59642373121303	-0.00830976784213981	FALSE	TRUE	FALSE	FALSE	3	3	FALSE	positive in three HGP datasets	not higher in macrometastasis	Hypoxia	0.866666666666667	0.733333333333333	0.133333333333333	0.977777777777778	0.677777777777778	0.555555555555556	0.718518518518519	0.8	0.718518518518519	0.333333333333333	Other REC genes
ISG15	35	1.83409292535563	0.152872807841526	-0.31398945244455	1.24913781442294	-0.557991452302998	-0.270623693260869	FALSE	FALSE	TRUE	FALSE	2	2	FALSE	split HGP direction	not higher in macrometastasis	Regenerative	0.222222222222222	0.133333333333333	0.644444444444445	0.155555555555556	0.288888888888889	0.4	0.251851851851852	0.177777777777778	0.251851851851852	0.222222222222222	Other REC genes
MXD1	36	1.83008141400339	0.102066767447798	0.344039721112882	0.146379759684195	-1.06420706221537	0.202626779536602	FALSE	FALSE	FALSE	TRUE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	NF-kB regulon	0.2	0.6	0.377777777777778	0.0888888888888889	0.316666666666667	0.233333333333333	0.344444444444444	0.4	0.344444444444444	0.444444444444444	Other REC genes
ARFGAP3	37	1.26954036866308	0.335153999501958	-0.0126244843323342	-0.355156720276849	-0.147559189675585	0.107744866918026	FALSE	FALSE	FALSE	FALSE	1	2	FALSE	positive in zero or one HGP dataset	higher in macrometastasis	Other REC programme	0.311111111111111	0.311111111111111	0.266666666666667	0.444444444444444	0.333333333333333	0.355555555555556	0.325925925925926	0.311111111111111	0.325925925925926	0.355555555555556	Other REC genes
CLDN3	38	1.09073620113187	-0.313107875759827	0.281630300014795	0.9356274957465	-0.240928899026033	0.424033832889018	FALSE	FALSE	FALSE	FALSE	2	3	FALSE	split HGP direction	higher in macrometastasis	Other REC programme	0.0222222222222222	0.488888888888889	0.577777777777778	0.333333333333333	0.355555555555556	0.455555555555556	0.322222222222222	0.255555555555556	0.322222222222222	0.555555555555556	Other REC genes
IL32	39	1.7201279929832	0.565846704774602	0.288429338243654	2.39750915185058	0.945360438571672	-0.302998023494407	FALSE	FALSE	FALSE	FALSE	4	4	FALSE	positive in all four HGP datasets	not higher in macrometastasis	Other REC programme	0.577777777777778	0.511111111111111	0.955555555555556	0.822222222222222	0.716666666666667	0.888888888888889	0.659259259259259	0.544444444444444	0.659259259259259	0.2	Other REC genes
APOL6	40	1.52495058352389	0.0999113106417564	-0.403767507785684	-0.248311783784359	-0.238438661541979	-0.338380793848608	FALSE	FALSE	FALSE	FALSE	1	1	FALSE	positive in zero or one HGP dataset	not higher in macrometastasis	Other REC programme	0.177777777777778	0.0888888888888889	0.288888888888889	0.377777777777778	0.233333333333333	0.333333333333333	0.2	0.133333333333333	0.2	0.155555555555556	Other REC genes
ABCG1	42	1.48200699471244	0.550987674094351	0.130517917816716	-1.1240632977344	0.207380297676463	0.530679454258695	FALSE	FALSE	FALSE	TRUE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	NF-kB regulon	0.533333333333333	0.4	0.0666666666666667	0.577777777777778	0.394444444444444	0.322222222222222	0.418518518518519	0.466666666666667	0.418518518518519	0.622222222222222	Other REC genes
RSAD2	43	2.80905394349691	-0.118955400557748	-0.556009979505542	1.36967855518559	-1.46749659762563	-0.582611663114502	FALSE	FALSE	FALSE	FALSE	1	1	FALSE	positive in zero or one HGP dataset	not higher in macrometastasis	Other REC programme	0.0666666666666667	0.0222222222222222	0.688888888888889	0.0222222222222222	0.2	0.355555555555556	0.148148148148148	0.0444444444444444	0.148148148148148	0.111111111111111	Other REC genes
PNCK	45	2.50434508699476	0.349226420247737	0.534788043072683	1.64833496764782	-0.327046338518737	0.712731146812766	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	0.377777777777778	0.777777777777778	0.844444444444445	0.311111111111111	0.577777777777778	0.577777777777778	0.577777777777778	0.577777777777778	0.577777777777778	0.711111111111111	Other REC genes
PTPRH	46	1.4378592458461	0.427662783013891	0.341237033384726	-0.622175899549892	0.0457318898032346	0.471174863006288	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	0.466666666666667	0.577777777777778	0.155555555555556	0.511111111111111	0.427777777777778	0.333333333333333	0.459259259259259	0.522222222222222	0.459259259259259	0.577777777777778	Other REC genes
FHL2	47	1.05961614972546	0.341652994773014	-0.0260029858086344	1.42571698677934	0.855493756390754	0.138537301777369	TRUE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	AP-1 target	0.355555555555556	0.288888888888889	0.777777777777778	0.8	0.555555555555556	0.788888888888889	0.477777777777778	0.322222222222222	0.477777777777778	0.4	Other REC genes
GRHL1	49	1.70920180814024	0.226245223978991	0.51483527396061	-1.39665427232975	-0.170243279733413	-0.304845729607787	FALSE	FALSE	FALSE	FALSE	2	2	FALSE	split HGP direction	not higher in macrometastasis	Other REC programme	0.266666666666667	0.755555555555556	0.0444444444444444	0.422222222222222	0.372222222222222	0.233333333333333	0.418518518518519	0.511111111111111	0.418518518518519	0.177777777777778	Other REC genes
EGLN3	50	1.6598048251668	0.504151794042492	0.269234826182158	1.40750039093804	0.476370803040294	1.17345553295065	FALSE	TRUE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Hypoxia	0.511111111111111	0.466666666666667	0.733333333333333	0.688888888888889	0.6	0.711111111111111	0.562962962962963	0.488888888888889	0.562962962962963	0.866666666666667	Recurrent in all contexts
