logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_patient_log2CPM_difference	median_patient_log2CPM_difference	fraction_patients_positive	fraction_patients_negative	direction	excluded_from_projection_program	program_rank	label_gene
1.26954036866308	6.35429024322605	9.73534265229106	1.89342019424127e-08	7.51099615337106e-06	9.69084545333764	ARFGAP3	1.21442007196052	1.30830671315865	1	0	anchor_up	FALSE	37	FALSE
1.09073620113187	8.88282619301118	9.73068637209854	1.90687732234826e-08	7.51099615337106e-06	9.56996157948211	CLDN3	1.07138777496675	0.953876279817984	1	0	anchor_up	FALSE	38	FALSE
1.7201279929832	7.35801600839527	9.70369197865331	6.56656093046666e-08	1.3044473288372e-05	8.49047854499773	IL32	1.72030448100201	1.44561022089798	1	0	anchor_up	FALSE	39	FALSE
1.52495058352389	6.05914250313811	9.67843639593321	2.06494545868076e-08	7.51099615337106e-06	9.61658796805973	APOL6	1.51243648835157	1.42042340418185	1	0	anchor_up	FALSE	40	FALSE
1.34114454080353	6.19893411122022	9.67381848374521	2.07956097878383e-08	7.51099615337106e-06	9.60571713632507	RHOC	1.36563387422962	1.19685000815706	1	0	anchor_up	FALSE	41	FALSE
1.48200699471244	5.13671255453455	9.65393727215857	2.143733103362e-08	7.57071255080642e-06	9.61228034724136	ABCG1	1.52454527929707	1.62364086434806	1	0	anchor_up	FALSE	42	FALSE
2.80905394349691	2.95395773044017	9.63907046114905	3.61054829749721e-08	1.04325151897865e-05	9.07630092365004	RSAD2	2.62910386012831	2.78726987823693	0.888888888888889	0.111111111111111	anchor_up	FALSE	43	FALSE
2.40111327668454	4.22176588762466	9.59176995495942	4.53651543453629e-08	1.15534153833809e-05	8.92497397866315	DUSP5	1.86407878618734	1.96586003056501	0.777777777777778	0.222222222222222	anchor_up	FALSE	44	FALSE
2.50434508699476	2.60152063218047	9.53219420432439	2.58472824155196e-08	8.38295943158036e-06	9.28707600223126	PNCK	1.87592473435495	2.03777509149555	1	0	anchor_up	FALSE	45	FALSE
1.4378592458461	4.7053903239875	9.4440109518692	2.96290098814904e-08	9.33618432011369e-06	9.29780373157089	PTPRH	1.33582286654114	1.46833643032883	1	0	anchor_up	FALSE	46	FALSE
1.05961614972546	7.71194793117553	9.43683315325003	2.99613264740623e-08	9.33618432011369e-06	9.16398706712678	FHL2	1.03282904814928	1.03625279302159	1	0	anchor_up	FALSE	47	FALSE
1.32186714618781	8.33811464061292	9.43475192754441	4.71884374650938e-08	1.15534153833809e-05	8.703521245804	LDHA	1.31181605434369	1.34236410480189	1	0	anchor_up	FALSE	48	FALSE
1.70920180814024	4.49849001163193	9.36658812928955	3.34272471454159e-08	1.00231285214141e-05	9.1783451841204	GRHL1	1.45840961263531	1.59068249614352	1	0	anchor_up	FALSE	49	FALSE
1.6598048251668	7.44858144167592	9.33557564578844	9.57783346067746e-08	1.69123254841207e-05	8.10674155847109	EGLN3	1.57500776957496	1.86680441193866	0.888888888888889	0.111111111111111	anchor_up	FALSE	50	FALSE
