cell_id	Sample	Growth pattern	Tumor	Tumor front	Region	Clusters	x	y	display_hgp	display_class	is_tumour	display_class_new
33905	ENC-P02-S03	EHGP	False	False	Liver	CAF2	3230.7727	11165.182	dHGP	Non-tumour context	FALSE	Other tissue
33909	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	7561.1763	6919.353	dHGP	Non-tumour context	FALSE	Other tissue
33910	ENC-P02-S03	EHGP	False	False	Liver	CAF1	3679.0908	10776.909	dHGP	Non-tumour context	FALSE	Other tissue
33911	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	4888.6206	9578.034	dHGP	Non-tumour context	FALSE	Other tissue
33913	ENC-P02-S03	EHGP	False	False	Stroma	CAF1	6806.6924	7691.4614	dHGP	Non-tumour context	FALSE	Other tissue
33914	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9724.637	4796.8184	dHGP	Non-tumour context	FALSE	Other tissue
33916	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	4690.904	9814.038	dHGP	Non-tumour context	FALSE	Other tissue
33917	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	8611.667	5907.933	dHGP	Non-tumour context	FALSE	Other tissue
33918	ENC-P02-S03	EHGP	False	False	Stroma	aHSC1	5120.1353	9437	dHGP	Non-tumour context	FALSE	Other tissue
33922	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	4972.1875	9526.4375	dHGP	Non-tumour context	FALSE	Other tissue
33927	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	4753.6	9758.371	dHGP	Non-tumour context	FALSE	Other tissue
33929	ENC-P02-S03	EHGP	False	False	Liver	MΦ	4231	10343.417	dHGP	Non-tumour context	FALSE	Other tissue
33931	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	4553.567	10009.866	dHGP	Non-tumour context	FALSE	Other tissue
33933	ENC-P02-S03	EHGP	False	False	Stroma	CAFγ	10208.917	4399.3335	dHGP	Non-tumour context	FALSE	Other tissue
33934	ENC-P02-S03	EHGP	False	False	Stroma	aHSC1	5399.8364	9173.182	dHGP	Non-tumour context	FALSE	Other tissue
33935	ENC-P02-S03	EHGP	False	False	Stroma	CAF1	9098.581	5418.5117	dHGP	Non-tumour context	FALSE	Other tissue
33937	ENC-P02-S03	EHGP	False	False	Liver	CAF3	4369	10230.667	dHGP	Non-tumour context	FALSE	Other tissue
33941	ENC-P02-S03	EHGP	True	False	Tumor	CAF3	2157.5715	4005.8572	dHGP	Tumour-region context	TRUE	Other tissue
33942	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	10278.667	4449.2	dHGP	Non-tumour context	FALSE	Other tissue
33943	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	5588.5386	9125.808	dHGP	Non-tumour context	FALSE	Other tissue
33944	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	10222.692	4321	dHGP	Non-tumour context	FALSE	Other tissue
33946	ENC-P02-S03	EHGP	False	False	Liver	CAF2	4436.574	10217.019	dHGP	Non-tumour context	FALSE	Other tissue
33948	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	9422.389	5290.278	dHGP	Non-tumour context	FALSE	Other tissue
33949	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	11119.593	3540.6667	dHGP	Non-tumour context	FALSE	Other tissue
33953	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9858.323	4858.9116	dHGP	Non-tumour context	FALSE	Other tissue
