cell_id	Sample	Growth pattern	Tumor	Tumor front	Region	Clusters	x	y	display_hgp	display_class	is_tumour	display_class_new	in_display_window
384861	REP-P18-S24	RHGP	False	False	Liver	CAF2	11338.333	8995.777	rHGP	Non-tumour context	False	Other tissue	True
384866	REP-P18-S24	RHGP	False	False	Stroma	CAFγ	2975.0908	19689.092	rHGP	Non-tumour context	False	Other tissue	True
384868	REP-P18-S24	RHGP	False	False	Stroma	CAF1	8948.8	12288.5	rHGP	Non-tumour context	False	Other tissue	True
384870	REP-P18-S24	RHGP	True	False	Tumor	CAF3	7373.75	12948.167	rHGP	Tumour-region context	True	Other tissue	True
384871	REP-P18-S24	RHGP	False	False	Stroma	CAF2	3123.0	919.5455	rHGP	Non-tumour context	False	Other tissue	False
384872	REP-P18-S24	RHGP	True	False	Tumor	CAF1	5645.737	11770.632	rHGP	Tumour-region context	True	Other tissue	True
384876	REP-P18-S24	RHGP	True	False	Tumor	CAF1	1626.1428	11018.786	rHGP	Tumour-region context	True	Other tissue	True
384877	REP-P18-S24	RHGP	True	False	Tumor	MΦ	4652.0	15757.875	rHGP	Tumour-region context	True	Other tissue	True
384882	REP-P18-S24	RHGP	False	False	Portal tissue	CAF1	7658.154	24615.924	rHGP	Non-tumour context	False	Other tissue	False
384883	REP-P18-S24	RHGP	False	False	Stroma	CAF2	3389.1892	13222.108	rHGP	Non-tumour context	False	Other tissue	True
384884	REP-P18-S24	RHGP	False	False	Stroma	MΦ	291.9	23552.4	rHGP	Non-tumour context	False	Other tissue	False
384885	REP-P18-S24	RHGP	True	False	Tumor	CAF2	11545.895	5271.921	rHGP	Tumour-region context	True	Other tissue	False
384887	REP-P18-S24	RHGP	False	False	Liver	aHSC1	12736.333	27159.666	rHGP	Non-tumour context	False	Other tissue	False
384890	REP-P18-S24	RHGP	False	False	Liver	CAF2	7437.875	20169.75	rHGP	Non-tumour context	False	Other tissue	True
384895	REP-P18-S24	RHGP	False	False	Stroma	CAF2	9539.0	14604.75	rHGP	Non-tumour context	False	Other tissue	True
384896	REP-P18-S24	RHGP	False	False	Stroma	CAF2	6257.478	1665.1305	rHGP	Non-tumour context	False	Other tissue	False
384897	REP-P18-S24	RHGP	False	False	Stroma	NC3	2199.3125	14674.5625	rHGP	Non-tumour context	False	Other tissue	True
384901	REP-P18-S24	RHGP	False	False	Stroma	CAF2	659.7143	20398.357	rHGP	Non-tumour context	False	Other tissue	True
384904	REP-P18-S24	RHGP	True	False	Tumor	CAF1	5520.5454	12714.818	rHGP	Tumour-region context	True	Other tissue	True
384908	REP-P18-S24	RHGP	True	False	Tumor	CAF1	6410.2915	10517.708	rHGP	Tumour-region context	True	Other tissue	True
384909	REP-P18-S24	RHGP	False	False	Liver	CAF3	7706.5557	19752.889	rHGP	Non-tumour context	False	Other tissue	True
384912	REP-P18-S24	RHGP	False	False	Stroma	CAF1	1304.0769	13696.385	rHGP	Non-tumour context	False	Other tissue	True
384914	REP-P18-S24	RHGP	True	False	Tumor	CAF1	7614.381	7424.0	rHGP	Tumour-region context	True	Other tissue	False
384916	REP-P18-S24	RHGP	False	False	Stroma	CAF1	7314.8335	10183.25	rHGP	Non-tumour context	False	Other tissue	True
384918	REP-P18-S24	RHGP	False	False	Liver	CAF2	7666.533	20296.334	rHGP	Non-tumour context	False	Other tissue	True
384919	REP-P18-S24	RHGP	True	False	Tumor	MΦ	10176.223	6650.0557	rHGP	Tumour-region context	True	Other tissue	False
384921	REP-P18-S24	RHGP	False	False	Stroma	CAF2	9292.889	13775.556	rHGP	Non-tumour context	False	Other tissue	True
384923	REP-P18-S24	RHGP	False	False	Stroma	NC1	5577.3	21136.1	rHGP	Non-tumour context	False	Other tissue	True
384924	REP-P18-S24	RHGP	False	False	Stroma	CAF2	8461.667	2207.8	rHGP	Non-tumour context	False	Other tissue	False
384926	REP-P18-S24	RHGP	False	False	Stroma	CAF2	4427.364	10685.728	rHGP	Non-tumour context	False	Other tissue	True
384927	REP-P18-S24	RHGP	False	False	Stroma	MΦ	4655.0713	11122.071	rHGP	Non-tumour context	False	Other tissue	True
384931	REP-P18-S24	RHGP	False	False	Stroma	CAF1	7857.1304	10132.479	rHGP	Non-tumour context	False	Other tissue	True
384932	REP-P18-S24	RHGP	True	False	Tumor	MΦ	4603.3335	14326.8	rHGP	Tumour-region context	True	Other tissue	True
384933	REP-P18-S24	RHGP	False	False	Stroma	CAF1	8619.071	13702.321	rHGP	Non-tumour context	False	Other tissue	True
384937	REP-P18-S24	RHGP	False	False	Stroma	CAF2	1183.2241	25167.31	rHGP	Non-tumour context	False	Other tissue	False
384939	REP-P18-S24	RHGP	False	False	Liver	CAF2	8522.909	19753.637	rHGP	Non-tumour context	False	Other tissue	True
384940	REP-P18-S24	RHGP	False	False	Liver	MΦ	8072.0	20095.555	rHGP	Non-tumour context	False	Other tissue	True
384941	REP-P18-S24	RHGP	False	False	Stroma	CAF1	3293.6	13553.267	rHGP	Non-tumour context	False	Other tissue	True
384942	REP-P18-S24	RHGP	False	False	Stroma	CAF3	1099.0	13473.857	rHGP	Non-tumour context	False	Other tissue	True
384944	REP-P18-S24	RHGP	True	False	Tumor	CAF1	2222.0	11064.223	rHGP	Tumour-region context	True	Other tissue	True
384945	REP-P18-S24	RHGP	False	False	Stroma	CAF1	5770.1113	9779.889	rHGP	Non-tumour context	False	Other tissue	True
384948	REP-P18-S24	RHGP	True	False	Tumor	CAF2	7531.25	7480.9	rHGP	Tumour-region context	True	Other tissue	False
384950	REP-P18-S24	RHGP	False	False	Stroma	CAFγ	4837.909	18516.727	rHGP	Non-tumour context	False	Other tissue	True
384953	REP-P18-S24	RHGP	False	False	Liver	CAF3	12158.923	27507.076	rHGP	Non-tumour context	False	Other tissue	False
384954	REP-P18-S24	RHGP	True	False	Tumor	CAF2	7814.6665	5121.143	rHGP	Tumour-region context	True	Other tissue	False
384955	REP-P18-S24	RHGP	False	False	Stroma	CAF2	4175.35	26697.95	rHGP	Non-tumour context	False	Other tissue	False
384956	REP-P18-S24	RHGP	False	False	Stroma	CAF2	102.46154	7650.077	rHGP	Non-tumour context	False	Other tissue	False
384957	REP-P18-S24	RHGP	True	False	Tumor	CAF3	10783.8	3256.7334	rHGP	Tumour-region context	True	Other tissue	False
384960	REP-P18-S24	RHGP	False	False	Stroma	MΦ	3758.182	19757.455	rHGP	Non-tumour context	False	Other tissue	True
384961	REP-P18-S24	RHGP	False	False	Stroma	CAF2	2656.3462	14843.808	rHGP	Non-tumour context	False	Other tissue	True
384963	REP-P18-S24	RHGP	False	False	Stroma	CAF2	2092.2632	14834.895	rHGP	Non-tumour context	False	Other tissue	True
384964	REP-P18-S24	RHGP	True	False	Tumor	CAF2	7020.1113	10215.223	rHGP	Tumour-region context	True	Other tissue	True
384965	REP-P18-S24	RHGP	False	False	Stroma	NC2	6838.067	11087.0	rHGP	Non-tumour context	False	Other tissue	True
384966	REP-P18-S24	RHGP	False	False	Stroma	CAF2	4712.7144	22511.357	rHGP	Non-tumour context	False	Other tissue	False
384968	REP-P18-S24	RHGP	False	False	Stroma	CAF2	6121.6665	18953.916	rHGP	Non-tumour context	False	Other tissue	True
384969	REP-P18-S24	RHGP	False	False	Stroma	NC3	2247.6	24779.732	rHGP	Non-tumour context	False	Other tissue	False
384971	REP-P18-S24	RHGP	True	False	Tumor	CAF2	2988.5881	17116.47	rHGP	Tumour-region context	True	Other tissue	True
384973	REP-P18-S24	RHGP	False	False	Stroma	CAF1	4360.316	18345.578	rHGP	Non-tumour context	False	Other tissue	True
384978	REP-P18-S24	RHGP	True	False	Tumor	CAF1	6403.375	2594.3125	rHGP	Tumour-region context	True	Other tissue	False
384980	REP-P18-S24	RHGP	False	False	Stroma	MΦ	5269.3887	16317.167	rHGP	Non-tumour context	False	Other tissue	True
