gene	column	status	value
CLDN19	Spatial_HRC_rho	estimated	-0.0077718514281841
CLDN19	Bulk_rHGP_minus_dHGP_logFC	abundance_ineligible	
CLDN19	Spatial_rHGP_minus_dHGP_tumour_logFC	abundance_ineligible	
CLDN19	Spatial_rHGP_minus_dHGP_near_logFC	abundance_ineligible	
CLDN19	Liu_macro_minus_micro_logFC	abundance_ineligible	
CLDN19	Same_section_macro_minus_micro_logFC	abundance_ineligible	
CLDN20	Ogden_HRC_rho	estimated	-0.0061061161861378
CLDN20	Spatial_HRC_rho	estimated	-0.0018377302850982
CLDN20	Bulk_rHGP_minus_dHGP_logFC	abundance_ineligible	
CLDN20	Spatial_rHGP_minus_dHGP_tumour_logFC	abundance_ineligible	
CLDN20	Spatial_rHGP_minus_dHGP_near_logFC	abundance_ineligible	
CLDN20	Liu_macro_minus_micro_logFC	abundance_ineligible	
CLDN20	Same_section_macro_minus_micro_logFC	abundance_ineligible	
CLDN22	Ogden_HRC_rho	insufficient_detection_or_variation	
CLDN22	Spatial_HRC_rho	estimated	-0.0068922132383417
CLDN22	Bulk_rHGP_minus_dHGP_logFC	estimated	0.705798111528118
CLDN22	Spatial_rHGP_minus_dHGP_tumour_logFC	abundance_ineligible	
CLDN22	Spatial_rHGP_minus_dHGP_near_logFC	abundance_ineligible	
CLDN22	Liu_macro_minus_micro_logFC	abundance_ineligible	
CLDN22	Same_section_macro_minus_micro_logFC	abundance_ineligible	
CLDN23	Ogden_HRC_rho	estimated	0.0362512331317705
CLDN23	Spatial_HRC_rho	estimated	0.0921047621841896
CLDN23	Bulk_rHGP_minus_dHGP_logFC	estimated	-0.0440417111781485
CLDN23	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	-0.0230948378653263
CLDN23	Spatial_rHGP_minus_dHGP_near_logFC	estimated	0.0008129959427106
CLDN23	Liu_macro_minus_micro_logFC	estimated	0.0236511891078693
CLDN23	Same_section_macro_minus_micro_logFC	estimated	0.110777368452858
CRB3	Ogden_HRC_rho	estimated	0.0395642598379101
CRB3	Spatial_HRC_rho	estimated	0.0690328644771157
CRB3	Bulk_rHGP_minus_dHGP_logFC	estimated	-0.0523968500094243
CRB3	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	0.186917267437657
CRB3	Spatial_rHGP_minus_dHGP_near_logFC	estimated	-0.0166128863748753
CRB3	Liu_macro_minus_micro_logFC	estimated	0.496328769031662
CRB3	Same_section_macro_minus_micro_logFC	estimated	0.466762407096411
PALS1	Ogden_HRC_rho	estimated	0.0128078590028969
PALS1	Spatial_HRC_rho	estimated	0.0115155349992774
PALS1	Bulk_rHGP_minus_dHGP_logFC	estimated	0.0197088453392176
PALS1	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	-0.276055543836007
PALS1	Spatial_rHGP_minus_dHGP_near_logFC	estimated	-0.291751360367304
PALS1	Liu_macro_minus_micro_logFC	estimated	0.318879354560758
PALS1	Same_section_macro_minus_micro_logFC	estimated	0.166865915537278
PARD3	Ogden_HRC_rho	estimated	-0.0054859707220809
PARD3	Spatial_HRC_rho	estimated	0.0358445626355037
PARD3	Bulk_rHGP_minus_dHGP_logFC	estimated	0.261895201555791
PARD3	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	-0.406730274673594
PARD3	Spatial_rHGP_minus_dHGP_near_logFC	estimated	-0.370679907899666
PARD3	Liu_macro_minus_micro_logFC	estimated	0.15320784870423
PARD3	Same_section_macro_minus_micro_logFC	estimated	0.0758836993451143
PARD6A	Ogden_HRC_rho	estimated	-0.0071909173743486
PARD6A	Spatial_HRC_rho	estimated	0.0035492988521571
PARD6A	Bulk_rHGP_minus_dHGP_logFC	estimated	-0.449277825614994
PARD6A	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	1.37852587894543
PARD6A	Spatial_rHGP_minus_dHGP_near_logFC	estimated	1.47449438798827
PARD6A	Liu_macro_minus_micro_logFC	estimated	-0.224628520284953
PARD6A	Same_section_macro_minus_micro_logFC	estimated	-0.170104271121035
PARD6B	Ogden_HRC_rho	estimated	0.0954499671579624
PARD6B	Spatial_HRC_rho	estimated	0.0921092979756684
PARD6B	Bulk_rHGP_minus_dHGP_logFC	estimated	0.205663883231991
PARD6B	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	0.380694609278358
PARD6B	Spatial_rHGP_minus_dHGP_near_logFC	estimated	0.205044476687831
PARD6B	Liu_macro_minus_micro_logFC	estimated	0.246413063287773
PARD6B	Same_section_macro_minus_micro_logFC	estimated	0.204986669131931
PARD6G	Ogden_HRC_rho	estimated	-0.0108969424789218
PARD6G	Spatial_HRC_rho	estimated	-0.0061130862566096
PARD6G	Bulk_rHGP_minus_dHGP_logFC	estimated	0.873324978197244
