gene	scoring	model	k	n_patients	estimate	se	low	high	p	tau2	I2	Q	Q_p	df	q_member_family	display_rho	display_rho_low	display_rho_high
CLDN11	fixed_background	common	3	18.0	-0.021274463642144	0.0049903614326023	-0.0427462558825668	0.0001973285982787	0.0508619413732933	0.0	0.0	0.502876235532603	0.777681580794093	2.0	0.117373710861446	-0.021271254595817992	-0.042720238974464655	0.00019732859571746852
CLDN12	fixed_background	common	5	28.0	0.0459612907350293	0.0149690472323728	0.0044005528172334	0.0875220286528253	0.0372776385934633	0.0005270287977168	55.0277835060414	8.67934044452305	0.0696337213146715	4.0	0.101666287073082	0.04592895456460955	0.0044005244120828724	0.08729923528520943
CLDN14	fixed_background	common	3	19.0	-0.0237792342983189	0.0113366567308151	-0.072556931327393	0.0249984627307552	0.170851838370777	0.0	0.0	2.16154319269249	0.339333596043108	2.0	0.26096213048939	-0.023774753306761206	-0.07242987335777748	0.024993256659509945
CLDN15	fixed_background	common	5	28.0	-0.0119451688137206	0.0109711242149097	-0.0424058929387238	0.0185155553112825	0.337454636978917	0.0001489278801609	23.2394417790128	4.96503454297523	0.2909040226399	4.0	0.421818296223647	-0.011944600705813503	-0.042380492272470385	0.01851343973144255
CLDN16	fixed_background	common	4	23.0	-0.0027341452894994	0.0041786961814341	-0.0160326215130077	0.0105643309340089	0.559600137924456	0.0	0.0	2.08002024900058	0.555965366366892	3.0	0.671520165509347	-0.00273413847643941	-0.016031247952755373	0.010563937940524777
CLDN17	fixed_background	common	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLDN18	fixed_background	common	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLDN19	fixed_background	common	2	5.0	-0.002961677240998	0.0205986685197396	-0.264692576745406	0.25876922226341	0.909089824383923	0.0006871677797382	77.0035624365293	4.34849961973448	0.0370415656387581	1.0	1.0	-0.0029616685815460728	-0.2586793947351312	0.2531439847996661
CLDN20	fixed_background	common	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLDN22	fixed_background	common	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLDN23	fixed_background	common	4	23.0	0.0604986530646411	0.0197918181509	-0.0024877454845375	0.12348505161382	0.0551339104754649	0.0009871665847362	59.8180099603077	7.7529789292804	0.0514025145488405	3.0	0.118144093875996	0.060424950853706805	-0.0024877403524327735	0.12286120014905953
CRB3	fixed_background	common	5	28.0	0.0645854897124837	0.0067752162171912	0.0457744738096063	0.083396505615361	0.0006762318461167	0.0	0.0	1.2185939242759	0.875027864499753	4.0	0.019146464612081	0.06449583778983603	0.045742530126264655	0.0832037017126808
PALS1	fixed_background	common	5	28.0	0.048219739334733	0.0136926911754645	0.0102027339436295	0.0862367447258365	0.0244154862204215	0.0003104750778261	36.7213419612869	6.16855277062151	0.186909298949642	4.0	0.0732464586612644	0.048182401460049665	0.010202379937853953	0.08602360427929026
PARD3	fixed_background	common	5	28.0	0.0231688184099527	0.0140287018363858	-0.0157811021359601	0.0621187389558655	0.173974753659594	0.000128733423037	18.8164130168135	6.68267770603388	0.153638004921448	4.0	0.26096213048939	0.023164673671197664	-0.015779792207807133	0.06203896211486051
PARD6A	fixed_background	common	5	27.0	-0.0134040689206967	0.0087564982007937	-0.0377160054889637	0.0109078676475704	0.200579259950466	0.0	0.0	5.77256446841892	0.216789323294054	4.0	0.286541799929237	-0.013403266212881414	-0.03769813202310868	0.010907435056395128
