rival	method	adjustment	patient	state	n_cells	n_repair_genes	n_junction_genes	rho
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC05	Hypoxia	104	78	24	0.3721753974181159
ICMS3_MINUS_ICMS2	matched	technical_only	CRC05	REC	96	78	24	0.4322571893651654
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC05	REC	96	78	24	0.4405860010851872
ICMS3_MINUS_ICMS2	matched	technical_only	CRC05	UPR	106	78	24	0.1763810867319948
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC05	UPR	106	78	24	0.1306244804393279
ICMS3_MINUS_ICMS2	matched	technical_only	CRC06	Hypoxia	110	78	24	0.4713432364808512
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC06	Hypoxia	110	78	24	0.4420305209296035
ICMS3_MINUS_ICMS2	matched	technical_only	CRC06	REC	94	78	24	0.2489542318390348
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC06	REC	94	78	24	0.2139724740815663
ICMS3_MINUS_ICMS2	matched	technical_only	CRC06	UPR	73	78	24	0.3767123287671233
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC06	UPR	73	78	24	0.3373750462791559
ICMS3_MINUS_ICMS2	matched	technical_only	CRC06	iREC	232	78	24	0.2764223345102433
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC06	iREC	232	78	24	0.2426699392068638
ICMS3_MINUS_ICMS2	matched	technical_only	CRC07	Hypoxia	73	78	24	0.3128779464395903
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC07	Hypoxia	73	78	24	0.3661606812291744
ICMS3_MINUS_ICMS2	matched	technical_only	CRC07	UPR	60	78	24	-0.131536537927202
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC07	UPR	60	78	24	-0.1356487913309252
ICMS3_MINUS_ICMS2	matched	technical_only	CRC08	Hypoxia	406	78	24	0.2925439546129201
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC08	Hypoxia	406	78	24	0.2983120155533948
ICMS3_MINUS_ICMS2	matched	technical_only	CRC08	REC	88	78	24	0.4555492937902857
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC08	REC	88	78	24	0.462241555422493
ICMS3_MINUS_ICMS2	matched	technical_only	CRC08	UPR	33	78	24	0.4171122994652407
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC08	UPR	33	78	24	0.4254679144385027
ICMS3_MINUS_ICMS2	matched	technical_only	CRC08	iREC	62	78	24	0.5047216136586841
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC08	iREC	62	78	24	0.5016997809171262
ICMS3_MINUS_ICMS2	matched	technical_only	CRC09	Hypoxia	23	78	24	0.2549407114624506
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC09	Hypoxia	23	78	24	0.3270750988142293
ICMS3_MINUS_ICMS2	matched	technical_only	CRC09	UPR	38	78	24	0.1493598862019914
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC09	UPR	38	78	24	0.1572382098697888
ICMS3_MINUS_ICMS2	matched	technical_only	CRC09	iREC	22	78	24	0.4522868435911915
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC09	iREC	22	78	24	0.4217955957086392
ICMS3_MINUS_ICMS2	matched	technical_only	CRC10	Hypoxia	414	78	24	0.2328552022597179
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC10	Hypoxia	414	78	24	0.1803800949666653
ICMS3_MINUS_ICMS2	matched	technical_only	CRC10	REC	401	78	24	0.4172717460081141
