rival	method	adjustment	state	minimum_cells	n_patients	n_positive	rho	CI_low	CI_high	p_signflip	p_BH
ICMS3_MINUS_ICMS2	matched	technical_only	UPR	20	10	8	0.18606050636046023	0.0675605770455503	0.2934306775841105	0.01953125	0.03125
ICMS3_MINUS_ICMS2	matched	technical_only	iREC	20	7	5	0.22536717411214105	-0.05313815939351441	0.44248277705207206	0.1875	0.1875
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	Hypoxia	20	14	14	0.2830202371850821	0.22297542254268563	0.33439331708944425	0.0001220703125	0.00048828125
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	REC	20	9	9	0.3373079111890174	0.25628216594792474	0.4025091957620147	0.00390625	0.0078125
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	UPR	20	10	8	0.17834329911575583	0.06269310219755342	0.2854361632002368	0.021484375	0.034375
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	iREC	20	7	5	0.20638664965551035	-0.06500352800839526	0.4186795313703999	0.203125	0.203125
WHITE_RSC	gene_z	technical_only	Hypoxia	20	14	13	0.20995076889194308	0.15745694749501127	0.25828205225494805	0.000244140625	0.0009765625
WHITE_RSC	gene_z	technical_only	REC	20	9	8	0.236925599403736	0.1407634778896944	0.32433775294868483	0.0078125	0.015625
WHITE_RSC	gene_z	technical_only	UPR	20	10	6	0.11256091343146846	0.0012831898421779276	0.22258107413302522	0.10546875	0.140625
WHITE_RSC	gene_z	technical_only	iREC	20	7	5	0.157706224383959	-0.06080662693744074	0.3668037963738221	0.234375	0.234375
WHITE_RSC	gene_z	technical_plus_rival	Hypoxia	20	14	13	0.15756757685451123	0.10291882338617789	0.21087553083570185	0.0003662109375	0.00146484375
WHITE_RSC	gene_z	technical_plus_rival	REC	20	9	9	0.18126779794893594	0.12089694012280461	0.2409358359054432	0.00390625	0.010416666666666666
WHITE_RSC	gene_z	technical_plus_rival	UPR	20	10	5	0.09235129088184148	-0.015826134581520157	0.20180355803534444	0.169921875	0.2265625
WHITE_RSC	gene_z	technical_plus_rival	iREC	20	7	4	0.08508339689768742	-0.15417486676439293	0.31338941885092736	0.546875	0.546875
WHITE_RSC	matched	technical_only	Hypoxia	20	14	14	0.2702923457523043	0.22289908935382852	0.31644061170113125	0.0001220703125	0.00048828125
WHITE_RSC	matched	technical_only	REC	20	9	9	0.3863918710955279	0.31371076532761266	0.45141048497328756	0.00390625	0.0078125
WHITE_RSC	matched	technical_only	UPR	20	10	8	0.15289330049448954	0.04859002813019732	0.24235801816182925	0.0234375	0.03125
WHITE_RSC	matched	technical_only	iREC	20	7	5	0.29961173852545675	0.10530920862415624	0.4585350247888606	0.0625	0.07142857142857142
WHITE_RSC	matched	technical_plus_rival	Hypoxia	20	14	14	0.19308759667707487	0.13616557473524576	0.2465269229917184	0.0001220703125	0.00048828125
WHITE_RSC	matched	technical_plus_rival	REC	20	9	9	0.2930333888354485	0.23156102090107206	0.35109265453207716	0.00390625	0.0078125
WHITE_RSC	matched	technical_plus_rival	UPR	20	10	8	0.13311167363872875	0.02927641079578868	0.22230817498517097	0.0390625	0.05208333333333333
WHITE_RSC	matched	technical_plus_rival	iREC	20	7	5	0.20109092261513192	-0.02734863871081508	0.39667524605398735	0.171875	0.19642857142857142
ICMS3_MINUS_ICMS2	gene_z	technical_only	Hypoxia	30	13	12	0.2020746332750407	0.14131933642906647	0.260226738254741	0.00048828125	0.001953125
ICMS3_MINUS_ICMS2	gene_z	technical_only	REC	30	9	8	0.2244631493868994	0.12391964953624453	0.3009533848926967	0.0078125	0.015625
ICMS3_MINUS_ICMS2	gene_z	technical_only	UPR	30	10	9	0.17242642239890535	0.06890668266019158	0.28014242756801316	0.009765625	0.015625
ICMS3_MINUS_ICMS2	gene_z	technical_only	iREC	30	4	4	0.25464230417250083	0.13286558370367502	0.36884516681663854	0.125	0.125
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	Hypoxia	30	13	13	0.19502503147381628	0.14077136676635174	0.24823734030542416	0.000244140625	0.001953125
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	REC	30	9	8	0.20075806372236962	0.1034447091727827	0.27710441100007444	0.01171875	0.018750000000000003
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	UPR	30	10	8	0.1711684702262593	0.07729100034528257	0.26538761206169287	0.0078125	0.015625
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	iREC	30	4	4	0.26496777828368895	0.17132891678376	0.35386237719620767	0.125	0.16666666666666666
ICMS3_MINUS_ICMS2	matched	technical_only	Hypoxia	30	13	13	0.2975485547131444	0.24234719637616897	0.3496312010497317	0.000244140625	0.0009765625
ICMS3_MINUS_ICMS2	matched	technical_only	REC	30	9	9	0.348007021749751	0.2755209204991516	0.4086405732250682	0.00390625	0.0078125
ICMS3_MINUS_ICMS2	matched	technical_only	UPR	30	10	8	0.18606050636046023	0.0675605770455503	0.2934306775841105	0.01953125	0.03125
ICMS3_MINUS_ICMS2	matched	technical_only	iREC	30	4	4	0.4109294091451988	0.2993051294868609	0.5114575722833817	0.125	0.125
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	Hypoxia	30	13	13	0.2795785104283199	0.214809107445056	0.3362191738069101	0.000244140625	0.0009765625
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	REC	30	9	9	0.3373079111890174	0.25628216594792474	0.4025091957620147	0.00390625	0.0078125
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	UPR	30	10	8	0.17834329911575583	0.06269310219755342	0.2854361632002368	0.021484375	0.034375
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	iREC	30	4	4	0.39074407293847635	0.28044297398940427	0.49086021149945713	0.125	0.125
WHITE_RSC	gene_z	technical_only	Hypoxia	30	13	12	0.21157485158015277	0.15463582746871402	0.26234863111116424	0.00048828125	0.001953125
WHITE_RSC	gene_z	technical_only	REC	30	9	8	0.236925599403736	0.1407634778896944	0.32433775294868483	0.0078125	0.015625
WHITE_RSC	gene_z	technical_only	UPR	30	10	6	0.11256091343146846	0.0012831898421779276	0.22258107413302522	0.10546875	0.125
WHITE_RSC	gene_z	technical_only	iREC	30	4	4	0.20476645833173052	0.09445375605797283	0.2986430679412453	0.125	0.125
WHITE_RSC	gene_z	technical_plus_rival	Hypoxia	30	13	12	0.16754244176116517	0.11206886956879879	0.22091728533442495	0.00048828125	0.001953125
WHITE_RSC	gene_z	technical_plus_rival	REC	30	9	9	0.18126779794893594	0.12089694012280461	0.2409358359054432	0.00390625	0.010416666666666666
WHITE_RSC	gene_z	technical_plus_rival	UPR	30	10	5	0.09235129088184148	-0.015826134581520157	0.20180355803534444	0.169921875	0.19419642857142855
WHITE_RSC	gene_z	technical_plus_rival	iREC	30	4	3	0.15307068484236777	-0.009404452632134899	0.30767142358245636	0.375	0.375
WHITE_RSC	matched	technical_only	Hypoxia	30	13	13	0.27605994704168235	0.22483092005111444	0.32420542610808323	0.000244140625	0.0009765625
WHITE_RSC	matched	technical_only	REC	30	9	9	0.3863918710955279	0.31371076532761266	0.45141048497328756	0.00390625	0.0078125
WHITE_RSC	matched	technical_only	UPR	30	10	8	0.15289330049448954	0.04859002813019732	0.24235801816182925	0.0234375	0.03125
WHITE_RSC	matched	technical_only	iREC	30	4	4	0.38720866805140497	0.2904449942189193	0.49265567904056834	0.125	0.125
WHITE_RSC	matched	technical_plus_rival	Hypoxia	30	13	13	0.20366367447210404	0.14750263210804015	0.2568556921067294	0.000244140625	0.0009765625
