pair_id	regulon_id	candidate_class	side	program_id	source_gene_count	pair_overlap_removed_count	pair_overlap_removed_genes	nonoverlap_source_gene_count	detected_target_gene_count	target_coverage_fraction	matched_control_gene_count	represented_expression_bins
lef1__tight_junction	LEF1	lineage_WNT_comparator	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
nfkb1__tight_junction	NFKB1	exploratory_source_regulon	a	NFKB1	51	0		51	51	1.0	450	14;16;18;19;20;21;22;23;24
nfkb1__tight_junction	NFKB1	exploratory_source_regulon	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
nfkb2__tight_junction	NFKB2	exploratory_source_regulon	a	NFKB2	10	0		10	10	1.0	300	18;19;20;21;22;23
nfkb2__tight_junction	NFKB2	exploratory_source_regulon	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
nfkb_combined__tight_junction	NFKB_COMBINED	inflammatory_comparator	a	NFKB_COMBINED	100	0		100	100	1.0	550	14;15;16;17;18;19;20;21;22;23;24
nfkb_combined__tight_junction	NFKB_COMBINED	inflammatory_comparator	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
rel__tight_junction	REL	exploratory_source_regulon	a	REL	30	0		30	30	1.0	400	14;18;19;20;21;22;23;24
rel__tight_junction	REL	exploratory_source_regulon	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
rela__tight_junction	RELA	exploratory_source_regulon	a	RELA	10	0		10	10	1.0	250	18;20;21;22;23
rela__tight_junction	RELA	exploratory_source_regulon	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
relb__tight_junction	RELB	inflammatory_comparator	a	RELB	47	0		47	47	1.0	500	15;16;17;18;19;20;21;22;23;24
relb__tight_junction	RELB	inflammatory_comparator	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
tead1__tight_junction	TEAD1	mechanotransduction_comparator	a	TEAD1	105	0		105	105	1.0	400	15;18;19;20;21;22;23;24
tead1__tight_junction	TEAD1	mechanotransduction_comparator	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
tead4__tight_junction	TEAD4	mechanotransduction_comparator	a	TEAD4	99	0		99	99	1.0	450	16;17;18;19;20;21;22;23;24
tead4__tight_junction	TEAD4	mechanotransduction_comparator	b	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	0		30	28	0.9333333333333333	850	0;2;5;8;10;11;12;13;14;15;17;19;20;21;22;23;24
