pair_id	regulon_id	candidate_class	side	program_id	gene_role	gene	mean_expression	detected_epithelial_cells	expression_bin
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC103691.1	0.025349576810632126	409	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC103739.2	0.008487292176273208	142	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC104248.1	0.01169932987667782	158	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC104819.3	0.014838054071576892	229	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC104964.1	0.007198357367636193	114	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC105446.1	0.008068048609242056	126	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC105450.1	0.035622807212992484	418	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC107072.2	0.25419854048123597	2856	20
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC107214.1	0.03629254135768888	512	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC109322.2	0.021023552562512936	313	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC110760.1	0.0378436240855619	542	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC114930.1	0.10868649909703246	949	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC118549.1	1.4766500284062827	9616	24
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC121761.1	0.0076190638072307975	115	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC123905.1	0.007268271679895795	95	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC127502.2	0.030234158551963274	511	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC132192.2	0.049079012357732085	725	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC132872.1	0.027824050467676584	437	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC136475.1	0.009799363488922854	153	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC138811.1	0.010369768892700791	167	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC139019.1	0.007783867963748831	124	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC145124.1	0.03224964516101365	498	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC243967.2	0.20056422776229776	2277	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC244502.1	0.006922001700814131	96	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC244517.11	0.033605541762350116	478	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC245452.1	0.029132409782768275	452	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ACACB	0.2527135928224915	3017	20
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ACAD11	0.22904904275989277	2692	20
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ACCS	0.06382216409931281	978	16
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ACVR2B	0.18941762379743965	2384	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ADA2	0.05101852506978339	872	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ADIRF	0.44138256364137163	2969	22
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AF111169.4	0.007102529533024506	109	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AGPAT1	0.068980318276974	1007	16
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AGTPBP1	0.8025942004552028	6302	23
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AKAP10	0.7745632538268863	6915	23
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AKAP11	0.7580114370380078	6686	23
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AKIP1	0.06685094033929372	1003	16
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AKR1B1	0.03882058633770226	594	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL031058.1	0.011869133754869383	187	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL031666.3	0.04093096222970724	620	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL035587.1	0.049446641402879285	715	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL035701.1	0.028166509263258883	392	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL079338.1	0.013163035138031362	209	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL080276.2	0.04095978030289302	600	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL117381.1	0.14193879156602973	1836	18
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL133268.4	0.10477698020429713	1086	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL133330.1	0.020092117743168384	324	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL133477.2	0.006934314230870564	111	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL135910.1	0.025879453090689408	362	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL136018.1	0.02056334636981203	256	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL136115.2	0.0134776124811104	208	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL138689.2	0.12660958522099866	1545	18
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL138787.2	0.043378131979670026	655	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL139095.4	0.02167040967458757	330	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL161449.2	0.023800732909393253	318	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL162171.2	0.028184033693418997	430	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL162258.2	0.017394639971895304	274	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL353807.5	0.0365219893595647	530	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL354740.1	0.04714087506089389	684	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL354793.1	0.007821832153543817	112	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL355001.2	0.020108567174619216	318	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL355472.2	0.04452562744869599	630	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL355488.1	0.061793096686997014	913	16
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL356019.2	0.01703955045354918	256	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL357153.2	0.1450304450581602	1669	18
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL358115.1	0.028605319531184777	429	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL390719.2	0.17603363873651912	2333	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL391832.2	0.036335049976272855	547	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL450345.2	0.010482219166695804	151	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL583810.1	0.023404048550872778	353	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL589669.1	0.9281082722708883	4486	23
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL590705.1	0.030921963001334096	398	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL592429.2	0.03568143013940848	485	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL731537.1	0.007508245668805015	116	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL731769.2	0.037455975536523044	543	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AL807752.5	0.007350562238195814	115	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ALDH1A1	0.30268775803754316	2366	21
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ALDH1L2	0.08748997885563266	1077	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ALG13	0.8610476042329069	7018	23
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ANAPC16	0.7447786882247024	6586	23
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ANKFY1	0.47038482745856003	4775	22
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ANKRD11	2.0217005369072467	11183	24
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ANKRD31	0.020748475928005446	266	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ANKRD36B	0.35112720672817227	3872	21
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ANKZF1	0.16497046761021572	2298	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ANXA7	0.5235994157029227	5127	22
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AP000688.1	0.013839382909806594	189	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AP000977.1	0.01027585185812461	156	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AP002075.1	0.007765050951638813	106	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AP003086.1	0.27295460826423223	3156	20
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AP003783.1	0.04553626233755919	641	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AP005131.5	0.014525293095716936	233	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AP4M1	0.1767744181794169	2355	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	APPBP2	0.5716034702789604	5621	22
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ARHGAP1	0.22052553905204034	2710	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ARHGAP6	0.14447412346809388	1452	18
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ARHGEF16	0.11159935278436468	1555	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	ARL13B	0.18277910022250377	2199	19
