path	source	sha256
data_sources/Liu_2026_GSE294385/extracted/IX_56688/spatial/tissue_positions.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	b78d84e381e137bbe9668fc5d7c2b134e61e2d33277a724d2266260ed3c51c28
data_sources/Liu_2026_GSE294385/extracted/IX_56689/filtered_feature_bc_matrix/barcodes.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	9ebbd8b61c4a0695f304fa5c9112eb5adb577f9855fb6b72d33d4b847c1be5ec
data_sources/Liu_2026_GSE294385/extracted/IX_56689/filtered_feature_bc_matrix/features.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	d3aaea277b8cb89fb1e6ff683270d63cb4f6237ed9953ac05f529f9c426d2de0
data_sources/Liu_2026_GSE294385/extracted/IX_56689/filtered_feature_bc_matrix/matrix.mtx.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	b9b80bf129c4a42d561be42f8bec326250e0546bb84f2173dfce0c2031a8f1fb
data_sources/Liu_2026_GSE294385/extracted/IX_56689/spatial/tissue_positions.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	9f00200a0ef3391aa5d0fbff74ab314efcbbf987719f1717881b22965e75daf5
data_sources/Liu_2026_GSE294385/extracted/IX_56690/filtered_feature_bc_matrix/barcodes.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	0f5cb9c9818e409fd932d74e10f4acb72ed69b387c9bd47efe382619fe3f40d8
data_sources/Liu_2026_GSE294385/extracted/IX_56690/filtered_feature_bc_matrix/features.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	112cc789930103c03225ccde9cefe4cbfbb72c4515658d8f12285b7f9949e5a6
data_sources/Liu_2026_GSE294385/extracted/IX_56690/filtered_feature_bc_matrix/matrix.mtx.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	d192c32b552e4dc7f38172ef24260ad468035e5fa11b7bd0cf3e8052d5ad9300
data_sources/Liu_2026_GSE294385/extracted/IX_56690/spatial/tissue_positions.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	cf14aeed7c860cc005bdd172970e11212f2b62baf0d904253e19eeb63a857733
data_sources/Liu_2026_GSE294385/extracted/M-ST-05/filtered_feature_bc_matrix/barcodes.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	e640c37a776bd1b996367b05053dd5c7fa50dbf2b5d02f1769f6c9350ffdfa71
data_sources/Liu_2026_GSE294385/extracted/M-ST-05/filtered_feature_bc_matrix/features.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	4c2ee816a1dc25f014a88a6d35619b7a0e01e9b7f3523426d6e8057423232cc6
data_sources/Liu_2026_GSE294385/extracted/M-ST-05/filtered_feature_bc_matrix/matrix.mtx.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	cfaddca30c6332b0eaaf3c55369dde048e2edf333944de6eb57224a2d3f5ab88
data_sources/Liu_2026_GSE294385/extracted/M-ST-05/spatial/tissue_positions.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	4b6be92963e0193bd4b2a0176036746435cd552f90adb9e64ea5fa2cacdf3490
data_sources/Liu_2026_GSE294385/extracted/M-ST-06/filtered_feature_bc_matrix/barcodes.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	672c2d31cf3c28b9a312047567b8842b762449214c6f10c1fa35cf9fab38d967
data_sources/Liu_2026_GSE294385/extracted/M-ST-06/filtered_feature_bc_matrix/features.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	7df9285673033be91ddc0a84bbfbd40131b72afb7a97f0b6ba214fe974bf70f1
data_sources/Liu_2026_GSE294385/extracted/M-ST-06/filtered_feature_bc_matrix/matrix.mtx.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	5a404c7e48df6c65b8d28b49973a820f75c4661f6b7534b3d2ff99bb346d081b
