section	claim	source	filters	column	method	scale	transform	reported	rounding_atol
Results 4	Near-region Claudin fixed score library_only low	result:analysis_results/rec_evidence_bridge_2026-09-16/integration/matched_gene_patient_HGP_effects.tsv	{'dataset': 'Spatial_rHGP_minus_dHGP_near', 'normalization': 'library_only', 'component': 'Claudin', 'score': 'mean_logCPM'}	low	one	1	identity	0.269	0.000500000001
Results 4	Near-region Claudin fixed score library_only high	result:analysis_results/rec_evidence_bridge_2026-09-16/integration/matched_gene_patient_HGP_effects.tsv	{'dataset': 'Spatial_rHGP_minus_dHGP_near', 'normalization': 'library_only', 'component': 'Claudin', 'score': 'mean_logCPM'}	high	one	1	identity	1.304	0.000500000001
Results 4	Near-region Claudin fixed score library_only p	result:analysis_results/rec_evidence_bridge_2026-09-16/integration/matched_gene_patient_HGP_effects.tsv	{'dataset': 'Spatial_rHGP_minus_dHGP_near', 'normalization': 'library_only', 'component': 'Claudin', 'score': 'mean_logCPM'}	p	one	1	identity	0.20	0.0050000000010000005
Results 4	Bulk_rHGP_minus_dHGP Claudin count directional q TMM	result:analysis_results/rec_evidence_bridge_2026-09-16/counts/programme_tests.tsv	{'dataset': 'Bulk_rHGP_minus_dHGP', 'component': 'Claudin', 'normalization': 'TMM'}	q_direction	one	1	identity	0.213	0.000500000001
Results 4	Bulk_rHGP_minus_dHGP Claudin count directional q library_only	result:analysis_results/rec_evidence_bridge_2026-09-16/counts/programme_tests.tsv	{'dataset': 'Bulk_rHGP_minus_dHGP', 'component': 'Claudin', 'normalization': 'library_only'}	q_direction	one	1	identity	0.299	0.000500000001
Results 4	Bulk_rHGP_minus_dHGP HRC count directional q TMM	result:analysis_results/rec_evidence_bridge_2026-09-16/counts/programme_tests.tsv	{'dataset': 'Bulk_rHGP_minus_dHGP', 'component': 'HRC', 'normalization': 'TMM'}	q_direction	one	1	identity	0.0366	5.0000001000000005e-05
Results 4	Bulk_rHGP_minus_dHGP HRC count directional q library_only	result:analysis_results/rec_evidence_bridge_2026-09-16/counts/programme_tests.tsv	{'dataset': 'Bulk_rHGP_minus_dHGP', 'component': 'HRC', 'normalization': 'library_only'}	q_direction	one	1	identity	0.299	0.000500000001
Results 4	Spatial_rHGP_minus_dHGP_near Claudin count directional q TMM	result:analysis_results/rec_evidence_bridge_2026-09-16/counts/programme_tests.tsv	{'dataset': 'Spatial_rHGP_minus_dHGP_near', 'component': 'Claudin', 'normalization': 'TMM'}	q_direction	one	1	identity	0.0318	5.0000001000000005e-05
Results 4	Spatial_rHGP_minus_dHGP_near Claudin count directional q library_only	result:analysis_results/rec_evidence_bridge_2026-09-16/counts/programme_tests.tsv	{'dataset': 'Spatial_rHGP_minus_dHGP_near', 'component': 'Claudin', 'normalization': 'library_only'}	q_direction	one	1	identity	0.164	0.000500000001
Results 4	Bulk fixed-score HRC effect	result:analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	{'component': 'HRC'}	effect	one	1	identity	0.512	0.000500000001
