location	path	workspace_path	bytes	sha256	upstream_sha256	adaptation	source	consumers
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-12/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-12/filtered_feature_bc_matrix/features.tsv.gz	156435	8c1d43098367e782790522ff24b3b8249984276d0234d7c1e01130d41a22cd0c	8c1d43098367e782790522ff24b3b8249984276d0234d7c1e01130d41a22cd0c	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-12/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-12/filtered_feature_bc_matrix/matrix.mtx.gz	64431253	13eacad2c6e321e04c5d24942fab74bbcd8ea38e5604e64db4444a8ac19c8b91	13eacad2c6e321e04c5d24942fab74bbcd8ea38e5604e64db4444a8ac19c8b91	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-12/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-12/spatial/tissue_positions.csv	560774	452b740d5d9a327eda20245b9abb46e8dcf1f0c55d938557ddb1a0d69be4b201	452b740d5d9a327eda20245b9abb46e8dcf1f0c55d938557ddb1a0d69be4b201	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-17/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-17/filtered_feature_bc_matrix/barcodes.tsv.gz	69964	47580e5a714b06050f4d7d8e40cdc7c9d7d059f0302cedf8ecaff4e200e63286	47580e5a714b06050f4d7d8e40cdc7c9d7d059f0302cedf8ecaff4e200e63286	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-17/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-17/filtered_feature_bc_matrix/features.tsv.gz	156435	8080551483d8efdf67c5817c8574b7d99d314b47bdbcc8975a9599449e0236ef	8080551483d8efdf67c5817c8574b7d99d314b47bdbcc8975a9599449e0236ef	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-17/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-17/filtered_feature_bc_matrix/matrix.mtx.gz	150288797	a967785c454cf40852cf96e03d0de8fa085bf61953197b39104ca12dc2240a00	a967785c454cf40852cf96e03d0de8fa085bf61953197b39104ca12dc2240a00	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-17/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-17/spatial/tissue_positions.csv	562880	7e1607832a0294246c156fe11b488c1306fb5eb0cc4e64a040a3d8ad29123e6d	7e1607832a0294246c156fe11b488c1306fb5eb0cc4e64a040a3d8ad29123e6d	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-19/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-19/filtered_feature_bc_matrix/barcodes.tsv.gz	69215	813c7ae843336353cf2a66ff97d7fc0b419a8e24e8c8675eb3817851215e725c	813c7ae843336353cf2a66ff97d7fc0b419a8e24e8c8675eb3817851215e725c	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-19/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-19/filtered_feature_bc_matrix/features.tsv.gz	156435	66283230a036b35fbd3bbc2e91597302274834129a8e7733602824f00fcec799	66283230a036b35fbd3bbc2e91597302274834129a8e7733602824f00fcec799	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-19/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-19/filtered_feature_bc_matrix/matrix.mtx.gz	108892907	f90fad490236c163519556e97cde00f693e3d9fcd2ce33fe5c2b95003dfa4367	f90fad490236c163519556e97cde00f693e3d9fcd2ce33fe5c2b95003dfa4367	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
