table	order	sheet	reference	n_rows	kind	source	assembly
4	5	Bulk_REC50_omissions	reference/workbooks/04/Bulk_REC50_omissions.json	15	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/REC50_patient_omissions.tsv	workbook_sources.py
4	6	Bulk_adjusted_omissions	reference/workbooks/04/Bulk_adjusted_omissions.json	60	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/composition_patient_omissions.tsv	workbook_sources.py
4	7	Bulk_gene_directions	reference/workbooks/04/Bulk_gene_directions.json	246	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/gene_directions.tsv	workbook_sources.py
4	8	Bulk_CAMERA	reference/workbooks/04/Bulk_CAMERA.json	4	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/camera_tests.tsv	workbook_sources.py
4	9	REC44_cross_context	reference/workbooks/04/REC44_cross_context.json	44	data	manuscript/rec_molecular_oncology_final_2026-09-09/source_data/supplementary_figure_2/figure3e.tsv	workbook_sources.py
4	10	REC50_near_deep	reference/workbooks/04/REC50_near_deep.json	12	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/supplementary_figure_3/figure4d.tsv	workbook_sources.py
4	11	Spatial_localization_effects	reference/workbooks/04/Spatial_localization_effects.json	128	data	analysis_results/rec_evidence_bridge_2026-09-16/spatial/region_effects.tsv	workbook_sources.py
4	12	Spatial_region_scores	reference/workbooks/04/Spatial_region_scores.json	576	data	analysis_results/rec_evidence_bridge_2026-09-16/spatial/region_scores.tsv	workbook_sources.py
4	13	Near_coverage_normalization	reference/workbooks/04/Near_coverage_normalization.json	8	data	analysis_results/rec_evidence_bridge_2026-09-16/integration/coverage_only_claudin_HGP.tsv	workbook_sources.py
4	14	Normalization_patients	reference/workbooks/04/Normalization_patients.json	27	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/diagnostics/patient_normalization_diagnostics.tsv	workbook_sources.py
4	15	Normalization_summary	reference/workbooks/04/Normalization_summary.json	3	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/diagnostics/normalization_summary.tsv	workbook_sources.py
4	16	Low_count_scores_90_29	reference/workbooks/04/Low_count_scores_90_29.json	176	data	analysis_results/rec_junction_context_2026-09-16/measurement_qc/regional_scores.tsv	workbook_sources.py
4	17	Low_count_effects_90_29	reference/workbooks/04/Low_count_effects_90_29.json	64	data	analysis_results/rec_junction_context_2026-09-16/measurement_qc/regional_score_sensitivity.tsv	workbook_sources.py
4	18	Zero_count_floors	reference/workbooks/04/Zero_count_floors.json	22	data	analysis_results/rec_junction_context_2026-09-16/measurement_qc/regional_zero_count_baseline.tsv	workbook_sources.py
4	19	Same_section_TMM_baseline	reference/workbooks/04/Same_section_TMM_baseline.json	24	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/sections/shared_gene_comparison_TMM.tsv	workbook_sources.py
4	20	Same_section_library_baseline	reference/workbooks/04/Same_section_library_baseline.json	24	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/sections/shared_gene_comparison_library_only.tsv	workbook_sources.py
4	21	Bulk_28_gene_display	reference/workbooks/04/Bulk_28_gene_display.json	28	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/logcpm.tsv.gz	workbook_sources.py
