patient	region	Claudin	Polarity	Junction	HRC	RSC	iCMS2	iCMS3	E2F	Hypoxia	Epithelial	Liver	iCMS	transform	filter	score
PAT7	micro_tumour	0.14898520009504465	-0.5628236360257024	-0.10376632972758927	-0.09348177397916224	0.2107436362846098	-0.7098560174370562	0.2547682925615783	-0.7775703358097937	0.5811134384543469	-0.15885001808874194	1.183141554771427	0.9646243099986345	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT7	macro_tumour	0.17219237140336155	-0.07611884265741675	0.1255752423860059	0.47485763930402847	0.17889981325035828	0.03245404386759635	0.1678253182321082	0.33208319870014424	-0.1538601623810881	0.9860217778595557	-0.6576226355368523	0.13537127436451185	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT11	micro_tumour	-0.2725446356283265	-0.26905443161314685	-0.22456846673554787	0.1405969116323151	0.12602596367795108	-0.04349058566918895	0.060908094190582664	-0.09701372685990874	0.1983066261296347	0.1113711285486948	1.2111183834130765	0.10439867985977161	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT11	macro_tumour	0.03322909258813263	-0.112452609207942	0.0039040944835112925	0.5669236896597296	0.2924962481011058	0.0032196496627123505	-0.05409913930077352	-0.39866804561694413	0.19819359843587975	0.7905125229459335	0.35433319011848924	-0.05731878896348587	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT8	macro_tumour	-0.1952892751112786	-0.03150760104427764	-0.09812463205356221	0.6896853054647583	0.20636776605735108	0.16085586541393296	-0.028785784587309782	-0.20304203288588737	0.08385102746278189	0.6301248636199839	-0.7834804606871986	-0.18964165000124275	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT10	macro_tumour	-0.4128300210641188	-0.25906075103733883	-0.35195628515264077	-0.5092966105762476	-0.44170648467712575	0.1902906195807532	-0.34286818368102695	0.5626932139387727	-0.39474192653296436	-0.007813290908560122	-1.2125947703939304	-0.5331588032617801	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT10	micro_tumour	-0.3851158529839918	-0.11449661479351024	-0.29509571994662903	-0.8199672783793003	-0.4055929301929435	0.2582221006983864	-0.4202166531325847	0.8569707346787254	-0.32044670990711926	0.07575257719425937	0.008746566785912421	-0.6784387538309711	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT8	micro_tumour	-0.19970124043787157	0.12346838219930766	-0.10585140386081411	-0.08746216779465071	0.15580576957362316	0.05323975545263401	-0.025076196386435226	0.532127128272125	-0.0003104219130684229	-0.1040935412706264	0.4795508323540351	-0.07831595183906924	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT5	micro_tumour	-1.2695453094440248	-1.2658897923784662	-1.3221923980728114	-0.5802503233818176	-0.7045781155508339	-0.4643540099442569	-0.879509014626286	-0.6012262754504776	-0.7256849206482988	0.5962935166396731	-0.038304039526005314	-0.41515500468202904	library_scaled_count_prior	all_members	mean_gene_z
PAT5	macro_tumour	0.5989175753500487	0.21098164201853026	0.5200609605290866	0.5965797658245079	0.28306899101642263	0.2506707132914921	0.09569515976539432	-0.0798472141387662	0.34564577490275805	0.449058044042442	0.15723018973076988	-0.15497555352609776	library_scaled_count_prior	all_members	mean_gene_z
PAT1	micro_tumour	0.2801509797458735	0.34382510770432845	0.23919612642605634	-0.08888572265313127	0.09454304793955483	-0.19553129595759797	0.043535323259329815	-0.010757075002389368	0.07785947157488686	-0.2745955689274653	0.9062085700114428	0.2390666192169278	library_scaled_count_prior	all_members	mean_gene_z
PAT1	macro_tumour	0.11759542133886629	0.010432898175137123	0.06926536526075501	0.2429599423751002	0.11956463505763233	0.08622471175466903	-0.0011852653720657656	0.1100299072525827	-0.009164707128654099	0.38007715581557217	-0.15766045696585682	-0.0874099771267348	library_scaled_count_prior	all_members	mean_gene_z
