dataset	transform	filter	score	component	n_genes	n	effect	low	high	p	n_positive	loo_min	loo_max
GSE294385	library_scaled_count_prior	all_members	mean_gene_z	Claudin	21	11	0.4261025771185945	0.09437136019544888	0.8293907725044682	0.03515625	8	0.2818665463510466	0.48496839067115466
GSE294385	library_scaled_count_prior	all_members	mean_gene_z	Polarity	8	11	0.31410104627152463	0.05294308316967808	0.6186073692040942	0.0546875	8	0.19782400745897746	0.3788503718515962
GSE294385	library_scaled_count_prior	all_members	mean_gene_z	Junction	30	11	0.41932263282630333	0.12789422669946401	0.7758628418668414	0.013671875	9	0.27702956024874387	0.4782479722254638
GSE294385	library_scaled_count_prior	all_members	mean_gene_z	HRC	88	11	0.6328903156473845	0.38439346715223605	0.9168262416113174	0.0009765625	11	0.5299972785461324	0.6808218359156675
GSE294385	library_scaled_count_prior	all_members	mean_log_expression	Claudin	21	11	1.1084030209969657	0.15427493511084223	2.21991643841862	0.0595703125	7	0.6987270328949281	1.276444882687
GSE294385	library_scaled_count_prior	all_members	mean_log_expression	Polarity	8	11	0.28946469590694773	-0.04343544154401542	0.7094603906664424	0.2421875	6	0.13492836701042518	0.3448403052356118
GSE294385	library_scaled_count_prior	all_members	mean_log_expression	Junction	30	11	0.8684672367087415	0.12538785004984634	1.7760244253776423	0.0537109375	7	0.5362237207939551	0.995646374496695
GSE294385	library_scaled_count_prior	all_members	mean_log_expression	HRC	88	11	0.8798298818336318	0.4246873215676938	1.4773920310234618	0.0009765625	11	0.6312523448124325	0.9452828099026735
GSE294385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z	Claudin	15	11	0.33216495193447204	0.04943439780562811	0.673244867049742	0.0517578125	7	0.22474066323986466	0.38055103498615017
GSE294385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z	Polarity	8	11	0.31410104627152463	0.05203544087151236	0.6163013175400052	0.0546875	8	0.19782400745897746	0.3788503718515962
GSE294385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z	Junction	24	11	0.3589166310131541	0.10223204332473862	0.6738859665812207	0.013671875	9	0.24011663677867956	0.411212157046148
GSE294385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z	HRC	88	11	0.6328903156473845	0.3810220674414278	0.920863374520684	0.0009765625	11	0.5299972785461324	0.6808218359156675
GSE294385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_log_expression	Claudin	15	11	0.684342323159266	-0.04255912479329002	1.6419399751701262	0.2119140625	7	0.37542017699883423	0.8056697694292705
GSE294385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_log_expression	Polarity	8	11	0.28946469590694773	-0.04413581032432431	0.7145813150654562	0.2421875	6	0.13492836701042518	0.3448403052356118
GSE294385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_log_expression	Junction	24	11	0.5434453544881235	-0.01730821164060669	1.277968069969521	0.16015625	7	0.2935311078336538	0.6379671960637605
GSE294385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_log_expression	HRC	88	11	0.8798298818336318	0.42514490969121366	1.49226057598263	0.0009765625	11	0.6312523448124325	0.9452828099026735
GSE294385	fixed_CPM_prior_0.1	all_members	mean_gene_z	Claudin	21	11	0.2899574376819867	-0.018675681629613396	0.6724190442542967	0.1630859375	7	0.14211692793485597	0.3578524321746983
GSE294385	fixed_CPM_prior_0.1	all_members	mean_gene_z	Polarity	8	11	0.3009546876981856	0.04119342517139655	0.6057265516918153	0.05859375	8	0.18785022727675627	0.36411896788823317
GSE294385	fixed_CPM_prior_0.1	all_members	mean_gene_z	Junction	30	11	0.32051644849139366	0.04460576749089604	0.6756439727129542	0.0576171875	8	0.17654721509468474	0.38533984210990985
GSE294385	fixed_CPM_prior_0.1	all_members	mean_gene_z	HRC	88	11	0.6465778582892914	0.41229378426215235	0.9180641570540683	0.0009765625	11	0.5497088059275388	0.6938816883764071
GSE294385	fixed_CPM_prior_0.1	all_members	mean_log_expression	Claudin	21	11	0.3490931441251179	-0.12454216927733595	0.9439047538735468	0.3095703125	7	0.11544338814129121	0.4512260994922624
GSE294385	fixed_CPM_prior_0.1	all_members	mean_log_expression	Polarity	8	11	0.18131024177299154	-0.04411599629557355	0.448462189479683	0.236328125	6	0.07663846393029612	0.22511269394956832
GSE294385	fixed_CPM_prior_0.1	all_members	mean_log_expression	Junction	30	11	0.30810113104447995	-0.06863707383749931	0.7930481063110867	0.2763671875	7	0.11237592652693755	0.39146179833775013
GSE294385	fixed_CPM_prior_0.1	all_members	mean_log_expression	HRC	88	11	0.7525018433650176	0.41963229314371603	1.1699992365185536	0.0009765625	11	0.5853451046750756	0.8052981477974239
GSE294385	fixed_CPM_prior_0.1	CPM_ge_1_in_half_profiles	mean_gene_z	Claudin	15	11	0.242564836160635	-0.01841548352688864	0.5545091266866461	0.1591796875	7	0.1359237343048146	0.2924606276075825
GSE294385	fixed_CPM_prior_0.1	CPM_ge_1_in_half_profiles	mean_gene_z	Polarity	8	11	0.3009546876981856	0.04162848436986746	0.6005217494592324	0.05859375	8	0.18785022727675627	0.36411896788823317
GSE294385	fixed_CPM_prior_0.1	CPM_ge_1_in_half_profiles	mean_gene_z	Junction	24	11	0.2985358252429006	0.061210575302248174	0.585538207570436	0.0322265625	9	0.18128404086586608	0.35134181673926534
GSE294385	fixed_CPM_prior_0.1	CPM_ge_1_in_half_profiles	mean_gene_z	HRC	88	11	0.6465778582892914	0.4099805453720626	0.9185471984794501	0.0009765625	11	0.5497088059275388	0.6938816883764071
GSE294385	fixed_CPM_prior_0.1	CPM_ge_1_in_half_profiles	mean_log_expression	Claudin	15	11	0.2787344747749233	-0.13361237783672622	0.7893920207827467	0.3798828125	6	0.09071014934782991	0.35855189180517955
GSE294385	fixed_CPM_prior_0.1	CPM_ge_1_in_half_profiles	mean_log_expression	Polarity	8	11	0.18131024177299154	-0.044032459927975706	0.46261642836616074	0.236328125	6	0.07663846393029612	0.22511269394956832
GSE294385	fixed_CPM_prior_0.1	CPM_ge_1_in_half_profiles	mean_log_expression	Junction	24	11	0.253878959430449	-0.0666229083496046	0.657953256575912	0.328125	6	0.09615078687743601	0.3185993432446954
GSE294385	fixed_CPM_prior_0.1	CPM_ge_1_in_half_profiles	mean_log_expression	HRC	88	11	0.7525018433650176	0.4209036991419696	1.1745941452716508	0.0009765625	11	0.5853451046750756	0.8052981477974239
GSE294385	fixed_CPM_prior_1	all_members	mean_gene_z	Claudin	21	11	0.11906986585110758	-0.15797666646762584	0.4730468079732178	0.583984375	6	-0.02262473430796681	0.1958209812424975
GSE294385	fixed_CPM_prior_1	all_members	mean_gene_z	Polarity	8	11	0.2827119413301978	0.03585952713581528	0.5647038701421152	0.06640625	8	0.17767609451672767	0.3406766874917374
GSE294385	fixed_CPM_prior_1	all_members	mean_gene_z	Junction	30	11	0.1960406392650763	-0.054740729240693	0.5213265029784052	0.2412109375	7	0.0585339928358829	0.2656796188760124
GSE294385	fixed_CPM_prior_1	all_members	mean_gene_z	HRC	88	11	0.6586325274775043	0.4273556557467722	0.920974946665666	0.0009765625	11	0.57073281426824	0.7046426020999428
GSE294385	fixed_CPM_prior_1	all_members	mean_log_expression	Claudin	21	11	0.03040736720688588	-0.18775585565627023	0.3093404277904682	0.8603515625	4	-0.0854951422631149	0.08835457081494683
GSE294385	fixed_CPM_prior_1	all_members	mean_log_expression	Polarity	8	11	0.1258398497310428	-0.03337612675108299	0.31532828111802624	0.2275390625	7	0.05517935496028601	0.15879144067090242
GSE294385	fixed_CPM_prior_1	all_members	mean_log_expression	Junction	30	11	0.07015483634990526	-0.11099493009710121	0.3153213093555783	0.712890625	5	-0.03405231974608123	0.11969212992184572
GSE294385	fixed_CPM_prior_1	all_members	mean_log_expression	HRC	88	11	0.6554969534272771	0.40197872288275505	0.956417772307487	0.0009765625	11	0.542844021939238	0.6992176946819859
GSE294385	fixed_CPM_prior_1	CPM_ge_1_in_half_profiles	mean_gene_z	Claudin	15	11	0.1194036416713503	-0.10451295985161008	0.37890502546735416	0.4169921875	7	0.02072335637427449	0.16849365849902798
GSE294385	fixed_CPM_prior_1	CPM_ge_1_in_half_profiles	mean_gene_z	Polarity	8	11	0.2827119413301978	0.03688402711756176	0.5697993739457309	0.06640625	8	0.17767609451672767	0.3406766874917374
GSE294385	fixed_CPM_prior_1	CPM_ge_1_in_half_profiles	mean_gene_z	Junction	24	11	0.21549194250622025	0.009151950719395324	0.4786734945425396	0.08984375	7	0.10591623129824615	0.26606470156972273
GSE294385	fixed_CPM_prior_1	CPM_ge_1_in_half_profiles	mean_gene_z	HRC	88	11	0.6586325274775043	0.4264807343998883	0.9291255089032247	0.0009765625	11	0.57073281426824	0.7046426020999428
GSE294385	fixed_CPM_prior_1	CPM_ge_1_in_half_profiles	mean_log_expression	Claudin	15	11	0.06060374412985019	-0.16639960982450935	0.32797234466779307	0.7255859375	6	-0.04666775826556222	0.11163581284910569
GSE294385	fixed_CPM_prior_1	CPM_ge_1_in_half_profiles	mean_log_expression	Polarity	8	11	0.1258398497310428	-0.03388834472652059	0.31331621901192674	0.2275390625	7	0.05517935496028601	0.15879144067090242
GSE294385	fixed_CPM_prior_1	CPM_ge_1_in_half_profiles	mean_log_expression	Junction	24	11	0.09896443921251243	-0.08303971277935702	0.32760411711570425	0.482421875	6	0.0030755008816472974	0.14207729596991933
GSE294385	fixed_CPM_prior_1	CPM_ge_1_in_half_profiles	mean_log_expression	HRC	88	11	0.6554969534272771	0.4051109836475727	0.9513080688253066	0.0009765625	11	0.542844021939238	0.6992176946819859
