pair_id	priority	side	program_id	gene_role	gene	mean_expression	detected_epithelial_cells	expression_bin
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC022613.1	0.011836867912830295	176	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC022903.1	0.0003673836437139321	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC023590.1	0.7793898341493245	6541	23
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC024270.4	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC024560.3	0.0007021432851030897	12	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC025284.1	0.00012227997683638805	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC025470.2	0.0008054774365558251	14	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC026367.1	0.002052174646422957	33	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC026748.3	0.006558309526816984	107	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC027698.1	0.0003577724027652244	7	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC034232.2	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC055788.1	0.0010225939061135488	17	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC063965.2	0.0024057326113398067	39	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC066580.1	0.0007913973890079746	13	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC067751.1	0.012601630019932655	206	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC067930.1	0.0009363998746624731	15	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC068473.1	0.007774164745321993	121	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC068473.2	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC069294.1	0.0006223064805113686	9	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC069503.1	0.002606593309302742	40	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC072028.1	0.11615764401125622	1531	17
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC072039.2	0.0007495783621712787	11	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC073046.3	0.07707440263364637	1133	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC073349.1	0.0019915369115604646	31	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC073569.2	0.08365123447230216	1061	17
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC074008.2	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC079354.2	0.0006811411683538122	10	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC079760.1	0.042961879565942315	516	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC080128.2	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC083805.2	0.01447852222378412	226	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC089985.1	0.014137233880020578	224	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC090204.1	0.023348171801935033	311	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC091047.1	0.0010394898440286978	17	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC092111.1	0.0008120432256855533	14	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC092134.1	0.0002498594540570929	4	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC092343.1	0.006196569067987013	92	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC092436.3	0.024233159815485465	369	14
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC092620.2	0.0012438544975958447	20	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC092625.1	0.0008745080891998253	11	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC092683.2	0.0006642958547346849	11	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC092924.2	0.0003123243175713661	4	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC093001.1	0.0008461167315077355	12	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC093151.3	0.0007438842700284147	12	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC093425.1	0.1110549402032906	1079	17
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC093635.1	0.002624338534288027	41	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC093916.1	0.06057237099905918	651	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC096570.2	0.0009893951391293605	16	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC096711.2	0.017350602681635813	247	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC097375.1	0.0007414208732424838	8	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC097480.1	0.010604695162953873	120	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC097480.2	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC097532.3	0.014538332776191135	226	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC099778.1	0.017978705917696496	283	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC103831.1	0.0020236835927115557	32	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC104078.1	0.0009783344881190107	17	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC104634.2	0.0003731905412492258	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC104984.4	0.0009803494715218619	17	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC105219.2	0.006736276839881353	106	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC105429.1	0.029306828130744714	462	14
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC105430.1	0.0012734674433421778	22	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC107208.1	0.0003158316323894232	23	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC107464.1	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC107958.3	0.0025578856103327463	41	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC109361.1	0.018318421531344595	258	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC109811.1	0.005353826639229147	75	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC109927.1	0.039353522350439735	519	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC110285.5	0.001061902679742645	17	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC110795.1	0.0447809995877556	693	15
