restriction	model	component	n	effect	low	high	p	n_positive	loo_min	loo_max	family	q
epithelial_high	unadjusted	gene_CLDN14	6	0.04384289295491912	0.0020178181368432097	0.09325225306662832	0.21875	4	0.02341672221578165	0.05503309574741533	genes	0.26480263157894735
epithelial_high	unadjusted	gene_CLDN15	6	0.21743245972139458	0.05764253235043361	0.42120667284583485	0.0625	5	0.11631288790195307	0.26938070469223885	genes	0.08984375
epithelial_high	unadjusted	gene_CLDN16	6	0.027051945848119076	-0.018187929188147194	0.06360193707241657	0.28125	5	0.016782953660208103	0.04778467505617451	genes	0.3234375
epithelial_high	unadjusted	gene_CLDN17	3	0.0043562904021429314	-0.045293087177004546	0.04060295661979651	NA	2	-0.013777296952188978	0.029188232565057766	genes	NA
epithelial_high	unadjusted	gene_CLDN18	3	0.03450149047740818	0.0052706823832887025	0.06133089726552329	NA	3	0.021065683192722045	0.049097910226824186	genes	NA
epithelial_high	unadjusted	gene_CLDN19	2	0.016472371590400697	-0.017736643670049415	0.05064286600465012	NA	1	-0.01773664367004942	0.050642866004650115	genes	NA
epithelial_high	unadjusted	gene_CLDN2	6	0.08708264652072982	0.03692528530219368	0.144815469392359	0.03125	6	0.06559342447231933	0.10122243681162346	genes	0.055288461538461536
epithelial_high	unadjusted	gene_CLDN20	1	0.021277185749923214	0.021277185749923214	0.021277185749923214	NA	1	NA	NA	genes	NA
epithelial_high	unadjusted	gene_CLDN22	3	0.011342047573829419	-0.015585116191046307	0.038615815828584595	NA	2	-0.0023037086823068215	0.024801902684530953	genes	NA
epithelial_high	unadjusted	gene_CLDN23	6	0.23335700111737176	0.12437523066751949	0.3430565505494144	0.0625	5	0.18617348897372205	0.2780686485161031	genes	0.08984375
epithelial_high	unadjusted	gene_CLDN3	6	0.3670941129720093	0.22465334829794958	0.5620096590700914	0.03125	6	0.2581944532212692	0.4019157629198836	genes	0.055288461538461536
epithelial_high	unadjusted	gene_CLDN4	6	0.45862311137102396	0.20210662373635932	0.7037830541524738	0.0625	5	0.31918645529108297	0.5343414522416917	genes	0.08984375
epithelial_high	unadjusted	gene_CLDN5	6	0.09425801527075413	0.007659699956752184	0.17925987904824695	0.125	5	0.05932267733984431	0.12799179629877885	genes	0.1597222222222222
epithelial_high	unadjusted	gene_CLDN6	6	0.014255922844069869	-0.003192356536760641	0.040602479893686864	0.46875	3	0.001999866849394921	0.018560822352033525	genes	0.5133928571428572
epithelial_high	unadjusted	gene_CLDN7	6	0.3084974871859674	0.12234570131607488	0.5459281204216461	0.03125	6	0.17437422003098696	0.3552729024992475	genes	0.055288461538461536
epithelial_high	unadjusted	gene_CLDN8	4	0.022859997282768597	-0.017060253154587927	0.05714341091731177	NA	3	0.007830246268422948	0.041596298292661864	genes	NA
epithelial_high	unadjusted	gene_CLDN9	6	0.1421241280235723	0.09864840947245111	0.1766063552703278	0.03125	6	0.13108907957975038	0.1618478030466876	genes	0.055288461538461536
epithelial_high	unadjusted	gene_CRB3	6	0.2353811205798764	0.1650157180132966	0.30359340487191644	0.03125	6	0.20922897543123314	0.2560860982952342	genes	0.055288461538461536
epithelial_high	unadjusted	gene_F11R	6	0.24002563902717466	0.1936082816574109	0.2981048352839196	0.03125	6	0.213453090609605	0.2535109891719594	genes	0.055288461538461536
epithelial_high	unadjusted	gene_PALS1	6	0.183971762385786	0.11873788580621444	0.24638953002415198	0.03125	6	0.1651994506457106	0.20518858930550524	genes	0.055288461538461536
epithelial_high	unadjusted	gene_PARD3	6	0.1942591011561786	0.13216188472604914	0.24676665174763243	0.03125	6	0.1786245402378569	0.2192747413061702	genes	0.055288461538461536
epithelial_high	unadjusted	gene_PARD6A	6	0.16161467354545656	0.1213674453456323	0.20133136669090493	0.03125	6	0.14662238457909238	0.17583552440774555	genes	0.055288461538461536
epithelial_high	unadjusted	gene_PARD6B	6	0.26443428909735756	0.22030129586412625	0.3053253397812915	0.03125	6	0.2499862756344917	0.2830439463826725	genes	0.055288461538461536
epithelial_high	unadjusted	gene_PARD6G	6	0.05960460209333917	0.013714820975155587	0.10345728043659283	0.09375	5	0.04539949163793111	0.07791891391580266	genes	0.12683823529411764
epithelial_high	unadjusted	gene_PATJ	6	0.13807232943324524	0.08598084263038669	0.1870679854019832	0.03125	6	0.11921727497260726	0.15938032450374842	genes	0.055288461538461536
epithelial_high	unadjusted	gene_PRKCI	6	0.20589592042552615	0.1335960513795463	0.2737263547634878	0.03125	6	0.17938606533083884	0.23275435436989186	genes	0.055288461538461536
