hops	restriction	score	component	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
5	epithelial_high	mean_logCPM	Claudin	21	near_minus_deep	6	0.07336077488293176	-0.1657535269211331	0.408055319381782	0.8125	3.0	-0.07615408559935859	0.13658772183433018	0.8125
5	epithelial_high	mean_logCPM	Claudin	21	HGP_near	6	0.10224951880107414	-0.3069232443968859	0.511422281999034	0.8	NA	-0.057951613083314424	0.30109988317680925	1.0
5	epithelial_high	mean_logCPM	Claudin	21	HGP_localization	6	-0.3603693655746237	-0.8970541230522553	0.1088138310654189	0.3	NA	-0.594960963894645	-0.07667455576255373	0.6666666666666666
5	epithelial_high	mean_logCPM	Polarity	8	near_minus_deep	6	0.10267254142827831	0.01232823954937127	0.21944197419008318	0.15625	5.0	0.05275216689940674	0.13265644566067572	0.3125
5	epithelial_high	mean_logCPM	Polarity	8	HGP_near	6	0.009059289364803824	-0.49785161838735625	0.5159701971169657	1.0	NA	-0.22345131269748553	0.1840283018526927	1.0
5	epithelial_high	mean_logCPM	Polarity	8	HGP_localization	6	0.0053354559434299065	-0.16767101276185148	0.23856929351431955	1.0	NA	-0.11813161639289153	0.08162908051028091	1.0
5	epithelial_high	mean_logCPM	Junction	30	near_minus_deep	6	0.072732357642326	-0.09624220495941989	0.29838827042904265	0.75	3.0	-0.0321215851256035	0.12130556751716667	0.8125
5	epithelial_high	mean_logCPM	Junction	30	HGP_near	6	0.07596327900493272	-0.07727660231153832	0.21090347765555695	0.5	NA	0.017551970095146974	0.152583219663168	1.0
5	epithelial_high	mean_logCPM	Junction	30	HGP_localization	6	-0.24982327185292236	-0.6315652627251858	0.08812585335056941	0.4	NA	-0.4187978344546683	-0.05014423289632922	0.6666666666666666
5	epithelial_high	mean_logCPM	HRC	87	near_minus_deep	6	-0.09838713491555628	-0.1870898411008491	-0.016004639436146828	0.125	2.0	-0.12672763643341636	-0.06266151849313673	0.3125
