hops	restriction	score	component	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
5	epithelial_high	mean_logCPM	HRC	87	HGP_near	6	0.12064270990725667	-0.4726380765640137	0.713923496378527	0.9	NA	-0.10782440748074062	0.376938517790947	1.0
5	epithelial_high	mean_logCPM	HRC	87	HGP_localization	6	-0.07333700532666726	-0.2217875208017901	0.10503400492596673	0.5	NA	-0.16252251045298424	-0.002357215602285155	0.6666666666666666
5	epithelial_high	mean_gene_z	Claudin	21	near_minus_deep	6	0.0005028352418659695	-0.24502379154319157	0.2732695470180979	1.0	3.0	-0.12118025382520987	0.08782005444463968	1.0
5	epithelial_high	mean_gene_z	Claudin	21	HGP_near	6	0.03009539325933714	-0.21708573347154334	0.22999140097820636	0.8	NA	-0.03749058500597585	0.15368595662477735	0.9
5	epithelial_high	mean_gene_z	Claudin	21	HGP_localization	6	-0.3380979940271792	-0.7689378918909654	0.09274190383660681	0.4	NA	-0.5352417273475599	-0.11841476986628446	0.6666666666666666
5	epithelial_high	mean_gene_z	Polarity	8	near_minus_deep	6	0.08803287579958129	-0.001753576223524858	0.19898962900720618	0.21875	4.0	0.03562945546206381	0.11150390833498099	0.4375
5	epithelial_high	mean_gene_z	Polarity	8	HGP_near	6	-0.13078419088167378	-0.8352204320425604	0.5736520502792127	0.7	NA	-0.438018876941183	0.1377490162370758	0.9
5	epithelial_high	mean_gene_z	Polarity	8	HGP_localization	6	0.019522869216499983	-0.1499343304377861	0.26302559478995907	1.0	NA	-0.1066049643231687	0.08308116785912423	1.0
5	epithelial_high	mean_gene_z	Junction	30	near_minus_deep	6	0.006549564534599928	-0.1656856868332688	0.1951206908993474	0.96875	3.0	-0.0736129589242149	0.07227403500269984	1.0
5	epithelial_high	mean_gene_z	Junction	30	HGP_near	6	-0.008127589422874166	-0.20685612332434292	0.15852792330250698	0.9	NA	-0.062090786049836165	0.09123667752786023	0.9
5	epithelial_high	mean_gene_z	Junction	30	HGP_localization	6	-0.22854664283513149	-0.5296228395725517	0.06723431503725358	0.4	NA	-0.36522684116512344	-0.08527699489687726	0.6666666666666666
5	epithelial_high	mean_gene_z	HRC	87	near_minus_deep	6	-0.1286216612421541	-0.2423444933578165	-0.026899814082113793	0.09375	1.0	-0.1624389386631576	-0.07874718282956644	0.375
5	epithelial_high	mean_gene_z	HRC	87	HGP_near	6	0.059998124295201176	-0.6459452311070318	0.7363897241434625	0.9	NA	-0.16254354950041655	0.41296980199631766	0.9
