minimum_cells	method	rival	comparator	n_pairs	fisher_z_difference	CI_low	CI_high	mean_rho_difference	n_REC_greater	p_signflip	allocations	bootstrap_B	seed	analysis_role	p_BH_six_tests
30	matched	ICMS3_MINUS_ICMS2	Hypoxia	9	0.0899023517485939	-0.03483653393356979	0.20551718246806575	0.08166015964464562	6	0.1953125	512	10000	42	sensitivity	0.234375
30	matched	ICMS3_MINUS_ICMS2	UPR	6	0.17684205747510884	0.022259304790994583	0.31502605128834	0.1643282327746719	5	0.09375	64	10000	42	sensitivity	0.1875
30	matched	ICMS3_MINUS_ICMS2	iREC	4	-0.13090466589046887	-0.22096166298237047	-0.04084766879856726	-0.1171187269692145	0	0.125	16	10000	42	sensitivity	0.1875
30	matched	WHITE_RSC	Hypoxia	9	0.10588985649402116	0.032442924254740046	0.17913335563538074	0.09868978543117257	8	0.02734375	512	10000	42	sensitivity	0.09375
30	matched	WHITE_RSC	UPR	6	0.13877802200376332	0.09320011515013242	0.19837185549592315	0.12861165420377715	6	0.03125	64	10000	42	sensitivity	0.09375
30	matched	WHITE_RSC	iREC	4	-0.07368471426050252	-0.21751406621850813	0.09150787795877205	-0.06050282745255829	1	0.375	16	10000	42	sensitivity	0.375
30	gene_z	ICMS3_MINUS_ICMS2	Hypoxia	9	0.015230922813864227	-0.1140885058249011	0.13303936720862367	0.014309044520923402	5	0.82421875	512	10000	42	sensitivity	0.9890625
30	gene_z	ICMS3_MINUS_ICMS2	UPR	6	0.011372465851617851	-0.1049586216199291	0.12465538031534142	0.011725517524712195	3	0.8125	64	10000	42	sensitivity	0.9890625
30	gene_z	ICMS3_MINUS_ICMS2	iREC	4	-0.14142626098156486	-0.25183558108133064	-0.031016940881799043	-0.1360692423111513	1	0.25	16	10000	42	sensitivity	0.9890625
30	gene_z	WHITE_RSC	Hypoxia	9	0.028302277346913953	-0.027092687610580608	0.08859021285432728	0.026975065203343026	5	0.390625	512	10000	42	sensitivity	0.9890625
30	gene_z	WHITE_RSC	UPR	6	0.054562328729222655	-0.06773806146471638	0.1532735235594698	0.055110188469180865	4	0.5	64	10000	42	sensitivity	0.9890625
30	gene_z	WHITE_RSC	iREC	4	0.0011993517008900972	-0.12492141471811447	0.12732011811989466	0.0044738030689473185	2	1.0	16	10000	42	sensitivity	1.0
