dataset	component	gene	source_gene	measured_variable
GSE151165	E2F	GSPT1	GSPT1	True
GSE151165	E2F	H2AX		False
GSE151165	E2F	H2AZ1		False
GSE151165	E2F	HELLS	HELLS	True
GSE151165	E2F	HMGA1	HMGA1	True
GSE151165	E2F	HMGB2	HMGB2	True
GSE151165	E2F	HMGB3	HMGB3	True
GSE151165	E2F	HMMR	HMMR	True
GSE151165	E2F	HNRNPD	HNRNPD	True
GSE151165	E2F	HUS1	HUS1	True
GSE151165	E2F	ILF3	ILF3	True
GSE151165	E2F	ING3	ING3	True
GSE151165	E2F	IPO7	IPO7	True
GSE151165	E2F	JPT1		False
GSE151165	E2F	KIF18B	KIF18B	True
GSE151165	E2F	KIF22	KIF22	True
GSE151165	E2F	KIF2C	KIF2C	True
GSE151165	E2F	KIF4A	KIF4A	True
GSE151165	E2F	KPNA2	KPNA2	True
GSE151165	E2F	LBR	LBR	True
GSE151165	E2F	LIG1	LIG1	True
GSE151165	E2F	LMNB1	LMNB1	True
GSE151165	E2F	LUC7L3	LUC7L3	True
GSE151165	E2F	LYAR	LYAR	True
GSE151165	E2F	MAD2L1	MAD2L1	True
GSE151165	E2F	MCM2	MCM2	True
GSE151165	E2F	MCM3	MCM3	True
GSE151165	E2F	MCM4	MCM4	True
GSE151165	E2F	MCM5	MCM5	True
GSE151165	E2F	MCM6	MCM6	True
GSE151165	E2F	MCM7	MCM7	True
GSE151165	E2F	MELK	MELK	True
GSE151165	E2F	MKI67	MKI67	True
GSE151165	E2F	MLH1	MLH1	True
GSE151165	E2F	MMS22L	MMS22L	True
GSE151165	E2F	MRE11		False
GSE151165	E2F	MSH2	MSH2	True
GSE151165	E2F	MTHFD2	MTHFD2	True
GSE151165	E2F	MXD3	MXD3	True
GSE151165	E2F	MYBL2	MYBL2	True
GSE151165	E2F	MYC	MYC	True
GSE151165	E2F	NAA38	NAA38	True
GSE151165	E2F	NAP1L1	NAP1L1	True
GSE151165	E2F	NASP	NASP	True
GSE151165	E2F	NBN	NBN	True
GSE151165	E2F	NCAPD2	NCAPD2	True
GSE151165	E2F	NME1	NME1	True
GSE151165	E2F	NOLC1	NOLC1	True
GSE151165	E2F	NOP56	NOP56	True
GSE151165	E2F	NUDT21	NUDT21	True
GSE151165	E2F	NUP107	NUP107	True
GSE151165	E2F	NUP153	NUP153	True
GSE151165	E2F	NUP205	NUP205	True
GSE151165	E2F	ORC2	ORC2	True
GSE151165	E2F	ORC6	ORC6	True
GSE151165	E2F	PA2G4	PA2G4	True
GSE151165	E2F	PAICS	PAICS	True
GSE151165	E2F	PAN2	PAN2	True
GSE151165	E2F	PCNA	PCNA	True
GSE151165	E2F	PDS5B	PDS5B	True
GSE151165	E2F	PHF5A	PHF5A	True
GSE151165	E2F	PLK1	PLK1	True
GSE151165	E2F	PLK4	PLK4	True
GSE151165	E2F	PMS2	PMS2	True
GSE151165	E2F	PNN	PNN	True
GSE151165	E2F	POLA2	POLA2	True
GSE151165	E2F	POLD1	POLD1	True
GSE151165	E2F	POLD2	POLD2	True
GSE151165	E2F	POLD3	POLD3	True
GSE151165	E2F	POLE	POLE	True
GSE151165	E2F	POLE4	POLE4	True
GSE151165	E2F	POP7	POP7	True
GSE151165	E2F	PPM1D	PPM1D	True
GSE151165	E2F	PPP1R8	PPP1R8	True
GSE151165	E2F	PRDX4	PRDX4	True
GSE151165	E2F	PRIM2	PRIM2	True
GSE151165	E2F	PRKDC	PRKDC	True
GSE151165	E2F	PRPS1	PRPS1	True
GSE151165	E2F	PSIP1	PSIP1	True
GSE151165	E2F	PSMC3IP	PSMC3IP	True
GSE151165	E2F	PTTG1	PTTG1	True
GSE151165	E2F	RACGAP1	RACGAP1	True
GSE151165	E2F	RAD1	RAD1	True
GSE151165	E2F	RAD21	RAD21	True
GSE151165	E2F	RAD50	RAD50	True
GSE151165	E2F	RAD51AP1	RAD51AP1	True
GSE151165	E2F	RAD51C	RAD51C	True
GSE151165	E2F	RAN	RAN	True
GSE151165	E2F	RANBP1	RANBP1	True
GSE151165	E2F	RBBP7	RBBP7	True
GSE151165	E2F	RFC1	RFC1	True
GSE151165	E2F	RFC2	RFC2	True
GSE151165	E2F	RFC3	RFC3	True
GSE151165	E2F	RNASEH2A	RNASEH2A	True
GSE151165	E2F	RPA1	RPA1	True
GSE151165	E2F	RPA2	RPA2	True
GSE151165	E2F	RPA3	RPA3	True
GSE151165	E2F	RRM2	RRM2	True
GSE151165	E2F	SHMT1	SHMT1	True
GSE151165	E2F	SLBP	SLBP	True
GSE151165	E2F	SMC1A	SMC1A	True
GSE151165	E2F	SMC3	SMC3	True
GSE151165	E2F	SMC4	SMC4	True
GSE151165	E2F	SMC6	SMC6	True
GSE151165	E2F	SNRPB	SNRPB	True
GSE151165	E2F	SPAG5	SPAG5	True
GSE151165	E2F	SPC24	SPC24	True
GSE151165	E2F	SPC25	SPC25	True
GSE151165	E2F	SRSF1	SRSF1	True
GSE151165	E2F	SRSF2	SRSF2	True
GSE151165	E2F	SSRP1	SSRP1	True
GSE151165	E2F	STAG1	STAG1	True
GSE151165	E2F	STMN1	STMN1	True
GSE151165	E2F	SUV39H1	SUV39H1	True
GSE151165	E2F	SYNCRIP	SYNCRIP	True
GSE151165	E2F	TACC3	TACC3	True
GSE151165	E2F	TBRG4	TBRG4	True
GSE151165	E2F	TCF19	TCF19	True
GSE151165	E2F	TFRC	TFRC	True
GSE151165	E2F	TIMELESS	TIMELESS	True
GSE151165	E2F	TIPIN	TIPIN	True
GSE151165	E2F	TK1	TK1	True
GSE151165	E2F	TMPO	TMPO	True
GSE151165	E2F	TOP2A	TOP2A	True
GSE151165	E2F	TP53	TP53	True
GSE151165	E2F	TRA2B	TRA2B	True
GSE151165	E2F	TRIP13	TRIP13	True
GSE151165	E2F	TUBB	TUBB	True
GSE151165	E2F	TUBG1	TUBG1	True
GSE151165	E2F	UBE2S	UBE2S	True
GSE151165	E2F	UBE2T	UBE2T	True
GSE151165	E2F	UBR7	UBR7	True
GSE151165	E2F	UNG	UNG	True
GSE151165	E2F	USP1	USP1	True
GSE151165	E2F	WDR90	WDR90	True
GSE151165	E2F	WEE1	WEE1	True
GSE151165	E2F	XPO1	XPO1	True
GSE151165	E2F	XRCC6	XRCC6	True
GSE151165	E2F	ZW10	ZW10	True
GSE151165	Hypoxia	ACKR3		False
GSE151165	Hypoxia	ADM	ADM	True
GSE151165	Hypoxia	ADORA2B	ADORA2B	True
GSE151165	Hypoxia	AK4	AK4	True
GSE151165	Hypoxia	AKAP12	AKAP12	True
GSE151165	Hypoxia	ALDOA	ALDOA	True
GSE151165	Hypoxia	ALDOB	ALDOB	True
GSE151165	Hypoxia	ALDOC	ALDOC	True
GSE151165	Hypoxia	AMPD3	AMPD3	True
GSE151165	Hypoxia	ANGPTL4	ANGPTL4	True
GSE151165	Hypoxia	ANKZF1	ANKZF1	True
GSE151165	Hypoxia	ANXA2	ANXA2	True
GSE151165	Hypoxia	ATF3	ATF3	True
GSE151165	Hypoxia	ATP7A	ATP7A	True
GSE151165	Hypoxia	B3GALT6	B3GALT6	True
GSE151165	Hypoxia	B4GALNT2	B4GALNT2	True
GSE151165	Hypoxia	BCAN	BCAN	True
GSE151165	Hypoxia	BCL2	BCL2	True
GSE151165	Hypoxia	BGN	BGN	True
GSE151165	Hypoxia	BHLHE40	BHLHE40	True
GSE151165	Hypoxia	BNIP3L	BNIP3L	True
GSE151165	Hypoxia	BRS3	BRS3	True
GSE151165	Hypoxia	BTG1	BTG1	True
GSE151165	Hypoxia	CA12	CA12	True
GSE151165	Hypoxia	CASP6	CASP6	True
GSE151165	Hypoxia	CAV1	CAV1	True
GSE151165	Hypoxia	CAVIN1		False
GSE151165	Hypoxia	CAVIN3		False
GSE151165	Hypoxia	CCN1		False
GSE151165	Hypoxia	CCN2		False
GSE151165	Hypoxia	CCN5		False
GSE151165	Hypoxia	CCNG2	CCNG2	True
GSE151165	Hypoxia	CDKN1A	CDKN1A	True
GSE151165	Hypoxia	CDKN1B	CDKN1B	True
GSE151165	Hypoxia	CDKN1C	CDKN1C	True
GSE151165	Hypoxia	CHST2	CHST2	True
GSE151165	Hypoxia	CHST3	CHST3	True
GSE151165	Hypoxia	CITED2	CITED2	True
GSE151165	Hypoxia	COL5A1	COL5A1	True
GSE151165	Hypoxia	CP	CP	True
GSE151165	Hypoxia	CSRP2	CSRP2	True
GSE151165	Hypoxia	CXCR4	CXCR4	True
GSE151165	Hypoxia	DCN	DCN	True
GSE151165	Hypoxia	DDIT3	DDIT3	True
GSE151165	Hypoxia	DDIT4	DDIT4	True
GSE151165	Hypoxia	DPYSL4	DPYSL4	True
GSE151165	Hypoxia	DTNA	DTNA	True
GSE151165	Hypoxia	DUSP1	DUSP1	True
GSE151165	Hypoxia	EDN2	EDN2	True
GSE151165	Hypoxia	EFNA1	EFNA1	True
GSE151165	Hypoxia	EFNA3	EFNA3	True
GSE151165	Hypoxia	EGFR	EGFR	True
GSE151165	Hypoxia	ENO1	ENO1	True
GSE151165	Hypoxia	ENO2	ENO2	True
GSE151165	Hypoxia	ENO3	ENO3	True
GSE151165	Hypoxia	ERO1A		False
GSE151165	Hypoxia	ERRFI1	ERRFI1	True
GSE151165	Hypoxia	ETS1	ETS1	True
GSE151165	Hypoxia	EXT1	EXT1	True
GSE151165	Hypoxia	F3	F3	True
GSE151165	Hypoxia	FAM162A	FAM162A	True
GSE151165	Hypoxia	FBP1	FBP1	True
GSE151165	Hypoxia	FOS	FOS	True
GSE151165	Hypoxia	FOSL2	FOSL2	True
GSE151165	Hypoxia	FOXO3	FOXO3	True
GSE151165	Hypoxia	GAA	GAA	True
GSE151165	Hypoxia	GALK1	GALK1	True
GSE151165	Hypoxia	GAPDH	GAPDH	True
GSE151165	Hypoxia	GAPDHS	GAPDHS	True
GSE151165	Hypoxia	GBE1	GBE1	True
GSE151165	Hypoxia	GCK	GCK	True
GSE151165	Hypoxia	GCNT2	GCNT2	True
GSE151165	Hypoxia	GLRX	GLRX	True
GSE151165	Hypoxia	GPC1	GPC1	True
GSE151165	Hypoxia	GPC3	GPC3	True
GSE151165	Hypoxia	GPC4	GPC4	True
GSE151165	Hypoxia	GPI	GPI	True
GSE151165	Hypoxia	GRHPR	GRHPR	True
GSE151165	Hypoxia	GYS1	GYS1	True
GSE151165	Hypoxia	HAS1	HAS1	True
GSE151165	Hypoxia	HDLBP	HDLBP	True
GSE151165	Hypoxia	HEXA	HEXA	True
GSE151165	Hypoxia	HK1	HK1	True
GSE151165	Hypoxia	HK2	HK2	True
GSE151165	Hypoxia	HMOX1	HMOX1	True
GSE151165	Hypoxia	HOXB9	HOXB9	True
GSE151165	Hypoxia	HS3ST1	HS3ST1	True
GSE151165	Hypoxia	HSPA5	HSPA5	True
GSE151165	Hypoxia	IDS	IDS	True
GSE151165	Hypoxia	IER3	IER3	True
GSE151165	Hypoxia	IGFBP1	IGFBP1	True
GSE151165	Hypoxia	IGFBP3	IGFBP3	True
GSE151165	Hypoxia	IL6	IL6	True
GSE151165	Hypoxia	ILVBL	ILVBL	True
GSE151165	Hypoxia	INHA	INHA	True
GSE151165	Hypoxia	IRS2	IRS2	True
GSE151165	Hypoxia	ISG20	ISG20	True
GSE151165	Hypoxia	JMJD6	JMJD6	True
GSE151165	Hypoxia	JUN	JUN	True
GSE151165	Hypoxia	KDELR3	KDELR3	True
GSE151165	Hypoxia	KDM3A	KDM3A	True
GSE151165	Hypoxia	KIF5A	KIF5A	True
GSE151165	Hypoxia	KLF6	KLF6	True
GSE151165	Hypoxia	KLF7	KLF7	True
GSE151165	Hypoxia	KLHL24	KLHL24	True
GSE151165	Hypoxia	LALBA		False
GSE151165	Hypoxia	LARGE1		False
GSE151165	Hypoxia	LDHA	LDHA	True
GSE151165	Hypoxia	LDHC	LDHC	True
GSE151165	Hypoxia	LOX	LOX	True
GSE151165	Hypoxia	LXN	LXN	True
GSE151165	Hypoxia	MAFF	MAFF	True
GSE151165	Hypoxia	MAP3K1	MAP3K1	True
GSE151165	Hypoxia	MIF	MIF	True
GSE151165	Hypoxia	MT1E	MT1E	True
GSE151165	Hypoxia	MT2A	MT2A	True
GSE151165	Hypoxia	MXI1	MXI1	True
GSE151165	Hypoxia	MYH9	MYH9	True
GSE151165	Hypoxia	NAGK	NAGK	True
GSE151165	Hypoxia	NCAN	NCAN	True
GSE151165	Hypoxia	NDRG1	NDRG1	True
GSE151165	Hypoxia	NDST1	NDST1	True
GSE151165	Hypoxia	NDST2	NDST2	True
GSE151165	Hypoxia	NEDD4L	NEDD4L	True
GSE151165	Hypoxia	NFIL3	NFIL3	True
GSE151165	Hypoxia	NOCT		False
GSE151165	Hypoxia	NR3C1	NR3C1	True
GSE151165	Hypoxia	P4HA1	P4HA1	True
GSE151165	Hypoxia	P4HA2	P4HA2	True
GSE151165	Hypoxia	PAM	PAM	True
GSE151165	Hypoxia	PCK1	PCK1	True
GSE151165	Hypoxia	PDGFB	PDGFB	True
GSE151165	Hypoxia	PDK1	PDK1	True
GSE151165	Hypoxia	PDK3	PDK3	True
GSE151165	Hypoxia	PFKFB3	PFKFB3	True
GSE151165	Hypoxia	PFKL	PFKL	True
GSE151165	Hypoxia	PFKP	PFKP	True
GSE151165	Hypoxia	PGAM2	PGAM2	True
GSE151165	Hypoxia	PGF	PGF	True
GSE151165	Hypoxia	PGK1	PGK1	True
GSE151165	Hypoxia	PGM1	PGM1	True
GSE151165	Hypoxia	PGM2	PGM2	True
GSE151165	Hypoxia	PHKG1	PHKG1	True
GSE151165	Hypoxia	PIM1	PIM1	True
GSE151165	Hypoxia	PKLR	PKLR	True
GSE151165	Hypoxia	PKP1	PKP1	True
GSE151165	Hypoxia	PLAC8	PLAC8	True
GSE151165	Hypoxia	PLAUR	PLAUR	True
GSE151165	Hypoxia	PLIN2	PLIN2	True
GSE151165	Hypoxia	PNRC1	PNRC1	True
GSE151165	Hypoxia	PPARGC1A	PPARGC1A	True
GSE151165	Hypoxia	PPFIA4	PPFIA4	True
GSE151165	Hypoxia	PPP1R15A	PPP1R15A	True
GSE151165	Hypoxia	PPP1R3C	PPP1R3C	True
GSE151165	Hypoxia	PRDX5	PRDX5	True
GSE151165	Hypoxia	PRKCA	PRKCA	True
GSE151165	Hypoxia	PYGM	PYGM	True
GSE151165	Hypoxia	RBPJ	RBPJ	True
GSE151165	Hypoxia	RORA	RORA	True
GSE151165	Hypoxia	RRAGD	RRAGD	True
GSE151165	Hypoxia	S100A4	S100A4	True
GSE151165	Hypoxia	SAP30	SAP30	True
GSE151165	Hypoxia	SCARB1	SCARB1	True
GSE151165	Hypoxia	SDC2	SDC2	True
GSE151165	Hypoxia	SDC3	SDC3	True
GSE151165	Hypoxia	SDC4	SDC4	True
GSE151165	Hypoxia	SELENBP1	SELENBP1	True
GSE151165	Hypoxia	SERPINE1	SERPINE1	True
GSE151165	Hypoxia	SIAH2	SIAH2	True
GSE151165	Hypoxia	SLC25A1	SLC25A1	True
GSE151165	Hypoxia	SLC2A1	SLC2A1	True
GSE151165	Hypoxia	SLC2A3	SLC2A3	True
GSE151165	Hypoxia	SLC2A5	SLC2A5	True
GSE151165	Hypoxia	SLC37A4	SLC37A4	True
GSE151165	Hypoxia	SLC6A6	SLC6A6	True
GSE151165	Hypoxia	SRPX	SRPX	True
GSE151165	Hypoxia	STBD1	STBD1	True
GSE151165	Hypoxia	STC1	STC1	True
GSE151165	Hypoxia	STC2	STC2	True
GSE151165	Hypoxia	SULT2B1	SULT2B1	True
GSE151165	Hypoxia	TES	TES	True
GSE151165	Hypoxia	TGFB3	TGFB3	True
GSE151165	Hypoxia	TGFBI	TGFBI	True
GSE151165	Hypoxia	TGM2	TGM2	True
GSE151165	Hypoxia	TIPARP	TIPARP	True
GSE151165	Hypoxia	TKTL1	TKTL1	True
GSE151165	Hypoxia	TMEM45A	TMEM45A	True
GSE151165	Hypoxia	TNFAIP3	TNFAIP3	True
GSE151165	Hypoxia	TPBG	TPBG	True
GSE151165	Hypoxia	TPD52	TPD52	True
GSE151165	Hypoxia	TPI1	TPI1	True
GSE151165	Hypoxia	TPST2	TPST2	True
GSE151165	Hypoxia	UGP2	UGP2	True
GSE151165	Hypoxia	VEGFA	VEGFA	True
GSE151165	Hypoxia	VHL	VHL	True
GSE151165	Hypoxia	VLDLR	VLDLR	True
GSE151165	Hypoxia	WSB1	WSB1	True
GSE151165	Hypoxia	XPNPEP1	XPNPEP1	True
GSE151165	Hypoxia	ZFP36	ZFP36	True
GSE151165	Hypoxia	ZNF292	ZNF292	True
GSE151165	Epithelial	CDH1	CDH1	True
GSE151165	Epithelial	EPCAM	EPCAM	True
GSE151165	Epithelial	KRT18	KRT18	True
GSE151165	Epithelial	KRT19	KRT19	True
GSE151165	Epithelial	KRT8	KRT8	True
GSE151165	Epithelial	MUC1	MUC1	True
GSE151165	Epithelial	TACSTD2	TACSTD2	True
GSE151165	Liver	ALB	ALB	True
GSE151165	Liver	APOA1	APOA1	True
GSE151165	Liver	APOA2	APOA2	True
GSE151165	Liver	ASGR1	ASGR1	True
GSE151165	Liver	CPS1	CPS1	True
GSE151165	Liver	TTR	TTR	True
GSE294385	Claudin	CLDN1	CLDN1	True
GSE294385	Claudin	CLDN10	CLDN10	True
GSE294385	Claudin	CLDN11	CLDN11	True
GSE294385	Claudin	CLDN12	CLDN12	True
GSE294385	Claudin	CLDN14	CLDN14	True
GSE294385	Claudin	CLDN15	CLDN15	True
GSE294385	Claudin	CLDN16	CLDN16	True
GSE294385	Claudin	CLDN17	CLDN17	True
GSE294385	Claudin	CLDN18	CLDN18	True
GSE294385	Claudin	CLDN19	CLDN19	True
GSE294385	Claudin	CLDN2	CLDN2	True
GSE294385	Claudin	CLDN20	CLDN20	True
GSE294385	Claudin	CLDN22	CLDN22	True
GSE294385	Claudin	CLDN23	CLDN23	True
GSE294385	Claudin	CLDN3	CLDN3	True
GSE294385	Claudin	CLDN4	CLDN4	True
GSE294385	Claudin	CLDN5	CLDN5	True
GSE294385	Claudin	CLDN6	CLDN6	True
GSE294385	Claudin	CLDN7	CLDN7	True
GSE294385	Claudin	CLDN8	CLDN8	True
GSE294385	Claudin	CLDN9	CLDN9	True
GSE294385	Polarity	CRB3	CRB3	True
GSE294385	Polarity	PALS1	MPP5	True
GSE294385	Polarity	PARD3	PARD3	True
GSE294385	Polarity	PARD6A	PARD6A	True
GSE294385	Polarity	PARD6B	PARD6B	True
GSE294385	Polarity	PARD6G	PARD6G	True
GSE294385	Polarity	PATJ	PATJ	True
GSE294385	Polarity	PRKCI	PRKCI	True
GSE294385	Junction	CLDN1	CLDN1	True
GSE294385	Junction	CLDN10	CLDN10	True
GSE294385	Junction	CLDN11	CLDN11	True
GSE294385	Junction	CLDN12	CLDN12	True
GSE294385	Junction	CLDN14	CLDN14	True
GSE294385	Junction	CLDN15	CLDN15	True
GSE294385	Junction	CLDN16	CLDN16	True
GSE294385	Junction	CLDN17	CLDN17	True
GSE294385	Junction	CLDN18	CLDN18	True
GSE294385	Junction	CLDN19	CLDN19	True
GSE294385	Junction	CLDN2	CLDN2	True
GSE294385	Junction	CLDN20	CLDN20	True
GSE294385	Junction	CLDN22	CLDN22	True
GSE294385	Junction	CLDN23	CLDN23	True
GSE294385	Junction	CLDN3	CLDN3	True
GSE294385	Junction	CLDN4	CLDN4	True
GSE294385	Junction	CLDN5	CLDN5	True
GSE294385	Junction	CLDN6	CLDN6	True
GSE294385	Junction	CLDN7	CLDN7	True
GSE294385	Junction	CLDN8	CLDN8	True
GSE294385	Junction	CLDN9	CLDN9	True
GSE294385	Junction	CRB3	CRB3	True
GSE294385	Junction	F11R	F11R	True
GSE294385	Junction	PALS1	MPP5	True
GSE294385	Junction	PARD3	PARD3	True
GSE294385	Junction	PARD6A	PARD6A	True
GSE294385	Junction	PARD6B	PARD6B	True
GSE294385	Junction	PARD6G	PARD6G	True
GSE294385	Junction	PATJ	PATJ	True
GSE294385	Junction	PRKCI	PRKCI	True
GSE294385	HRC	ABHD11-AS1		False
GSE294385	HRC	AC009133.12		False
GSE294385	HRC	ADAM9	ADAM9	True
GSE294385	HRC	AHNAK	AHNAK	True
GSE294385	HRC	AHNAK2	AHNAK2	True
GSE294385	HRC	ANXA11	ANXA11	True
GSE294385	HRC	ARFGAP3	ARFGAP3	True
GSE294385	HRC	B4GALNT3	B4GALNT3	True
GSE294385	HRC	B4GALT1	B4GALT1	True
GSE294385	HRC	BAIAP2L1	BAIAP2L1	True
GSE294385	HRC	BMP2	BMP2	True
GSE294385	HRC	C19ORF33	C19ORF33	True
GSE294385	HRC	C1ORF106		False
GSE294385	HRC	CAMK2N1	CAMK2N1	True
GSE294385	HRC	CD55	CD55	True
GSE294385	HRC	CD59		False
GSE294385	HRC	CD68	CD68	True
GSE294385	HRC	CDA	CDA	True
GSE294385	HRC	CDCP1	CDCP1	True
GSE294385	HRC	CDKN2B	CDKN2B	True
GSE294385	HRC	CEACAM1	CEACAM1	True
GSE294385	HRC	CEACAM5	CEACAM5	True
GSE294385	HRC	CGN	CGN	True
GSE294385	HRC	CLIC3	CLIC3	True
GSE294385	HRC	COL17A1	COL17A1	True
GSE294385	HRC	CXCL16	CXCL16	True
GSE294385	HRC	CYP3A5	CYP3A5	True
GSE294385	HRC	CYSTM1	CYSTM1	True
GSE294385	HRC	DDR1	DDR1	True
GSE294385	HRC	DSG2	DSG2	True
GSE294385	HRC	DUSP5		False
GSE294385	HRC	EFNB1	EFNB1	True
GSE294385	HRC	EMP1	EMP1	True
GSE294385	HRC	EPS8L1	EPS8L1	True
GSE294385	HRC	ERO1L		False
GSE294385	HRC	EZR	EZR	True
GSE294385	HRC	FA2H	FA2H	True
GSE294385	HRC	FLNB	FLNB	True
GSE294385	HRC	GBP3		False
GSE294385	HRC	GJB3	GJB3	True
GSE294385	HRC	GPRC5A	GPRC5A	True
GSE294385	HRC	HEBP2	HEBP2	True
GSE294385	HRC	ITGA2	ITGA2	True
GSE294385	HRC	ITGA3	ITGA3	True
GSE294385	HRC	ITGB1	ITGB1	True
GSE294385	HRC	ITGB4	ITGB4	True
GSE294385	HRC	JUP	JUP	True
GSE294385	HRC	KLK10	KLK10	True
GSE294385	HRC	KRT80	KRT80	True
GSE294385	HRC	LAMA3	LAMA3	True
GSE294385	HRC	LAMB3	LAMB3	True
GSE294385	HRC	LAMC2	LAMC2	True
GSE294385	HRC	LIPH	LIPH	True
GSE294385	HRC	LMO7	LMO7	True
GSE294385	HRC	LRP10	LRP10	True
GSE294385	HRC	MISP	MISP	True
GSE294385	HRC	MUC13	MUC13	True
GSE294385	HRC	MXD1	MXD1	True
GSE294385	HRC	MYH14	MYH14	True
GSE294385	HRC	MYOF	MYOF	True
GSE294385	HRC	PCDH1	PCDH1	True
GSE294385	HRC	PDZK1IP1	PDZK1IP1	True
GSE294385	HRC	PINK1	PINK1	True
GSE294385	HRC	PLAUR	PLAUR	True
GSE294385	HRC	PLEC	PLEC	True
GSE294385	HRC	PPARD	PPARD	True
GSE294385	HRC	PPP2CB	PPP2CB	True
GSE294385	HRC	PRSS22	PRSS22	True
GSE294385	HRC	PTK6	PTK6	True
GSE294385	HRC	PTPRH	PTPRH	True
GSE294385	HRC	RHOF	RHOF	True
GSE294385	HRC	RIOK3	RIOK3	True
GSE294385	HRC	RNF103	RNF103	True
GSE294385	HRC	RRAS	RRAS	True
GSE294385	HRC	SDCBP2	SDCBP2	True
GSE294385	HRC	SEMA3B	SEMA3B	True
GSE294385	HRC	SERINC2	SERINC2	True
GSE294385	HRC	SLC2A1	SLC2A1	True
GSE294385	HRC	SLC44A4	SLC44A4	True
GSE294385	HRC	SLC6A8		False
GSE294385	HRC	SLPI	SLPI	True
GSE294385	HRC	SMAD3	SMAD3	True
GSE294385	HRC	SNX9	SNX9	True
GSE294385	HRC	SPINT1	SPINT1	True
GSE294385	HRC	SSFA2		False
GSE294385	HRC	STK24		False
GSE294385	HRC	TIMP2	TIMP2	True
GSE294385	HRC	TINAGL1	TINAGL1	True
GSE294385	HRC	TJP3	TJP3	True
GSE294385	HRC	TM4SF1	TM4SF1	True
GSE294385	HRC	TMBIM1	TMBIM1	True
GSE294385	HRC	TMPRSS2	TMPRSS2	True
GSE294385	HRC	TMPRSS4	TMPRSS4	True
GSE294385	HRC	TNFRSF21	TNFRSF21	True
GSE294385	HRC	TSPAN1	TSPAN1	True
GSE294385	HRC	TSPAN3	TSPAN3	True
GSE294385	HRC	UGCG	UGCG	True
GSE294385	HRC	USP53	USP53	True
GSE294385	RSC	ABI3	ABI3	True
GSE294385	RSC	ACSM3	ACSM3	True
GSE294385	RSC	AKR1B1		False
GSE294385	RSC	ALCAM	ALCAM	True
GSE294385	RSC	ANXA1	ANXA1	True
GSE294385	RSC	ANXA3	ANXA3	True
GSE294385	RSC	ANXA5	ANXA5	True
GSE294385	RSC	AP1S3	AP1S3	True
GSE294385	RSC	ARHGAP44	ARHGAP44	True
GSE294385	RSC	ARL14	ARL14	True
GSE294385	RSC	ARL4C	ARL4C	True
GSE294385	RSC	AVPI1	AVPI1	True
GSE294385	RSC	BAIAP2L2	BAIAP2L2	True
GSE294385	RSC	BASP1		False
GSE294385	RSC	BOK	BOK	True
GSE294385	RSC	C6ORF141	C6ORF141	True
GSE294385	RSC	CA12	CA12	True
GSE294385	RSC	CA2	CA2	True
GSE294385	RSC	CAMKK1	CAMKK1	True
GSE294385	RSC	CAMSAP2	CAMSAP2	True
GSE294385	RSC	CAP2	CAP2	True
GSE294385	RSC	CAPN5	CAPN5	True
GSE294385	RSC	CAVIN3	CAVIN3	True
GSE294385	RSC	CCDC92	CCDC92	True
GSE294385	RSC	CCL2	CCL2	True
GSE294385	RSC	CCN2	CCN2	True
GSE294385	RSC	CD14	CD14	True
GSE294385	RSC	CD44	CD44	True
GSE294385	RSC	CD68	CD68	True
GSE294385	RSC	CELF2	CELF2	True
GSE294385	RSC	CGNL1	CGNL1	True
GSE294385	RSC	CKAP2	CKAP2	True
GSE294385	RSC	CKB	CKB	True
GSE294385	RSC	CLIC3	CLIC3	True
GSE294385	RSC	CLU	CLU	True
GSE294385	RSC	CNN2	CNN2	True
GSE294385	RSC	CRYBG1	CRYBG1	True
GSE294385	RSC	CTSH	CTSH	True
GSE294385	RSC	CWH43	CWH43	True
GSE294385	RSC	CXCL10	CXCL10	True
GSE294385	RSC	CXCL16	CXCL16	True
GSE294385	RSC	CXCL6		False
GSE294385	RSC	CXCL9	CXCL9	True
GSE294385	RSC	DAPK1	DAPK1	True
GSE294385	RSC	DDAH1	DDAH1	True
GSE294385	RSC	DYRK3	DYRK3	True
GSE294385	RSC	EMP1	EMP1	True
GSE294385	RSC	EMP2	EMP2	True
GSE294385	RSC	ENAH	ENAH	True
GSE294385	RSC	ENDOD1	ENDOD1	True
GSE294385	RSC	EPHA2	EPHA2	True
GSE294385	RSC	EPHA4	EPHA4	True
GSE294385	RSC	EPN3		False
GSE294385	RSC	EPOP	EPOP	True
GSE294385	RSC	EPS8L1	EPS8L1	True
GSE294385	RSC	EREG	EREG	True
GSE294385	RSC	ETV5	ETV5	True
GSE294385	RSC	EYA2	EYA2	True
GSE294385	RSC	FABP5	FABP5	True
GSE294385	RSC	FFAR4	FFAR4	True
GSE294385	RSC	FHL2	FHL2	True
GSE294385	RSC	FKBP9	FKBP9	True
GSE294385	RSC	FLNA	FLNA	True
GSE294385	RSC	FMNL2	FMNL2	True
GSE294385	RSC	FOSL1	FOSL1	True
GSE294385	RSC	FXYD3	FXYD3	True
GSE294385	RSC	GADD45B	GADD45B	True
GSE294385	RSC	GASK1B	GASK1B	True
GSE294385	RSC	GATM	GATM	True
GSE294385	RSC	GCNT1	GCNT1	True
GSE294385	RSC	GCNT3	GCNT3	True
