dataset	component	gene	source_gene	measured_variable
GSE151165	RSC	LAMA3	LAMA3	True
GSE151165	RSC	LAPTM5	LAPTM5	True
GSE151165	RSC	LCN2	LCN2	True
GSE151165	RSC	LDLR	LDLR	True
GSE151165	RSC	LGALS1	LGALS1	True
GSE151165	RSC	LPCAT4	LPCAT4	True
GSE151165	RSC	LRG1	LRG1	True
GSE151165	RSC	MDM2	MDM2	True
GSE151165	RSC	MISP3		False
GSE151165	RSC	MRAS	MRAS	True
GSE151165	RSC	MSANTD3		False
GSE151165	RSC	MSLN	MSLN	True
GSE151165	RSC	MSN	MSN	True
GSE151165	RSC	MST1R	MST1R	True
GSE151165	RSC	MTCL1		False
GSE151165	RSC	MUC3A		False
GSE151165	RSC	MYH9	MYH9	True
GSE151165	RSC	NFE2L3	NFE2L3	True
GSE151165	RSC	NFKBIA	NFKBIA	True
GSE151165	RSC	NFKBIZ	NFKBIZ	True
GSE151165	RSC	NOS2	NOS2	True
GSE151165	RSC	NOXO1	NOXO1	True
GSE151165	RSC	OSBPL5	OSBPL5	True
GSE151165	RSC	P2RY2	P2RY2	True
GSE151165	RSC	P2RY6	P2RY6	True
GSE151165	RSC	PAQR8	PAQR8	True
GSE151165	RSC	PDZK1IP1	PDZK1IP1	True
GSE151165	RSC	PHLDA1	PHLDA1	True
GSE151165	RSC	PHLDA2	PHLDA2	True
GSE151165	RSC	PIERCE1		False
GSE151165	RSC	PIMREG		False
GSE151165	RSC	PLAU	PLAU	True
GSE151165	RSC	PLAUR	PLAUR	True
GSE151165	RSC	PLCD3	PLCD3	True
GSE151165	RSC	PLEKHS1		False
GSE151165	RSC	PLK2	PLK2	True
GSE151165	RSC	PMEPA1	PMEPA1	True
GSE151165	RSC	PPIC	PPIC	True
GSE151165	RSC	PPL	PPL	True
GSE151165	RSC	PSRC1	PSRC1	True
GSE151165	RSC	PTGS2	PTGS2	True
GSE151165	RSC	RAB11FIP5	RAB11FIP5	True
GSE151165	RSC	RAB15	RAB15	True
GSE151165	RSC	RACK1		False
GSE151165	RSC	RALGAPA2	RALGAPA2	True
GSE151165	RSC	RBMS1	RBMS1	True
GSE151165	RSC	RGS19	RGS19	True
GSE151165	RSC	RHOD	RHOD	True
GSE151165	RSC	RIPK2	RIPK2	True
GSE151165	RSC	RUNX1	RUNX1	True
GSE151165	RSC	S100A14	S100A14	True
GSE151165	RSC	S100A4	S100A4	True
GSE151165	RSC	S100A6	S100A6	True
GSE151165	RSC	SAMD5	SAMD5	True
GSE151165	RSC	SCEL	SCEL	True
GSE151165	RSC	SEMA7A	SEMA7A	True
GSE151165	RSC	SH3BGRL2	SH3BGRL2	True
GSE151165	RSC	SLC19A2	SLC19A2	True
GSE151165	RSC	SLC39A10	SLC39A10	True
GSE151165	RSC	SLC44A2	SLC44A2	True
GSE151165	RSC	SLC60A1		False
GSE151165	RSC	SLC7A5	SLC7A5	True
